Sample	Unique Reads	Duplicate Reads
BR_EC_ATAC_REP1_T1_1	36244596.0	34687022.0
BR_EC_ATAC_REP1_T1_2	37285705.0	33645913.0
BR_EC_ATAC_REP2_T1_1	45259432.0	20718963.0
BR_EC_ATAC_REP2_T1_2	45578444.0	20399951.0
BR_EC_ATAC_REP3_T1_1	26429486.0	16661352.0
BR_EC_ATAC_REP3_T1_2	28117073.0	14973765.0
BR_EC_ATAC_REP4_T1_1	24310390.0	16021502.0
BR_EC_ATAC_REP4_T1_2	25901157.0	14430735.0
LG_EC_ATAC_REP1_T1_1	24328812.0	11292789.0
LG_EC_ATAC_REP1_T1_2	25277148.0	10344453.0
LG_EC_ATAC_REP2_T1_1	19142536.0	7947408.0
LG_EC_ATAC_REP2_T1_2	19619415.0	7470529.0
LG_EC_ATAC_REP3_T1_1	22262362.0	6810470.0
LG_EC_ATAC_REP3_T1_2	23061279.0	6011553.0
LG_EC_ATAC_REP4_T1_1	32623372.0	38934482.0
LG_EC_ATAC_REP4_T1_2	33196793.0	38361061.0
LV_EC_ATAC_REP1_T1_1	42697646.0	21650839.0
LV_EC_ATAC_REP1_T1_2	43272472.0	21076013.0
LV_EC_ATAC_REP2_T1_1	12269826.0	3999967.0
LV_EC_ATAC_REP2_T1_2	12688471.0	3581322.0
LV_EC_ATAC_REP3_T1_1	11034424.0	3698301.0
LV_EC_ATAC_REP3_T1_2	11397321.0	3335404.0
