Sample	Unique Reads	Duplicate Reads
BR_EC_ATAC_REP1_T1_1	35698747.0	35465003.0
BR_EC_ATAC_REP1_T1_2	36581154.0	34582596.0
BR_EC_ATAC_REP2_T1_1	44787866.0	21352176.0
BR_EC_ATAC_REP2_T1_2	45043408.0	21096634.0
BR_EC_ATAC_REP3_T1_1	25266959.0	17983894.0
BR_EC_ATAC_REP3_T1_2	26980073.0	16270780.0
BR_EC_ATAC_REP4_T1_1	23235933.0	17263991.0
BR_EC_ATAC_REP4_T1_2	24815331.0	15684593.0
LG_EC_ATAC_REP1_T1_1	23404533.0	12300112.0
LG_EC_ATAC_REP1_T1_2	24357217.0	11347428.0
LG_EC_ATAC_REP2_T1_1	18428498.0	8746648.0
LG_EC_ATAC_REP2_T1_2	18962347.0	8212799.0
LG_EC_ATAC_REP3_T1_1	21498697.0	7647059.0
LG_EC_ATAC_REP3_T1_2	22332405.0	6813351.0
LG_EC_ATAC_REP4_T1_1	31904072.0	39913024.0
LG_EC_ATAC_REP4_T1_2	32460094.0	39357002.0
LV_EC_ATAC_REP1_T1_1	42195010.0	22320184.0
LV_EC_ATAC_REP1_T1_2	42691555.0	21823639.0
LV_EC_ATAC_REP2_T1_1	11691311.0	4773946.0
LV_EC_ATAC_REP2_T1_2	12085528.0	4379729.0
LV_EC_ATAC_REP3_T1_1	10468115.0	4426740.0
LV_EC_ATAC_REP3_T1_2	10840238.0	4054617.0
