Sample	Assigned	Unassigned: No Features	Unassigned: Overlapping Length
BR_EC_ATAC_REP1	9908794.0	21803617.0	118480.0
BR_EC_ATAC_REP2	4017611.0	33084690.0	108090.0
BR_EC_ATAC_REP3	2632492.0	11096166.0	47828.0
BR_EC_ATAC_REP4	3590549.0	8673781.0	43740.0
LG_EC_ATAC_REP1	1187963.0	12969196.0	36801.0
LG_EC_ATAC_REP2	1172622.0	9270767.0	30718.0
LG_EC_ATAC_REP3	1051719.0	13560434.0	36638.0
LG_EC_ATAC_REP4	3351339.0	21773391.0	75557.0
LV_EC_ATAC_REP1	3608164.0	30657082.0	101297.0
LV_EC_ATAC_REP2	685743.0	6851300.0	22511.0
LV_EC_ATAC_REP3	712151.0	5464206.0	18367.0
