Sample	Unique Pairs	Unique Unpaired	Duplicate Pairs Nonoptical	Duplicate Unpaired	Unmapped
BR_EC_ATAC_REP1	80082856.0	216051.0	56308572.0	191478.0	5064279.0
BR_EC_ATAC_REP2	92793940.0	201950.0	31959212.0	102447.0	6899241.0
BR_EC_ATAC_REP3	43047790.0	148160.0	29536730.0	82541.0	13366455.0
BR_EC_ATAC_REP4	39882682.0	153539.0	30240232.0	91489.0	10295842.0
LG_EC_ATAC_REP1	41381432.0	49859.0	21897964.0	32603.0	7881344.0
LG_EC_ATAC_REP2	31916108.0	44152.0	14958604.0	26002.0	7235022.0
LG_EC_ATAC_REP3	39547830.0	41613.0	12601542.0	19600.0	5935079.0
LG_EC_ATAC_REP4	66050172.0	176389.0	52327456.0	139605.0	24422086.0
LV_EC_ATAC_REP1	86644438.0	213198.0	33642394.0	113194.0	8083746.0
LV_EC_ATAC_REP2	20940402.0	120955.0	9301142.0	34770.0	2142317.0
LV_EC_ATAC_REP3	18611872.0	99269.0	7935340.0	32256.0	2786713.0
