Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
BR_EC_ATAC_REP1_T1_1	3.4	71163750	29837564	71163750	3558187500	5919442	3434527430	3.475366882717676
BR_EC_ATAC_REP1_T1_2	3.4	71163750	30033625	71163750	3558187500	17985239	3422694161	3.8079313976568128
BR_EC_ATAC_REP2_T1_1	3.4	66140042	26684347	66140042	3307002100	5493465	3202127008	3.1713040641855055
BR_EC_ATAC_REP2_T1_2	3.4	66140042	26882512	66140042	3307002100	13886064	3193649466	3.427655337745325
BR_EC_ATAC_REP3_T1_1	3.4	43250853	27059983	43250853	3287064828	3469372	2793593708	15.012515597395451
BR_EC_ATAC_REP3_T1_2	3.4	43250853	27116569	43250853	3287064828	18233289	2779575266	15.438988537040194
BR_EC_ATAC_REP4_T1_1	3.4	40499924	24708046	40499924	3077994224	3080312	2653517723	13.790685430474023
BR_EC_ATAC_REP4_T1_2	3.4	40499924	24759327	40499924	3077994224	17044880	2640065372	14.227734691161656
LG_EC_ATAC_REP1_T1_1	3.4	35704645	25179785	35704645	2713553020	2641557	2195975827	19.073782203083688
LG_EC_ATAC_REP1_T1_2	3.4	35704645	25201551	35704645	2713553020	10363418	2189529755	19.3113331907552
LG_EC_ATAC_REP2_T1_1	3.4	27175146	19035048	27175146	2065311096	2225658	1679639782	18.673763712738026
LG_EC_ATAC_REP2_T1_2	3.4	27175146	19105119	27175146	2065311096	9578423	1672338097	19.02730294535734
LG_EC_ATAC_REP3_T1_1	3.4	29145756	20589872	29145756	2215077456	2463443	1782407408	19.532953433660875
LG_EC_ATAC_REP3_T1_2	3.4	29145756	20611026	29145756	2215077456	9425338	1776363198	19.805820189792946
LG_EC_ATAC_REP4_T1_1	3.4	71817096	33222458	71817096	3590854800	5837794	3274114642	8.820745355674086
LG_EC_ATAC_REP4_T1_2	3.4	71817096	33368809	71817096	3590854800	16337849	3265477218	9.061284850615515
LV_EC_ATAC_REP1_T1_1	3.4	64515194	26425636	64515194	3225759700	5310904	3120645020	3.258602306923234
LV_EC_ATAC_REP1_T1_2	3.4	64515194	26579567	64515194	3225759700	14589770	3111418325	3.5446339973805236
LV_EC_ATAC_REP2_T1_1	3.4	16465257	9566462	16465257	1251359532	5599500	1092233160	12.71627920919533
LV_EC_ATAC_REP2_T1_2	3.4	16465257	9498353	16465257	1251359532	31254130	1069066290	14.567615248724536
LV_EC_ATAC_REP3_T1_1	3.4	14894855	8971852	14894855	1132008980	5166777	975459034	13.82939082338375
LV_EC_ATAC_REP3_T1_2	3.4	14894855	8905498	14894855	1132008980	26365839	956590214	15.496234491002006
