Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
BR_EC_ATAC_REP1	31830891	9908794	0	0	0	0	0	0	0	0	0	0	21803617	118480	0	31.129489903377195
BR_EC_ATAC_REP2	37210391	4017611	0	0	0	0	0	0	0	0	0	0	33084690	108090	0	10.797013662124646
BR_EC_ATAC_REP3	13776486	2632492	0	0	0	0	0	0	0	0	0	0	11096166	47828	0	19.108588358453673
BR_EC_ATAC_REP4	12308070	3590549	0	0	0	0	0	0	0	0	0	0	8673781	43740	0	29.172315399571175
LG_EC_ATAC_REP1	14193960	1187963	0	0	0	0	0	0	0	0	0	0	12969196	36801	0	8.369496602780337
LG_EC_ATAC_REP2	10474107	1172622	0	0	0	0	0	0	0	0	0	0	9270767	30718	0	11.195436517881667
LG_EC_ATAC_REP3	14648791	1051719	0	0	0	0	0	0	0	0	0	0	13560434	36638	0	7.179561780900554
LG_EC_ATAC_REP4	25200287	3351339	0	0	0	0	0	0	0	0	0	0	21773391	75557	0	13.298812827012647
LV_EC_ATAC_REP1	34366543	3608164	0	0	0	0	0	0	0	0	0	0	30657082	101297	0	10.499060088761327
LV_EC_ATAC_REP2	7559554	685743	0	0	0	0	0	0	0	0	0	0	6851300	22511	0	9.07120975655442
LV_EC_ATAC_REP3	6194724	712151	0	0	0	0	0	0	0	0	0	0	5464206	18367	0	11.496089252725383
