Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
BR_EC_ATAC_REP1	31830891	10194633	0	0	0	0	0	0	0	0	0	0	21505706	130552	0	32.02748235982461
BR_EC_ATAC_REP2	37210391	4413396	0	0	0	0	0	0	0	0	0	0	32669774	127221	0	11.860654729481343
BR_EC_ATAC_REP3	13776486	2776108	0	0	0	0	0	0	0	0	0	0	10944935	55443	0	20.151060292152874
BR_EC_ATAC_REP4	12308070	3726273	0	0	0	0	0	0	0	0	0	0	8530859	50938	0	30.275039059738855
LG_EC_ATAC_REP1	14193960	1316369	0	0	0	0	0	0	0	0	0	0	12833353	44238	0	9.274149004224332
LG_EC_ATAC_REP2	10474107	1251547	0	0	0	0	0	0	0	0	0	0	9187847	34713	0	11.948961376850551
LG_EC_ATAC_REP3	14648791	1184764	0	0	0	0	0	0	0	0	0	0	13419619	44408	0	8.087793729871633
LG_EC_ATAC_REP4	25200287	3616969	0	0	0	0	0	0	0	0	0	0	21492382	90936	0	14.35288812385351
LV_EC_ATAC_REP1	34366543	3910847	0	0	0	0	0	0	0	0	0	0	30339987	115709	0	11.379809135879626
LV_EC_ATAC_REP2	7559554	745853	0	0	0	0	0	0	0	0	0	0	6787611	26090	0	9.86636248646415
LV_EC_ATAC_REP3	6194724	766445	0	0	0	0	0	0	0	0	0	0	5406560	21719	0	12.372544765513362
