Sample	Intergenic	TTS	exon	intron	promoter-TSS
BR_EC_ATAC_REP1	21853.0	1528.0	2510.0	17056.0	10604.0
BR_EC_ATAC_REP2	12691.0	770.0	1494.0	9464.0	9021.0
BR_EC_ATAC_REP3	9656.0	705.0	1425.0	8214.0	9561.0
BR_EC_ATAC_REP4	9205.0	844.0	1576.0	9039.0	10145.0
LG_EC_ATAC_REP1	4146.0	360.0	761.0	3762.0	8296.0
LG_EC_ATAC_REP2	6922.0	563.0	1045.0	5988.0	8888.0
LG_EC_ATAC_REP3	3822.0	306.0	647.0	2970.0	7320.0
LG_EC_ATAC_REP4	6695.0	510.0	1248.0	5775.0	8506.0
LV_EC_ATAC_REP1	9002.0	602.0	1445.0	7167.0	9030.0
LV_EC_ATAC_REP2	2497.0	199.0	442.0	1916.0	6373.0
LV_EC_ATAC_REP3	2540.0	236.0	548.0	2161.0	7390.0
