Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
BR_EC_ATAC_REP1	BR_EC_ATAC_REP1_T1	407529.0	68195714.0	0.0	5064279.0	191478.0	28154286.0	0.0	0.413015	57814196.0
BR_EC_ATAC_REP2	BR_EC_ATAC_REP2_T1	304397.0	62376576.0	0.0	6899241.0	102447.0	15979606.0	0.0	0.256375	99916979.0
BR_EC_ATAC_REP3	BR_EC_ATAC_REP3_T1	230701.0	36292260.0	0.0	13366455.0	82541.0	14768365.0	0.0	0.406773	31427233.0
BR_EC_ATAC_REP4	BR_EC_ATAC_REP4_T1	245028.0	35061457.0	0.0	10295842.0	91489.0	15120116.0	0.0	0.431045	27848577.0
LG_EC_ATAC_REP1	LG_EC_ATAC_REP1_T1	82462.0	31639698.0	0.0	7881344.0	32603.0	10948982.0	0.0	0.346116	34413123.0
LG_EC_ATAC_REP2	LG_EC_ATAC_REP2_T1	70154.0	23437356.0	0.0	7235022.0	26002.0	7479302.0	0.0	0.319196	28403517.0
LG_EC_ATAC_REP3	LG_EC_ATAC_REP3_T1	61213.0	26074686.0	0.0	5935079.0	19600.0	6300771.0	0.0	0.241735	44857276.0
LG_EC_ATAC_REP4	LG_EC_ATAC_REP4_T1	315994.0	59188814.0	0.0	24422086.0	139605.0	26163728.0	0.0	0.442038	45272335.0
LV_EC_ATAC_REP1	LV_EC_ATAC_REP1_T1	326392.0	60143416.0	0.0	8083746.0	113194.0	16821197.0	0.0	0.279866	86365423.0
LV_EC_ATAC_REP2	LV_EC_ATAC_REP2_T1	155725.0	15120772.0	0.0	2142317.0	34770.0	4650571.0	0.0	0.30713	19229388.0
LV_EC_ATAC_REP3	LV_EC_ATAC_REP3_T1	131525.0	13273606.0	0.0	2786713.0	32256.0	3967670.0	0.0	0.29865	17513907.0
