Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
BR_EC_ATAC_REP1_FR	BR_EC_ATAC_REP1	153.0	42.0	91.0	20.0	1992.0	197.633175	172.099751	31830891.0	FR	51.0	95.0	127.0	157.0	183.0	205.0	223.0	305.0	565.0	849.0	1297.0			
BR_EC_ATAC_REP2_FR	BR_EC_ATAC_REP2	134.0	44.0	79.0	20.0	1993.0	188.820009	162.556876	37210391.0	FR	45.0	83.0	113.0	137.0	159.0	177.0	195.0	315.0	583.0	841.0	1289.0			
BR_EC_ATAC_REP3_FR	BR_EC_ATAC_REP3	100.0	45.0	53.0	20.0	1999.0	143.61238	116.790311	13776486.0	FR	27.0	51.0	73.0	91.0	107.0	121.0	157.0	247.0	465.0	671.0	1175.0			
BR_EC_ATAC_REP4_FR	BR_EC_ATAC_REP4	98.0	42.0	52.0	20.0	1995.0	142.098491	115.156152	12308070.0	FR	27.0	51.0	71.0	91.0	105.0	119.0	161.0	253.0	459.0	665.0	1145.0			
LG_EC_ATAC_REP1_FR	LG_EC_ATAC_REP1	71.0	44.0	28.0	20.0	1844.0	96.175034	63.05438	14193960.0	FR	13.0	27.0	37.0	47.0	57.0	65.0	93.0	181.0	257.0	335.0	671.0			
LG_EC_ATAC_REP2_FR	LG_EC_ATAC_REP2	70.0	44.0	27.0	20.0	1801.0	96.010204	63.655108	10474107.0	FR	13.0	25.0	35.0	47.0	55.0	65.0	95.0	193.0	277.0	375.0	743.0			
LG_EC_ATAC_REP3_FR	LG_EC_ATAC_REP3	69.0	44.0	27.0	20.0	1955.0	96.385744	62.218452	14648791.0	FR	13.0	27.0	37.0	47.0	55.0	65.0	131.0	197.0	255.0	309.0	635.0			
LG_EC_ATAC_REP4_FR	LG_EC_ATAC_REP4	157.0	45.0	91.0	20.0	2000.0	205.478898	174.076988	25200287.0	FR	49.0	91.0	125.0	155.0	183.0	207.0	229.0	335.0	585.0	855.0	1295.0			
LV_EC_ATAC_REP1_FR	LV_EC_ATAC_REP1	128.0	45.0	75.0	20.0	1980.0	185.424089	160.26124	34366543.0	FR	43.0	79.0	107.0	131.0	151.0	169.0	191.0	325.0	593.0	841.0	1289.0			
LV_EC_ATAC_REP2_FR	LV_EC_ATAC_REP2	96.0	45.0	47.0	20.0	1961.0	135.418993	107.8653	7559554.0	FR	23.0	43.0	63.0	81.0	95.0	111.0	139.0	241.0	447.0	665.0	1121.0			
LV_EC_ATAC_REP3_FR	LV_EC_ATAC_REP3	86.0	40.0	41.0	20.0	1992.0	122.294497	94.991513	6194724.0	FR	19.0	39.0	55.0	69.0	83.0	95.0	133.0	229.0	389.0	633.0	1109.0			
