Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
BR_EC_ATAC_REP1_T1	141863236	0	0	0	0	0	0	0	136798957	0	96.43	nan	141863236	0	70931618	0	70931618	0	134400118	0	94.74	nan	136391428	0	407529	0	0.29	nan	296946	0	106440	0	141863236
BR_EC_ATAC_REP2_T1	131956790	0	0	0	0	0	0	0	125057549	0	94.77	nan	131956790	0	65978395	0	65978395	0	123174388	0	93.34	nan	124753152	0	304397	0	0.23	nan	266884	0	91618	0	131956790
BR_EC_ATAC_REP3_T1	86181676	0	0	0	0	0	0	0	72815221	0	84.49	nan	86181676	0	43090838	0	43090838	0	71172350	0	82.58	nan	72584520	0	230701	0	0.27	nan	236224	0	94072	0	86181676
BR_EC_ATAC_REP4_T1	80663784	0	0	0	0	0	0	0	70367942	0	87.24	nan	80663784	0	40331892	0	40331892	0	68840522	0	85.34	nan	70122914	0	245028	0	0.3	nan	214356	0	89514	0	80663784
LG_EC_ATAC_REP1_T1	71243202	0	0	0	0	0	0	0	63361858	0	88.94	nan	71243202	0	35621601	0	35621601	0	62369120	0	87.54	nan	63279396	0	82462	0	0.12	nan	162936	0	56764	0	71243202
LG_EC_ATAC_REP2_T1	54179888	0	0	0	0	0	0	0	46944866	0	86.65	nan	54179888	0	27089944	0	27089944	0	46044740	0	84.98	nan	46874712	0	70154	0	0.13	nan	131528	0	46015	0	54179888
LG_EC_ATAC_REP3_T1	58145664	0	0	0	0	0	0	0	52210585	0	89.79	nan	58145664	0	29072832	0	29072832	0	51839954	0	89.16	nan	52149372	0	61213	0	0.11	nan	104550	0	42326	0	58145664
LG_EC_ATAC_REP4_T1	143115708	0	0	0	0	0	0	0	118693622	0	82.94	nan	143115708	0	71557854	0	71557854	0	116917904	0	81.69	nan	118377628	0	315994	0	0.22	nan	230270	0	81564	0	143115708
LV_EC_ATAC_REP1_T1	128696970	0	0	0	0	0	0	0	120613224	0	93.72	nan	128696970	0	64348485	0	64348485	0	118800364	0	92.31	nan	120286832	0	326392	0	0.25	nan	248084	0	86362	0	128696970
LV_EC_ATAC_REP2_T1	32539586	0	0	0	0	0	0	0	30397269	0	93.42	nan	32539586	0	16269793	0	16269793	0	29477356	0	90.59	nan	30241544	0	155725	0	0.48	nan	134828	0	50891	0	32539586
LV_EC_ATAC_REP3_T1	29465450	0	0	0	0	0	0	0	26678737	0	90.54	nan	29465450	0	14732725	0	14732725	0	25960300	0	88.1	nan	26547212	0	131525	0	0.45	nan	103928	0	39692	0	29465450
