Sample	10	11	12	13	14	15	16	17	18	19	1	2	3	4	5	6	7	8	9	MT	X	Y	*
BR_EC_ATAC_REP1	[3400536, 130694993]	[3150378, 122082543]	[2891682, 120129022]	[2986922, 120421639]	[2780184, 124902244]	[2563246, 104043685]	[2379082, 98207768]	[2547600, 94987271]	[2202498, 90702639]	[1584856, 61431566]	[4882352, 195471971]	[4518936, 182113224]	[3839970, 160039680]	[3855224, 156508116]	[3896252, 151834684]	[3818590, 149736546]	[3972386, 145441459]	[3549018, 129401213]	[3085558, 124595110]	[0, 16299]	[1723700, 171031299]	[32812, 91744698]	[0, 0]
BR_EC_ATAC_REP2	[3650710, 130694993]	[3718700, 122082543]	[3364050, 120129022]	[3459926, 120421639]	[3385542, 124902244]	[3169158, 104043685]	[2888708, 98207768]	[3002630, 94987271]	[2770046, 90702639]	[1874400, 61431566]	[5756310, 195471971]	[5225908, 182113224]	[4504636, 160039680]	[4781538, 156508116]	[4520504, 151834684]	[4343150, 149736546]	[4393396, 145441459]	[3920706, 129401213]	[3550700, 124595110]	[0, 16299]	[2098132, 171031299]	[41932, 91744698]	[0, 0]
BR_EC_ATAC_REP3	[1402900, 130694993]	[1364560, 122082543]	[1283192, 120129022]	[1302966, 120421639]	[1208140, 124902244]	[1157888, 104043685]	[1044202, 98207768]	[1069084, 94987271]	[965830, 90702639]	[660714, 61431566]	[2088028, 195471971]	[1932296, 182113224]	[1704830, 160039680]	[1765418, 156508116]	[1696536, 151834684]	[1637754, 149736546]	[1659352, 145441459]	[1459142, 129401213]	[1369730, 124595110]	[0, 16299]	[763892, 171031299]	[16518, 91744698]	[0, 0]
BR_EC_ATAC_REP4	[1304870, 130694993]	[1209502, 122082543]	[1129822, 120129022]	[1125402, 120421639]	[1064682, 124902244]	[974852, 104043685]	[912836, 98207768]	[985398, 94987271]	[852844, 90702639]	[586800, 61431566]	[1928852, 195471971]	[1771190, 182113224]	[1527038, 160039680]	[1551630, 156508116]	[1466742, 151834684]	[1447208, 149736546]	[1549822, 145441459]	[1325384, 129401213]	[1213954, 124595110]	[0, 16299]	[673936, 171031299]	[13376, 91744698]	[0, 0]
LG_EC_ATAC_REP1	[1387588, 130694993]	[1458078, 122082543]	[1235234, 120129022]	[1334096, 120421639]	[1251684, 124902244]	[1155646, 104043685]	[1054742, 98207768]	[1160620, 94987271]	[1017520, 90702639]	[656034, 61431566]	[2208166, 195471971]	[1989274, 182113224]	[1712174, 160039680]	[1947978, 156508116]	[1762586, 151834684]	[1665774, 149736546]	[1673466, 145441459]	[1517540, 129401213]	[1485232, 124595110]	[0, 16299]	[700770, 171031299]	[13718, 91744698]	[0, 0]
LG_EC_ATAC_REP2	[1089362, 130694993]	[1141406, 122082543]	[978604, 120129022]	[930550, 120421639]	[910534, 124902244]	[852428, 104043685]	[740144, 98207768]	[812328, 94987271]	[747680, 90702639]	[540042, 61431566]	[1460648, 195471971]	[1477918, 182113224]	[1288868, 160039680]	[1342348, 156508116]	[1322290, 151834684]	[1218914, 149736546]	[1360416, 145441459]	[1184204, 129401213]	[1040302, 124595110]	[0, 16299]	[498876, 171031299]	[10352, 91744698]	[0, 0]
LG_EC_ATAC_REP3	[1448232, 130694993]	[1514594, 122082543]	[1288434, 120129022]	[1413908, 120421639]	[1327768, 124902244]	[1243172, 104043685]	[1084618, 98207768]	[1144012, 94987271]	[1016068, 90702639]	[666402, 61431566]	[2256682, 195471971]	[2102050, 182113224]	[1887336, 160039680]	[1849464, 156508116]	[1806728, 151834684]	[1685056, 149736546]	[1715864, 145441459]	[1592074, 129401213]	[1490372, 124595110]	[0, 16299]	[751170, 171031299]	[13578, 91744698]	[0, 0]
LG_EC_ATAC_REP4	[2590682, 130694993]	[2515240, 122082543]	[2309632, 120129022]	[2231744, 120421639]	[2277552, 124902244]	[2020634, 104043685]	[1903134, 98207768]	[2000856, 94987271]	[1720456, 90702639]	[1148654, 61431566]	[3900422, 195471971]	[3590806, 182113224]	[2981324, 160039680]	[3338650, 156508116]	[3116364, 151834684]	[2962324, 149736546]	[3109480, 145441459]	[2763332, 129401213]	[2536032, 124595110]	[0, 16299]	[1360026, 171031299]	[23230, 91744698]	[0, 0]
LV_EC_ATAC_REP1	[3597634, 130694993]	[3413930, 122082543]	[3173286, 120129022]	[3027340, 120421639]	[3146458, 124902244]	[2863418, 104043685]	[2599102, 98207768]	[2703606, 94987271]	[2409784, 90702639]	[1610174, 61431566]	[5380508, 195471971]	[4924660, 182113224]	[4215210, 160039680]	[4347500, 156508116]	[4290618, 151834684]	[4025252, 149736546]	[4000172, 145441459]	[3668706, 129401213]	[3409186, 124595110]	[0, 16299]	[1887138, 171031299]	[39404, 91744698]	[0, 0]
LV_EC_ATAC_REP2	[773452, 130694993]	[793280, 122082543]	[685476, 120129022]	[700594, 120421639]	[653762, 124902244]	[607518, 104043685]	[547614, 98207768]	[616210, 94987271]	[513402, 90702639]	[361370, 61431566]	[1160456, 195471971]	[1084572, 182113224]	[862444, 160039680]	[952746, 156508116]	[966676, 151834684]	[889684, 149736546]	[911988, 145441459]	[822886, 129401213]	[759536, 124595110]	[0, 16299]	[449204, 171031299]	[6238, 91744698]	[0, 0]
