Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
BR_EC_ATAC_REP1_T1	141863236.0	0.0	141863236.0	1.0	70931618.0	70931618.0	136798957.0	136391428.0	5064279.0	134400118.0	141863236.0	0.0	23208613.0	0.0	0.0	0.0	6844622267.0	3424948386.0	3419673881.0	6606665736.0	6546828490.0	0.0	0.0	15034006.0	0.00229638	48.0	48.0	48.0	50.0	50.0	50.0	35.9	156.0	134.5	62292110.0	5724707.0	30424.0	148473.0	94.7	96.43016813743061	96.14289920751561	3.5698318625693837	94.73921629702568	100.0	0.0	16.359850271567186	0.0
BR_EC_ATAC_REP2_T1	131956790.0	0.0	131956790.0	1.0	65978395.0	65978395.0	125057549.0	124753152.0	6899241.0	123174388.0	131956790.0	0.0	19582418.0	0.0	0.0	0.0	6387176653.0	3195324097.0	3191852556.0	6059063079.0	5979290310.0	0.0	0.0	17676308.0	0.002956255	48.0	48.0	48.0	50.0	50.0	50.0	36.0	167.3	141.2	57375909.0	4843433.0	23792.0	133442.0	93.3	94.77159076088468	94.54091146048643	5.22840923911532	93.34448647924825	100.0	0.0	14.840023010562774	0.0
BR_EC_ATAC_REP3_T1	86181676.0	0.0	86181676.0	1.0	43090838.0	43090838.0	72815221.0	72584520.0	13366455.0	71172350.0	86181676.0	0.0	13688113.0	0.0	0.0	0.0	5561121698.0	2783554842.0	2777566856.0	4782514667.0	4378252673.0	0.0	0.0	32223128.0	0.007359814	64.0	65.0	64.0	76.0	76.0	76.0	38.8	115.1	103.6	27401839.0	8756574.0	15735.0	118112.0	82.6	84.49037472884608	84.22268325345634	15.50962527115393	82.58408666826112	100.0	0.0	15.88285774344885	0.0
BR_EC_ATAC_REP4_T1	80663784.0	0.0	80663784.0	1.0	40331892.0	40331892.0	70367942.0	70122914.0	10295842.0	68840522.0	80663784.0	0.0	13986298.0	0.0	0.0	0.0	5281927064.0	2643951274.0	2637975790.0	4643921586.0	4239296572.0	0.0	0.0	30345033.0	0.007158035	65.0	66.0	65.0	76.0	76.0	76.0	38.8	112.5	98.9	26424099.0	8515798.0	14382.0	107178.0	85.3	87.23610337942985	86.93233880523135	12.763896620570142	85.34253984415112	100.0	0.0	17.339005569091576	0.0
LG_EC_ATAC_REP1_T1	71243202.0	0.0	71243202.0	1.0	35621601.0	35621601.0	63361858.0	63279396.0	7881344.0	62369120.0	71243202.0	0.0	11696861.0	0.0	0.0	0.0	4379357882.0	2191016308.0	2188341574.0	3938807922.0	3688982720.0	0.0	0.0	26845653.0	0.007277251	61.0	62.0	61.0	76.0	76.0	76.0	39.1	86.8	63.3	22197590.0	9352210.0	8430.0	81468.0	87.5	88.93740907378083	88.82166188993021	11.062590926219178	87.5439596328082	100.0	0.0	16.418213487933908	0.0
LG_EC_ATAC_REP2_T1	54179888.0	0.0	54179888.0	1.0	27089944.0	27089944.0	46944866.0	46874712.0	7235022.0	46044740.0	54179888.0	0.0	8951327.0	0.0	0.0	0.0	3345441746.0	1674133756.0	1671307990.0	2931903909.0	2695992481.0	0.0	0.0	19495432.0	0.007231263	61.0	62.0	62.0	76.0	76.0	76.0	39.1	87.3	67.7	16388839.0	6975173.0	7580.0	65764.0	85.0	86.64629576199935	86.5168122901989	13.353704238000642	84.9849302014061	100.0	0.0	16.521494101279796	0.0
LG_EC_ATAC_REP3_T1	58145664.0	0.0	58145664.0	1.0	29072832.0	29072832.0	52210585.0	52149372.0	5935079.0	51839954.0	58145664.0	0.0	8482363.0	0.0	0.0	0.0	3553530236.0	1778098708.0	1775431528.0	3197385219.0	3060633466.0	0.0	0.0	22960286.0	0.007501809	61.0	61.0	61.0	76.0	76.0	76.0	39.0	88.9	63.1	18242762.0	7775911.0	3738.0	52275.0	89.2	89.7927401774963	89.68746491569861	10.207259822503703	89.15532205462475	100.0	0.0	14.588126468037238	0.0
LG_EC_ATAC_REP4_T1	143115708.0	0.0	143115708.0	1.0	71557854.0	71557854.0	118693622.0	118377628.0	24422086.0	116917904.0	143115708.0	0.0	17942112.0	0.0	0.0	0.0	6527395404.0	3265087660.0	3262307744.0	5715353805.0	5616457487.0	0.0	0.0	13204609.0	0.002351056	45.0	46.0	46.0	50.0	50.0	50.0	36.0	169.5	140.3	55121584.0	3931497.0	20598.0	115135.0	81.7	82.93542592822864	82.71462975957887	17.06457407177135	81.69466904359652	100.0	0.0	12.536787366485305	0.0
LV_EC_ATAC_REP1_T1	128696970.0	0.0	128696970.0	1.0	64348485.0	64348485.0	120613224.0	120286832.0	8083746.0	118800364.0	128696970.0	0.0	18658801.0	0.0	0.0	0.0	6223167163.0	3113562544.0	3109604619.0	5838787971.0	5746600772.0	0.0	0.0	15726375.0	0.002736639	48.0	48.0	48.0	50.0	50.0	50.0	36.0	162.8	139.3	55064900.0	4932340.0	22134.0	124042.0	92.3	93.71877519727154	93.46516238882703	6.281224802728456	92.31014840520332	100.0	0.0	14.498244208857441	0.0
LV_EC_ATAC_REP2_T1	32539586.0	0.0	32539586.0	1.0	16269793.0	16269793.0	30397269.0	30241544.0	2142317.0	29477356.0	32539586.0	0.0	4594068.0	0.0	0.0	0.0	2146354163.0	1078627738.0	1067726425.0	2017561185.0	1940179573.0	0.0	0.0	8422975.0	0.004341338	65.0	66.0	66.0	76.0	76.0	76.0	38.2	125.0	106.0	11803941.0	3240736.0	8681.0	67414.0	90.6	93.41627456477167	92.93770363273829	6.58372543522834	90.58921647005589	100.0	0.0	14.118397203947216	0.0
