gene	min_padj	mean_log2FoldChange	condition
ENSMUSG00000058396	3.1094588998828946e-167	6.181974771219146	BR
ENSMUSG00000058254	7.62464088980976e-127	10.175165525446193	BR
ENSMUSG00000055435	1.1819644844421106e-116	5.072037513252493	BR
ENSMUSG00000033377	1.8700459700253606e-102	-4.328268713919877	BR
ENSMUSG00000058297	9.171920808847663e-80	-10.395235784331112	BR
ENSMUSG00000031239	9.027161315571492e-78	-9.965178192484103	BR
ENSMUSG00000035459	1.1105334759886019e-73	6.305006357652469	BR
ENSMUSG00000086825	1.4234813938066757e-73	3.5987667530460907	BR
ENSMUSG00000061353	1.184265283995912e-72	-5.333098989552933	BR
ENSMUSG00000036565	1.6826871286116456e-68	3.993575766551125	BR
ENSMUSG00000030096	3.2619202778445964e-63	-4.558087784943699	BR
ENSMUSG00000054435	1.9494577592931982e-61	4.6603060489335775	BR
ENSMUSG00000041313	4.510282731535431e-61	-6.472880957707593	BR
ENSMUSG00000025964	6.328197799094406e-61	9.08523228239029	BR
ENSMUSG00000000142	2.440047862698128e-59	-4.6639570193972455	BR
ENSMUSG00000032548	2.4003412631476696e-58	5.88890378780936	BR
ENSMUSG00000040584	8.025691350598482e-58	-5.679956670572855	BR
ENSMUSG00000025085	3.746739323569209e-56	-4.6000451688657895	BR
ENSMUSG00000027217	9.961793215800891e-56	4.138789345568794	BR
ENSMUSG00000039701	1.259217015551659e-55	-5.4695609602776205	BR
ENSMUSG00000060591	9.132721459740981e-52	3.220565452812885	BR
ENSMUSG00000025037	6.723897360974755e-51	-5.410503689517759	BR
ENSMUSG00000026399	8.344681678246158e-51	5.995110697917735	BR
ENSMUSG00000022122	8.509187471105815e-51	3.6785818929490093	BR
ENSMUSG00000040265	1.030776944642414e-49	-5.3099312349670145	BR
ENSMUSG00000031877	3.750184691891273e-49	5.714029022930802	BR
ENSMUSG00000038264	2.6757464007154348e-48	-3.0137276705444456	BR
ENSMUSG00000105361	1.163809724801312e-47	9.637202100732644	BR
ENSMUSG00000024754	1.4841148748668491e-46	4.231252677568164	BR
ENSMUSG00000035245	1.4841148748668491e-46	-3.8919203303833565	BR
ENSMUSG00000074491	1.5051908626387457e-45	9.574201891052958	BR
ENSMUSG00000027985	2.2222879299916186e-45	-7.44312541182622	BR
ENSMUSG00000030237	5.3465865251543837e-45	-17.426352056568454	BR
ENSMUSG00000031442	1.4666454065307814e-44	-3.5634033206587	BR
ENSMUSG00000034684	1.957673078344249e-44	3.9189868991080714	BR
ENSMUSG00000039202	3.721214262603624e-44	-2.9745368138632147	BR
ENSMUSG00000025780	4.167875042340929e-44	-9.9829206884395	BR
ENSMUSG00000051375	2.017067097244514e-43	-1.0894946274900177	BR
ENSMUSG00000017309	5.0420932441450464e-43	3.936930885705812	BR
ENSMUSG00000025986	6.34770183633706e-43	-4.816109924515996	BR
