Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
BR1-EC_bRNA_1 - Adapter 1	12103391	3527298	1107752	283344	113216	73532	66635	63855	63087	59570	54634	52855	46722	47265	41368	39215	38619	35632	29843	27710	27601	26422	24630	23022	23128	22345	22147	21540	18969	17530	19801	15693	15055	15833	16674	14933	13098	12668	10702	11833	10650	9165	8611	8192	8534	7452	6895	6844	6544	5831	6626	7634	5856	4744	4574	5484	5193	6025	5012	4470	4626	10483	13105	6804	6540	9249	16744	41891	219666	211760	206215	232415	167259	101330	30791	34870	40336	28249	22215	15556	11472	6420	4343	2600	1997	1638	1466	1369	1713	1884	2111	2859	3725	6125	5992	8596	11245	17903	33307	77079	336875
BR1-EC_bRNA_2 - Adapter 1	12528230	3603675	1129907	285019	112722	73456	67375	63692	68406	61391	57404	54006	50196	51137	39154	38974	40801	32119	31887	26121	25398	26239	25416	24428	22488	33969	31830	21161	22246	24186	11102	15457	12702	13436	15631	12194	11876	11504	10830	10066	11482	11124	7760	9534	8774	5848	6148	5840	5733	5539	6010	4688	4297	4434	4203	3775	3622	3445	3422	3228	3178	2966	2795	3054	4453	9789	11711	18710	7963	2462	769	384	247	175	225	206	181	174	176	164	182	171	135	119	152	163	174	196	340	176	186	228	210	233	294	419	553	878	1626	4035	16859
BR2-EC_bRNA_1 - Adapter 1	12195171	3765464	1117134	245810	77975	35399	30360	28227	27956	26893	23873	22498	20257	19323	17825	16042	14617	12875	10703	11315	10633	9669	9175	8749	8818	10254	9591	12335	8499	8794	15510	6081	6643	5112	6444	5665	4591	5786	4187	4987	3777	3595	2973	3662	3727	2942	2760	2893	2623	2669	4014	5501	2677	2138	2473	3479	3911	6505	4004	3452	5390	18193	28541	12018	12585	19716	40471	109908	516864	482595	459554	511533	363706	224616	69098	79902	91797	64569	51417	35368	26695	15428	10162	6265	4618	3687	3292	3043	3218	4063	4540	6222	7920	12940	13624	19213	26095	41363	77625	177894	779540
BR2-EC_bRNA_2 - Adapter 1	12978330	3919574	1161654	250750	78849	35960	31903	28925	39378	30359	31408	24691	26855	21640	17440	16747	15112	11337	11919	10509	9236	9773	10087	8946	8234	36129	34046	8380	17859	8803	4927	5034	4385	4396	5473	4043	3613	3515	3424	2857	6756	3400	2060	6231	2576	1693	1697	1599	1597	1604	1661	1280	1182	1165	1149	981	987	887	903	897	836	877	808	929	1878	9359	18204	39002	16387	4874	1224	443	250	158	164	141	100	102	101	107	109	109	118	134	129	150	188	178	268	246	296	400	420	481	657	864	1183	1904	3732	9414	39073
BR3-EC_bRNA_1 - Adapter 1	14100531	4311304	1254098	277813	85624	36616	32085	29907	29558	27950	25071	23612	20748	19946	16270	16625	15564	13304	11497	11122	11250	9739	9070	8994	8315	8813	8639	9614	7624	7676	12571	5951	6630	5870	5514	4214	3850	5776	5370	10282	5778	3798	2779	6580	8155	4506	3836	4449	3384	2542	7530	9691	3148	2577	2303	5388	4653	7817	3776	3099	3507	15643	17210	6682	6730	11078	20654	62314	294467	310325	318782	367552	265975	165555	51886	60575	70126	49485	39587	27482	20870	11821	7790	4793	3441	2796	2281	2087	2355	2699	3140	4293	5270	8634	9132	13056	17575	28445	52638	120844	533178
BR3-EC_bRNA_2 - Adapter 1	14683533	4409712	1280655	280190	85869	37034	32585	30238	37411	30292	30166	24933	25488	21765	16002	17130	16344	11970	12486	10456	10175	9704	9947	9356	7978	26771	25697	8009	14309	8657	4445	5079	4053	4354	5098	3935	3559	3219	3381	2928	5521	3314	2149	4825	2541	1689	1650	1574	1601	1530	1596	1201	1107	1162	1155	935	899	896	863	845	712	790	721	821	1473	6520	12440	27117	11583	3410	869	351	198	122	124	107	109	105	107	84	103	73	108	92	109	114	125	152	162	185	213	262	304	339	515	635	852	1367	2772	6618	27147
LG1-EC_bRNA_1 - Adapter 1	6802096	2270860	634788	137521	46086	21624	20112	16975	18468	17441	14668	14577	12793	12848	11723	10859	10712	10077	8476	8486	8354	7358	7060	6566	6759	5854	6282	6099	5268	5036	4721	4226	3724	3951	3430	3135	2739	3051	2991	2879	2987	1746	1786	1702	1888	1744	1530	1459	1396	1224	1255	1394	1152	864	870	860	966	832	928	675	751	946	1588	1086	1131	1962	2987	5718	13077	17093	41783	105241	793737	461529	34921	21201	18811	17075	15044	9754	6314	4648	3207	2026	1609	1317	1232	1267	1506	1944	2087	2695	2286	3273	3907	7677	7826	11062	19369	54501	152888
LG1-EC_bRNA_2 - Adapter 1	6989562	2261936	655296	140437	46413	21967	20238	17478	22756	18554	18727	16273	19409	14792	11179	12544	12157	8265	10337	7544	7339	7495	8502	6871	6597	18513	18503	7140	15695	8914	2120	5324	3391	3922	6058	3618	3506	2960	3721	2312	13926	3051	1392	8753	2548	1453	1567	1294	1638	1530	1372	988	925	986	875	769	789	678	672	631	626	590	625	870	3450	13441	303426	697965	183301	47142	12890	4921	1436	707	433	369	329	230	259	221	191	205	231	210	316	338	427	484	562	644	858	1000	1254	1712	2128	2945	4057	6470	11548	33427	123064
LG2-EC_bRNA_1 - Adapter 1	1435426	521176	141212	32568	13947	8601	7966	7010	7330	6914	6022	5530	5176	4919	4637	4381	4340	4150	3029	3314	3096	2727	2728	2742	2580	2585	2490	2564	2179	1881	2043	1535	1341	1521	1087	1269	1203	1113	1015	989	930	734	764	638	660	579	534	476	472	397	434	456	378	271	253	279	292	294	335	276	323	404	865	586	633	1205	1855	3676	8849	11612	29705	68235	518449	282469	21211	12819	11390	10583	8958	5888	3683	2695	1876	1262	1014	861	731	829	1130	1499	1681	2123	1572	2365	2868	5134	4946	6849	12386	34329	96406
LG2-EC_bRNA_2 - Adapter 1	1522527	527196	150645	33772	14097	8717	8189	7252	9960	7890	8443	6684	9461	6069	4610	5335	4883	3211	4150	2810	2633	2866	3537	2779	2524	10571	10101	3084	8952	3512	1199	2560	1502	1598	3358	1465	1475	1158	1557	875	8056	1175	476	5105	1095	562	550	404	616	600	477	328	313	287	248	225	220	198	222	195	216	175	279	436	2102	8695	195216	445177	116349	29556	8200	3076	925	453	283	204	204	159	135	115	128	112	120	133	201	217	207	325	392	425	549	672	775	1082	1327	1991	2568	4205	7717	21740	79359
