Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
BR1-EC_bRNA_1 - Adapter 1	0.9618451540519726	1.1212442999223555	1.4085121662680924	1.4410932094514524	2.3032776379686006	5.983757303517081	21.69037466228313	83.14453125	328.578125	1241.0416666666667	4552.833333333333	17618.333333333332	58402.5	59081.25	51710.0	49018.75	48273.75	44540.0	37303.75	34637.5	34501.25	33027.5	30787.5	28777.5	28910.0	27931.25	27683.75	26925.0	23711.25	21912.5	24751.25	19616.25	18818.75	19791.25	20842.5	18666.25	16372.5	15835.0	13377.5	14791.25	13312.5	11456.25	10763.75	10240.0	10667.5	9315.0	8618.75	8555.0	8180.0	7288.75	8282.5	9542.5	7320.0	5930.0	5717.5	6855.0	6491.25	7531.25	6265.0	5587.5	5782.5	13103.75	16381.25	8505.0	8175.0	11561.25	20930.0	52363.75	274582.5	264700.0	257768.75	290518.75	209073.75	126662.5	38488.75	43587.5	50420.0	35311.25	27768.75	19445.0	14340.0	8025.0	5428.75	3250.0	2496.25	2047.5	1832.5	1711.25	2141.25	2355.0	2638.75	3573.75	4656.25	7656.25	7490.0	10745.0	14056.25	22378.75	41633.75	96348.75	421093.75
BR1-EC_bRNA_2 - Adapter 1	0.9956067117346324	1.1455227351141566	1.4366823587332556	1.4496122927065458	2.2932276525146325	5.977572709665869	21.931252237882884	82.93229166666667	356.28125	1278.9791666666667	4783.666666666667	18002.0	62745.0	63921.25	48942.5	48717.5	51001.25	40148.75	39858.75	32651.25	31747.5	32798.75	31770.0	30535.0	28110.0	42461.25	39787.5	26451.25	27807.5	30232.5	13877.5	19321.25	15877.5	16795.0	19538.75	15242.5	14845.0	14380.0	13537.5	12582.5	14352.5	13905.0	9700.0	11917.5	10967.5	7310.0	7685.0	7300.0	7166.25	6923.75	7512.5	5860.0	5371.25	5542.5	5253.75	4718.75	4527.5	4306.25	4277.5	4035.0	3972.5	3707.5	3493.75	3817.5	5566.25	12236.25	14638.75	23387.5	9953.75	3077.5	961.25	480.0	308.75	218.75	281.25	257.5	226.25	217.5	220.0	205.0	227.5	213.75	168.75	148.75	190.0	203.75	217.5	245.0	425.0	220.0	232.5	285.0	262.5	291.25	367.5	523.75	691.25	1097.5	2032.5	5043.75	21073.75
BR2-EC_bRNA_1 - Adapter 1	0.8941637004909619	1.1043522717700989	1.3105524002052522	1.1534765250328947	1.463607372188926	2.6577821157744577	9.117938553022796	33.910379625180205	134.3392599711677	517.1730769230769	1836.3846153846155	6817.575757575758	25321.25	24153.75	22281.25	20052.5	18271.25	16093.75	13378.75	14143.75	13291.25	12086.25	11468.75	10936.25	11022.5	12817.5	11988.75	15418.75	10623.75	10992.5	19387.5	7601.25	8303.75	6390.0	8055.0	7081.25	5738.75	7232.5	5233.75	6233.75	4721.25	4493.75	3716.25	4577.5	4658.75	3677.5	3450.0	3616.25	3278.75	3336.25	5017.5	6876.25	3346.25	2672.5	3091.25	4348.75	4888.75	8131.25	5005.0	4315.0	6737.5	22741.25	35676.25	15022.5	15731.25	24645.0	50588.75	137385.0	646080.0	603243.75	574442.5	639416.25	454632.5	280770.0	86372.5	99877.5	114746.25	80711.25	64271.25	44210.0	33368.75	19285.0	12702.5	7831.25	5772.5	4608.75	4115.0	3803.75	4022.5	5078.75	5675.0	7777.5	9900.0	16175.0	17030.0	24016.25	32618.75	51703.75	97031.25	222367.5	974425.0
BR2-EC_bRNA_2 - Adapter 1	0.9515858021993185	1.1495503479175508	1.3627805061058316	1.1766577383019339	1.4800125385023997	2.699902395074705	9.581343664594408	34.74891878904373	189.22633349351273	583.8269230769231	2416.0	7482.121212121213	33568.75	27050.0	21800.0	20933.75	18890.0	14171.25	14898.75	13136.25	11545.0	12216.25	12608.75	11182.5	10292.5	45161.25	42557.5	10475.0	22323.75	11003.75	6158.75	6292.5	5481.25	5495.0	6841.25	5053.75	4516.25	4393.75	4280.0	3571.25	8445.0	4250.0	2575.0	7788.75	3220.0	2116.25	2121.25	1998.75	1996.25	2005.0	2076.25	1600.0	1477.5	1456.25	1436.25	1226.25	1233.75	1108.75	1128.75	1121.25	1045.0	1096.25	1010.0	1161.25	2347.5	11698.75	22755.0	48752.5	20483.75	6092.5	1530.0	553.75	312.5	197.5	205.0	176.25	125.0	127.5	126.25	133.75	136.25	136.25	147.5	167.5	161.25	187.5	235.0	222.5	335.0	307.5	370.0	500.0	525.0	601.25	821.25	1080.0	1478.75	2380.0	4665.0	11767.5	48841.25
BR3-EC_bRNA_1 - Adapter 1	0.9308640925568864	1.1384643692380363	1.3246534120838456	1.1737707882486452	1.4470602153081746	2.475258233735331	8.675842301660268	32.349378042184966	127.90134141064475	483.56401384083046	1741.0416666666665	6558.888888888889	23053.333333333332	22162.222222222223	18077.777777777777	18472.222222222223	17293.333333333332	14782.222222222223	12774.444444444443	12357.777777777777	12500.0	10821.111111111111	10077.777777777777	9993.333333333334	9238.888888888889	9792.222222222223	9598.888888888889	10682.222222222223	8471.111111111111	8528.888888888889	13967.777777777777	6612.222222222222	7366.666666666666	6522.222222222222	6126.666666666667	4682.222222222222	4277.777777777777	6417.777777777777	5966.666666666667	11424.444444444443	6420.0	4220.0	3087.777777777778	7311.111111111111	9061.111111111111	5006.666666666667	4262.222222222222	4943.333333333333	3760.0	2824.4444444444443	8366.666666666666	10767.777777777777	3497.777777777778	2863.3333333333335	2558.8888888888887	5986.666666666667	5170.0	8685.555555555555	4195.555555555556	3443.333333333333	3896.6666666666665	17381.11111111111	19122.222222222223	7424.444444444444	7477.777777777777	12308.888888888889	22948.888888888887	69237.77777777778	327185.55555555556	344805.55555555556	354202.2222222222	408391.1111111111	295527.77777777775	183950.0	57651.11111111111	67305.55555555555	77917.77777777778	54983.33333333333	43985.555555555555	30535.555555555555	23188.888888888887	13134.444444444443	8655.555555555555	5325.555555555556	3823.333333333333	3106.6666666666665	2534.4444444444443	2318.8888888888887	2616.6666666666665	2998.8888888888887	3488.8888888888887	4770.0	5855.555555555556	9593.333333333334	10146.666666666666	14506.666666666666	19527.777777777777	31605.555555555555	58486.666666666664	134271.1111111111	592420.0
BR3-EC_bRNA_2 - Adapter 1	0.9693516947393042	1.1644504749842275	1.3527045059096157	1.1838137061958507	1.451200757127647	2.503515223622303	8.811043210210373	32.70740941049216	161.8823020337516	524.083044982699	2094.861111111111	6925.833333333333	28320.0	24183.333333333332	17780.0	19033.333333333332	18160.0	13300.0	13873.333333333332	11617.777777777777	11305.555555555555	10782.222222222223	11052.222222222223	10395.555555555555	8864.444444444443	29745.555555555555	28552.222222222223	8898.888888888889	15898.888888888889	9618.888888888889	4938.888888888889	5643.333333333333	4503.333333333333	4837.777777777777	5664.444444444444	4372.222222222222	3954.4444444444443	3576.6666666666665	3756.6666666666665	3253.333333333333	6134.444444444444	3682.222222222222	2387.777777777778	5361.111111111111	2823.3333333333335	1876.6666666666665	1833.3333333333333	1748.888888888889	1778.888888888889	1700.0	1773.3333333333333	1334.4444444444443	1230.0	1291.111111111111	1283.3333333333333	1038.888888888889	998.8888888888889	995.5555555555555	958.8888888888889	938.8888888888889	791.1111111111111	877.7777777777777	801.1111111111111	912.2222222222222	1636.6666666666665	7244.444444444444	13822.222222222223	30130.0	12870.0	3788.8888888888887	965.5555555555555	390.0	220.0	135.55555555555554	137.77777777777777	118.88888888888889	121.11111111111111	116.66666666666666	118.88888888888889	93.33333333333333	114.44444444444444	81.11111111111111	120.0	102.22222222222221	121.11111111111111	126.66666666666666	138.88888888888889	168.88888888888889	180.0	205.55555555555554	236.66666666666666	291.1111111111111	337.77777777777777	376.6666666666667	572.2222222222222	705.5555555555555	946.6666666666666	1518.888888888889	3080.0	7353.333333333333	30163.333333333332
LG1-EC_bRNA_1 - Adapter 1	0.8764134092709108	1.170352258063585	1.3086243022806117	1.1340058266629613	1.5201121464500702	2.85299627938887	10.614312856238126	35.83491661389065	155.9797297297297	589.2229729729729	1982.162162162162	7672.105263157895	25586.0	25696.0	23446.0	21718.0	21424.0	20154.0	16952.0	16972.0	16708.0	14716.0	14120.0	13132.0	13518.0	11708.0	12564.0	12198.0	10536.0	10072.0	9442.0	8452.0	7448.0	7902.0	6860.0	6270.0	5478.0	6102.0	5982.0	5758.0	5974.0	3492.0	3572.0	3404.0	3776.0	3488.0	3060.0	2918.0	2792.0	2448.0	2510.0	2788.0	2304.0	1728.0	1740.0	1720.0	1932.0	1664.0	1856.0	1350.0	1502.0	1892.0	3176.0	2172.0	2262.0	3924.0	5974.0	11436.0	26154.0	34186.0	83566.0	210482.0	1587474.0	923058.0	69842.0	42402.0	37622.0	34150.0	30088.0	19508.0	12628.0	9296.0	6414.0	4052.0	3218.0	2634.0	2464.0	2534.0	3012.0	3888.0	4174.0	5390.0	4572.0	6546.0	7814.0	15354.0	15652.0	22124.0	38738.0	109002.0	305776.0
LG1-EC_bRNA_2 - Adapter 1	0.9005673930109788	1.1657530209679652	1.3509018298822215	1.1580513250999216	1.5308979962068112	2.8982505211494316	10.680810639645346	36.89677010766308	192.19594594594594	626.8243243243243	2530.6756756756754	8564.736842105263	38818.0	29584.0	22358.0	25088.0	24314.0	16530.0	20674.0	15088.0	14678.0	14990.0	17004.0	13742.0	13194.0	37026.0	37006.0	14280.0	31390.0	17828.0	4240.0	10648.0	6782.0	7844.0	12116.0	7236.0	7012.0	5920.0	7442.0	4624.0	27852.0	6102.0	2784.0	17506.0	5096.0	2906.0	3134.0	2588.0	3276.0	3060.0	2744.0	1976.0	1850.0	1972.0	1750.0	1538.0	1578.0	1356.0	1344.0	1262.0	1252.0	1180.0	1250.0	1740.0	6900.0	26882.0	606852.0	1395930.0	366602.0	94284.0	25780.0	9842.0	2872.0	1414.0	866.0	738.0	658.0	460.0	518.0	442.0	382.0	410.0	462.0	420.0	632.0	676.0	854.0	968.0	1124.0	1288.0	1716.0	2000.0	2508.0	3424.0	4256.0	5890.0	8114.0	12940.0	23096.0	66854.0	246128.0
LG2-EC_bRNA_1 - Adapter 1	0.7298878950330996	1.060033787590525	1.1488599022575783	1.0598560954417207	1.815495561167374	4.4785212184327	16.59237658821079	58.416666666666664	244.33333333333334	921.8666666666667	3169.4736842105262	11060.0	51760.0	49190.0	46370.0	43810.0	43400.0	41500.0	30290.0	33140.0	30960.0	27270.0	27280.0	27420.0	25800.0	25850.0	24900.0	25640.0	21790.0	18810.0	20430.0	15350.0	13410.0	15210.0	10870.0	12690.0	12030.0	11130.0	10150.0	9890.0	9300.0	7340.0	7640.0	6380.0	6600.0	5790.0	5340.0	4760.0	4720.0	3970.0	4340.0	4560.0	3780.0	2710.0	2530.0	2790.0	2920.0	2940.0	3350.0	2760.0	3230.0	4040.0	8650.0	5860.0	6330.0	12050.0	18550.0	36760.0	88490.0	116120.0	297050.0	682350.0	5184490.0	2824690.0	212110.0	128190.0	113900.0	105830.0	89580.0	58880.0	36830.0	26950.0	18760.0	12620.0	10140.0	8610.0	7310.0	8290.0	11300.0	14990.0	16810.0	21230.0	15720.0	23650.0	28680.0	51340.0	49460.0	68490.0	123860.0	343290.0	964060.0
LG2-EC_bRNA_2 - Adapter 1	0.7741771621532981	1.0722780263914196	1.2256040561396544	1.0990377074200992	1.8350212178802947	4.538922155688622	17.056863153509685	60.43333333333333	332.0	1052.0	4443.684210526316	13368.0	94610.0	60690.0	46100.0	53350.0	48830.0	32110.0	41500.0	28100.0	26330.0	28660.0	35370.0	27790.0	25240.0	105710.0	101010.0	30840.0	89520.0	35120.0	11990.0	25600.0	15020.0	15980.0	33580.0	14650.0	14750.0	11580.0	15570.0	8750.0	80560.0	11750.0	4760.0	51050.0	10950.0	5620.0	5500.0	4040.0	6160.0	6000.0	4770.0	3280.0	3130.0	2870.0	2480.0	2250.0	2200.0	1980.0	2220.0	1950.0	2160.0	1750.0	2790.0	4360.0	21020.0	86950.0	1952160.0	4451770.0	1163490.0	295560.0	82000.0	30760.0	9250.0	4530.0	2830.0	2040.0	2040.0	1590.0	1350.0	1150.0	1280.0	1120.0	1200.0	1330.0	2010.0	2170.0	2070.0	3250.0	3920.0	4250.0	5490.0	6720.0	7750.0	10820.0	13270.0	19910.0	25680.0	42050.0	77170.0	217400.0	793590.0
