Sample	Unique Reads	Duplicate Reads
BR1-EC_bRNA_1	29683296.0	18499444.0
BR1-EC_bRNA_2	30111176.0	18071564.0
BR2-EC_bRNA_1	28128158.0	21490680.0
BR2-EC_bRNA_2	28863715.0	20755123.0
BR3-EC_bRNA_1	32180337.0	24919883.0
BR3-EC_bRNA_2	32778727.0	24321493.0
LG1-EC_bRNA_1	19568282.0	9419518.0
LG1-EC_bRNA_2	19647758.0	9340042.0
LG2-EC_bRNA_1	4567873.0	2039084.0
LG2-EC_bRNA_2	4585728.0	2021229.0
LG3-EC_bRNA_1	10926144.0	5316867.0
LG3-EC_bRNA_2	10970707.0	5272304.0
LV1-EC_bRNA_1	24432937.0	24547881.0
LV1-EC_bRNA_2	24618269.0	24362549.0
LV2-EC_bRNA_1	22117969.0	36301394.0
LV2-EC_bRNA_2	22147038.0	36272325.0
LV3-EC_bRNA_1	27120949.0	28844455.0
LV3-EC_bRNA_2	27318390.0	28647014.0
