Sample	10	11	12	13	14	15	16	17	18	19	1	2	3	4	5	6	7	8	9	MT	X
BR1-EC_bRNA	4230573	4931378	3328631	3204440	3721015	2633242	3242133	5772067	2449476	4006788	5786850	6593713	4321928	3957553	5456084	5112836	4468757	3610091	4218587	8112689	1920409
BR2-EC_bRNA	4179232	5237768	3281269	3253896	3896436	2821830	3376112	7018827	2455188	4278090	5755467	6630461	4393973	4066562	5787637	5244558	5043727	3859897	4400382	7621140	1863174
BR3-EC_bRNA	4819516	6407902	3716760	3598486	4377099	3142168	4004222	8584446	2755992	4795411	6570233	7575145	4894708	4572107	6423615	6178156	6054865	4192377	4848888	10408132	2089205
LG1-EC_bRNA	2229293	3583452	2148953	1989709	1998837	2063345	2100588	4681454	1635907	2110153	3551021	3915000	2317218	2449242	3321342	3098854	2838386	2397236	2582255	2139822	1028949
LG2-EC_bRNA	454619	780059	527312	407217	412020	480312	487240	1223638	357918	379625	710110	886653	428738	504259	716074	698720	607595	581187	596656	312346	194057
LG3-EC_bRNA	1193746	2041892	1251050	1073828	1077795	1173195	1180469	2952886	905626	1087708	1931321	2223231	1199173	1285880	1806518	1746558	1556564	1393530	1468718	1191209	528695
LV1-EC_bRNA	4376108	4301208	2532874	2800334	2872643	3027916	3098068	7357867	1961943	2281710	6026848	5768740	2837844	4277005	3639927	3849058	3404511	3844457	3764603	22088898	1900154
LV2-EC_bRNA	4604600	4664150	3104304	3154897	3065689	3630001	3830558	11206306	2155515	2219864	7436650	6577090	3041077	4642685	3949935	4696981	3573576	4296819	4353563	29385554	1936006
LV3-EC_bRNA	5268569	4965892	3030060	3356392	3438118	3814484	3656516	8989162	2370728	2931391	6946033	6847880	3519242	4816607	4311379	4440968	3865326	4428991	4595572	21565633	2269206
