# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
148398       1     859993     879961    129      37  446435     0.064606    7.9103e-16     0.064606
26155        1     879583     894679     98      26  448726      0.77394    7.7716e-16      0.77394
339451       1     895967     901099     35      13  451435      0.91036    7.7716e-16      0.91036
84069        1     901872     910488     65      35  447422       1.2679    8.8818e-16       1.2679
84808        1     910579     917473     37      16  444789       2.1596    8.8818e-16       2.1596
57801        1     934342     936608     17       7  460925       1.6654    8.8818e-16       1.6654
9636         1     948847     949920      9       4  415709       2.1402    8.8818e-16       2.1402
375790       1     955503     991499    241      52  459564       3.3058    8.8818e-16       3.3058
401934       1    1007126    1009687     14       8  463568       2.8453    8.8818e-16       2.8453
54991        1    1017198    1051736    196      44  452694       1.2253    8.8818e-16       1.2253
254173       1    1109286    1133315    204      37  469425      0.38261    7.7716e-16      0.38261
8784         1    1138888    1142163     23       9  448007     -0.66535    7.7716e-16     -0.66535
7293         1    1146706    1149703     14       8  471703      -1.5497    8.8818e-16      -1.5497
51150        1    1152288    1167447    129      15  467584     -0.84715    7.7716e-16     -0.84715
126792       1    1167629    1170421     13       6  471880     -0.88633    7.7716e-16     -0.88633
388581       1    1177826    1182102     23       9  465374      0.81676    7.7716e-16      0.81676
118424       1    1189292    1209234     83      24  462703     -0.24331    7.7716e-16     -0.24331
6339         1    1215816    1227409     65      30  460280      -1.1537    8.8818e-16      -1.1537
116983       1    1227764    1243304     96      33  465528     -0.20798    7.7716e-16     -0.20798
126789       1    1243962    1247057     16      10  429001      -1.9963    8.8818e-16      -1.9963
54973        1    1246965    1260067     59      28  442991     -0.97241    7.7716e-16     -0.97241
80772        1    1260136    1264276     18       8  463526    -0.031162    7.8756e-16    -0.031162
83756        1    1266726    1269844     16      10  459089      -1.9215    8.8818e-16      -1.9215
1855         1    1270658    1284509     85      30  454197      -1.2772    8.8818e-16      -1.2772
54587        1    1288071    1297183     48      17  456849     -0.93217    7.7716e-16     -0.93217
54998        1    1309110    1310818     10       5  430559      0.63502    7.7716e-16      0.63502
81669        1    1321091    1334718     49      24  453192      -0.2058    7.7716e-16      -0.2058
55052        1    1337276    1342693     20      10  467135     0.087954    7.9103e-16     0.087954
441869       1    1353800    1356824     12       6  464218      -1.5796    8.8818e-16      -1.5796
643965       1    1361508    1363167     10       5  466340      -1.2961    8.8818e-16      -1.2961
64856        1    1370903    1378262     28      12  464500     -0.52122    7.7716e-16     -0.52122
219293       1    1378152    1405538    157      37  463002     -0.84747    7.7716e-16     -0.84747
83858        1    1407139    1444852    217      47  454001     -0.20557    7.7716e-16     -0.20557
55210        1    1447523    1470067    153      41  461229      0.75857    7.7716e-16      0.75857
339453       1    1470158    1475740     22      15  461919      -1.5859    8.8818e-16      -1.5859
29101        1    1477053    1510262    132      26  463508     -0.80998    7.7716e-16     -0.80998
643988       1    1533388    1535476      4       2  447618        1.388    8.8818e-16        1.388
142678       1    1550795    1565990     67      24  453249      -1.8976    8.8818e-16      -1.8976
8510         1    1567060    1570030      4       2  460103     -0.56605    7.7716e-16     -0.56605
984          1    1571100    1590473     33      12  405252      -2.0233    8.8818e-16      -2.0233
728661       1    1591486    1624243    120      40  459809       -1.477    8.8818e-16       -1.477
728642       1    1633822    1655999     80      11  459324      0.67785    7.7716e-16      0.67785
9906         1    1656277    1677438     65      24  455453      0.79189    7.7716e-16      0.79189
65220        1    1682671    1711508    128      33  464442      -1.4543    8.8818e-16      -1.4543
2782         1    1716725    1822552    354      66  459277     -0.68716    7.7716e-16     -0.68716
163688       1    1846266    1848733     11       4  479100     -0.58123    7.7716e-16     -0.58123
339456       1    1849029    1850740      9       4  479553     -0.23381    7.7716e-16     -0.23381
85452        1    1853390    1935276    515      59  464998      -1.1911    8.8818e-16      -1.1911
2563         1    1950768    1962192     62      22  453023      -1.0055    8.8818e-16      -1.0055
5590         1    1981909    2116834    784      65  466216      -1.8159    8.8818e-16      -1.8159
100506504    1    2113250    2115812     12       8  468050     0.043767     7.841e-16     0.043767
199990       1    2115899    2144159    101      38  470571      -1.4652    8.8818e-16      -1.4652
6497         1    2160134    2241652    408     105  462692      -1.9806    8.8818e-16      -1.9806
79906        1    2251719    2323190    444      78  467469      -1.5211    8.8818e-16      -1.5211
11079        1    2323214    2336883     64      28  464618      -1.1946    8.8818e-16      -1.1946
5192         1    2336241    2344010     37      17  478530       -1.758    8.8818e-16       -1.758
9651         1    2407754    2436964    163      53  448738       -1.058    8.8818e-16       -1.058
55229        1    2439975    2458061    110      31  464949      -2.2495    8.8818e-16      -2.2495
388585       1    2460184    2461684      8       6  470641      -1.8476    8.8818e-16      -1.8476
8764         1    2487291    2495268     36      13  473745     -0.40696    7.7716e-16     -0.40696
127281       1    2517899    2522908     27      16  453945     -0.43643    7.7716e-16     -0.43643
79258        1    2522078    2564499    252      24  469301     0.031082    7.8756e-16     0.031082
100287898    1    2572807    2706230    110      28  468132      0.72966    7.7716e-16      0.72966
140625       1    2938046    2939467      8       5  468567      -3.1321    8.8818e-16      -3.1321
63976        1    2985565    3355185   2354     285  469116      -1.4231    8.8818e-16      -1.4231
27237        1    3371147    3397677    155      34  471173      -0.8153    7.7716e-16      -0.8153
1953         1    3404506    3528059    785     126  468117       0.1279    7.7716e-16       0.1279
127262       1    3541556    3546695     26      11  465393     0.041357     7.841e-16     0.041357
49856        1    3547331    3566671     85      29  455501     0.049377     7.841e-16     0.049377
7161         1    3569129    3652765    472     108  465941     -0.61104    7.7716e-16     -0.61104
148870       1    3668965    3688209    119      42  470291     -0.87793    7.7716e-16     -0.87793
388588       1    3689352    3692546     18       9  474282      -0.1159    7.9103e-16      -0.1159
57470        1    3696784    3713068    104      30  470814      0.75521    7.7716e-16      0.75521
9731         1    3728645    3773797    349      30  476742     -0.54911    7.7716e-16     -0.54911
1677         1    3773845    3801993    238      45  473448     -0.17922    7.7716e-16     -0.17922
339448       1    3805697    3816857     59      17  472241      -2.2584    8.8818e-16      -2.2584
55966        1    4715105    4843851    857     118  474019      -1.5084    8.8818e-16      -1.5084
261734       1    5922870    6052618    669      51  470124       1.1207    8.8818e-16       1.1207
8514         1    6052358    6161253    541      89  465632      0.29987    7.7716e-16      0.29987
