# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
148398       1     859993     879961    129      37  446435     0.073524    9.8532e-16     0.073524
26155        1     879583     894679     98      26  448726      0.78315     9.992e-16      0.78315
339451       1     895967     901099     35      13  451435      0.91886     9.992e-16      0.91886
84069        1     901872     910488     65      35  447422       1.2764    8.8818e-16       1.2764
84808        1     910579     917473     37      16  444789       2.1697    8.8818e-16       2.1697
57801        1     934342     936608     17       7  460925       1.6735    8.8818e-16       1.6735
9636         1     948847     949920      9       4  415709       2.1497    8.8818e-16       2.1497
375790       1     955503     991499    241      52  459564       3.3131    8.8818e-16       3.3131
401934       1    1007126    1009687     14       8  463568       2.8529    8.8818e-16       2.8529
54991        1    1017198    1051736    196      44  452694        1.234    8.8818e-16        1.234
254173       1    1109286    1133315    204      37  469425      0.38974     9.992e-16      0.38974
8784         1    1138888    1142163     23       9  448007     -0.65687     9.992e-16     -0.65687
7293         1    1146706    1149703     14       8  471703      -1.5442    8.8818e-16      -1.5442
51150        1    1152288    1167447    129      15  467584      -0.8394     9.992e-16      -0.8394
126792       1    1167629    1170421     13       6  471880     -0.87826     9.992e-16     -0.87826
388581       1    1177826    1182102     23       9  465374      0.82333     9.992e-16      0.82333
118424       1    1189292    1209234     83      24  462703     -0.23219    9.7145e-16     -0.23219
6339         1    1215816    1227409     65      30  460280      -1.1445    8.8818e-16      -1.1445
116983       1    1227764    1243304     96      33  465528     -0.20005    9.7145e-16     -0.20005
126789       1    1243962    1247057     16      10  429001      -1.9855    8.8818e-16      -1.9855
54973        1    1246965    1260067     59      28  442991     -0.96198     9.992e-16     -0.96198
80772        1    1260136    1264276     18       8  463526    -0.024437    9.8185e-16    -0.024437
83756        1    1266726    1269844     16      10  459089      -1.9119    8.8818e-16      -1.9119
1855         1    1270658    1284509     85      30  454197      -1.2681    8.8818e-16      -1.2681
54587        1    1288071    1297183     48      17  456849     -0.92372     9.992e-16     -0.92372
54998        1    1309110    1310818     10       5  430559      0.64423     9.992e-16      0.64423
81669        1    1321091    1334718     49      24  453192     -0.19741    9.7145e-16     -0.19741
55052        1    1337276    1342693     20      10  467135     0.094336    9.8532e-16     0.094336
441869       1    1353800    1356824     12       6  464218      -1.5736    8.8818e-16      -1.5736
643965       1    1361508    1363167     10       5  466340      -1.2906    8.8818e-16      -1.2906
64856        1    1370903    1378262     28      12  464500     -0.51425     9.992e-16     -0.51425
219293       1    1378152    1405538    157      37  463002     -0.84007     9.992e-16     -0.84007
83858        1    1407139    1444852    217      47  454001     -0.19648    9.7145e-16     -0.19648
55210        1    1447523    1470067    153      41  461229      0.76587     9.992e-16      0.76587
339453       1    1470158    1475740     22      15  461919      -1.5787    8.8818e-16      -1.5787
29101        1    1477053    1510262    132      26  463508     -0.80089     9.992e-16     -0.80089
643988       1    1533388    1535476      4       2  447618       1.3937    8.8818e-16       1.3937
142678       1    1550795    1565990     67      24  453249      -1.8879    8.8818e-16      -1.8879
8510         1    1567060    1570030      4       2  460103     -0.56139     9.992e-16     -0.56139
984          1    1571100    1590473     33      12  405252      -2.0103    8.8818e-16      -2.0103
728661       1    1591486    1624243    120      40  459809      -1.4677    8.8818e-16      -1.4677
728642       1    1633822    1655999     80      11  459324      0.68618     9.992e-16      0.68618
9906         1    1656277    1677438     65      24  455453      0.80048     9.992e-16      0.80048
65220        1    1682671    1711508    128      33  464442      -1.4452    8.8818e-16      -1.4452
2782         1    1716725    1822552    354      66  459277     -0.68056     9.992e-16     -0.68056
163688       1    1846266    1848733     11       4  479100     -0.57418     9.992e-16     -0.57418
339456       1    1849029    1850740      9       4  479553     -0.22813    9.7145e-16     -0.22813
85452        1    1853390    1935276    515      59  464998      -1.1824    8.8818e-16      -1.1824
2563         1    1950768    1962192     62      22  453023     -0.99638     9.992e-16     -0.99638
5590         1    1981909    2116834    784      65  466216       -1.808    8.8818e-16       -1.808
100506504    1    2113250    2115812     12       8  468050     0.049592    9.8532e-16     0.049592
199990       1    2115899    2144159    101      38  470571      -1.4584    8.8818e-16      -1.4584
6497         1    2160134    2241652    408     105  462692      -1.9773    8.8818e-16      -1.9773
79906        1    2251719    2323190    444      78  467469       -1.515    8.8818e-16       -1.515
11079        1    2323214    2336883     64      28  464618      -1.1863    8.8818e-16      -1.1863
5192         1    2336241    2344010     37      17  478530      -1.7514    8.8818e-16      -1.7514
9651         1    2407754    2436964    163      53  448738      -1.0498    8.8818e-16      -1.0498
55229        1    2439975    2458061    110      31  464949       -2.242    8.8818e-16       -2.242
388585       1    2460184    2461684      8       6  470641      -1.8411    8.8818e-16      -1.8411
8764         1    2487291    2495268     36      13  473745     -0.39904     9.992e-16     -0.39904
127281       1    2517899    2522908     27      16  453945     -0.42788     9.992e-16     -0.42788
79258        1    2522078    2564499    252      24  469301      0.04041    9.8532e-16      0.04041
100287898    1    2572807    2706230    110      28  468132      0.73673     9.992e-16      0.73673
140625       1    2938046    2939467      8       5  468567       -3.127    8.8818e-16       -3.127
63976        1    2985565    3355185   2354     285  469116      -1.4307    8.8818e-16      -1.4307
27237        1    3371147    3397677    155      34  471173     -0.80868     9.992e-16     -0.80868
1953         1    3404506    3528059    785     126  468117      0.12871    9.7145e-16      0.12871
127262       1    3541556    3546695     26      11  465393     0.048519    9.8532e-16     0.048519
49856        1    3547331    3566671     85      29  455501     0.057619    9.8532e-16     0.057619
7161         1    3569129    3652765    472     108  465941     -0.60812     9.992e-16     -0.60812
148870       1    3668965    3688209    119      42  470291     -0.87089     9.992e-16     -0.87089
388588       1    3689352    3692546     18       9  474282     -0.10911    9.8532e-16     -0.10911
57470        1    3696784    3713068    104      30  470814      0.76239     9.992e-16      0.76239
9731         1    3728645    3773797    349      30  476742     -0.53993     9.992e-16     -0.53993
1677         1    3773845    3801993    238      45  473448     -0.17182    9.7145e-16     -0.17182
339448       1    3805697    3816857     59      17  472241      -2.2509    8.8818e-16      -2.2509
55966        1    4715105    4843851    857     118  474019      -1.5063    8.8818e-16      -1.5063
261734       1    5922870    6052618    669      51  470124       1.1289    8.8818e-16       1.1289
8514         1    6052358    6161253    541      89  465632      0.30443     9.992e-16      0.30443
26038        1    6161847    6240194    451      77  465419       1.9635    8.8818e-16       1.9635
6146         1    6245080    6259679     47      14  473060      0.80881     9.992e-16      0.80881
388591       1    6266189    6281359     62      18  461134       1.4923    8.8818e-16       1.4923
23463        1    6281253    6296044     52      19  452101       1.5598    8.8818e-16       1.5598
390992       1    6304252    6305638      6       3  476173      0.30106     9.992e-16      0.30106
387509       1    6307406    6321035     61      13  452309      -1.5802    8.8818e-16      -1.5802
11332        1    6324332    6453826    679      56  470956     -0.70985     9.992e-16     -0.70985
54626        1    6475292    6484724     37      11  478771      -0.2814     9.992e-16      -0.2814
83715        1    6484836    6521004    162      31  467449    -0.065811    9.8532e-16    -0.065811
8718         1    6520787    6527432     35      16  475224      -1.0686    8.8818e-16      -1.0686
57449        1    6526152    6580121    263      64  465523     -0.14114    9.7145e-16     -0.14114
79707        1    6581407    6614658    169      15  471758     -0.47424     9.992e-16     -0.47424
80835        1    6614987    6639817    109      29  463912      0.13761    9.7145e-16      0.13761
3104         1    6640051    6649340     20      13  452311       2.3933    8.8818e-16       2.3933
9903         1    6650784    6662958     59      24  475492        1.896    8.8818e-16        1.896
148479       1    6673756    6684093     37      13  469445       2.1446    8.8818e-16       2.1446
90326        1    6684925    6695646     48      16  476407       2.6719    8.8818e-16       2.6719
55735        1    6694228    6761966    257      47  468311       2.2383    8.8818e-16       2.2383
23261        1    6845384    7829766   4336     358  469781     0.093823    9.8532e-16     0.093823
9341         1    7831329    7841492     41      15  477909      0.55689     9.992e-16      0.55689
8863         1    7844413    7905241    294      37  472715      0.52624     9.992e-16      0.52624
10911        1    7907672    7913551     31      13  480743      -1.4867    8.8818e-16      -1.4867
3604         1    7975931    8003225     82      21  474672     -0.34843     9.992e-16     -0.34843
11315        1    8021714    8045342    102      30  462688     -0.77283     9.992e-16     -0.77283
54206        1    8071779    8086393     46      17  462286      0.09395    9.8532e-16      0.09395
50651        1    8378171    8404227    114      28  469296        1.728    8.8818e-16        1.728
473          1    8412464    8877699   1290      69  465044       2.2537    8.8818e-16       2.2537
2023         1    8921059    8939151     59      22  467967     -0.41864     9.992e-16     -0.41864
765          1    9005893    9035151    178      49  466479        0.389     9.992e-16        0.389
155184       1    9063359    9086404    129      47  471033       1.0987    8.8818e-16       1.0987
6518         1    9097005    9131763    153      32  471589       1.8051    8.8818e-16       1.8051
80045        1    9163472    9189229     96      27  461785       1.7859    8.8818e-16       1.7859
9563         1    9294822    9331396    177      56  456295     -0.50054     9.992e-16     -0.50054
80176        1    9335202    9429591    611     116  473250      -1.2317    8.8818e-16      -1.2317
84275        1    9599528    9642831    162      42  463300       1.7001    8.8818e-16       1.7001
199953       1    9648932    9674935    108      38  455347       1.9508    8.8818e-16       1.9508
5293         1    9711789    9789172    335      67  460695      0.80611     9.992e-16      0.80611
22883        1    9789079    9884550    451      35  449731      -1.1058    8.8818e-16      -1.1058
56998        1    9908334    9970316    233      59  456352       0.6656     9.992e-16       0.6656
84328        1    9982168   10003460     71      22  476843      -1.7096    8.8818e-16      -1.7096
64802        1   10003486   10045556    140      35  460421     -0.60318     9.992e-16     -0.60318
116362       1   10057255   10076078     56      15  461243      -1.0505    8.8818e-16      -1.0505
10277        1   10093041   10241297    544      46  470117      -0.6864     9.992e-16      -0.6864
23095        1   10270606   10441664    689      35  473689      0.20972    9.7145e-16      0.20972
5226         1   10458884   10480565     77      22  462067     -0.90595     9.992e-16     -0.90595
378708       1   10489944   10510239     79      22  474230     -0.96118     9.992e-16     -0.96118
100526739    1   10490159   10512060     83      22  473648     -0.99043     9.992e-16     -0.99043
1325         1   10509776   10512060      7       3  472800      -1.1568    8.8818e-16      -1.1568
1676         1   10520588   10532613     48      25  459750      -1.3916    8.8818e-16      -1.3916
5195         1   10535003   10690815    582      67  470111     -0.63608     9.992e-16     -0.63608
54897        1   10696661   10856733    763     150  466110      -1.0694    8.8818e-16      -1.0694
148345       1   11006530   11042094    195      42  469880      -3.2252    8.8818e-16      -3.2252
23435        1   11072462   11085549     48      17  467359     -0.11624    9.8532e-16     -0.11624
10747        1   11086580   11107296     88      21  474630      0.28708     9.992e-16      0.28708
6723         1   11114649   11120091     16       8  440555      -1.3221    8.8818e-16      -1.3221
5394         1   11126675   11159961    139      17  469744      -1.7624    8.8818e-16      -1.7624
2475         1   11166588   11322614    487      30  470971      -2.1074    8.8818e-16      -2.1074
10218        1   11249346   11256038     24       7  473277        -1.07    8.8818e-16        -1.07
29914        1   11333255   11348491     36      10  449546     0.080233    9.8532e-16     0.080233
57540        1   11539295   11597640    213      35  470857     -0.50247     9.992e-16     -0.50247
26232        1   11707924   11714888     39      25  471479     -0.55978     9.992e-16     -0.55978
93611        1   11714432   11723384     34      16  474321      0.12075    9.8532e-16      0.12075
26270        1   11724150   11734411     52      22  462242      0.85579     9.992e-16      0.85579
10459        1   11734537   11751678     87      26  464017     -0.21505    9.7145e-16     -0.21505
374946       1   11751781   11780336    138      40  459402     -0.68995     9.992e-16     -0.68995
57085        1   11796142   11810828     54      19  475345      -1.0464    8.8818e-16      -1.0464
284498       1   11823827   11849642    189      21  473333       2.0134    8.8818e-16       2.0134
4524         1   11845787   11866160    108      21  471720       1.5069    8.8818e-16       1.5069
1185         1   11866153   11903201    247      28  471497       1.3976    8.8818e-16       1.3976
4878         1   11905766   11907840     14       5  483909       1.2761    8.8818e-16       1.2761
4879         1   11917521   11918992      5       3  463892      0.62678     9.992e-16      0.62678
