# ALPHA = 0.05
# NUMBER_OF_TESTS = 3

# _SET1_  VARIABLE = BR (set)
# _SET1_  NGENES = 4362
# _SET1_  P-VALUE = 0.00420487
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   26155         1     879583     894679     98      26  448726      0.77394      0.13189    4.4409e-16      0.77394
_SET1_   84069         1     901872     910488     65      35  447422       1.2679     0.046091    4.4409e-16       1.2679
_SET1_   375790        1     955503     991499    241      52  459564       3.3058   9.5414e-05    4.4409e-16       3.3058
_SET1_   51150         1    1152288    1167447    129      15  467584     -0.84715      0.70958    4.4409e-16     -0.84715
_SET1_   126792        1    1167629    1170421     13       6  471880     -0.88633      0.77503    4.4409e-16     -0.88633
_SET1_   126789        1    1243962    1247057     16      10  429001      -1.9963      0.95841    4.4409e-16      -1.9963
_SET1_   54587         1    1288071    1297183     48      17  456849     -0.93217      0.73929    4.4409e-16     -0.93217
_SET1_   643965        1    1361508    1363167     10       5  466340      -1.2961      0.85582    4.4409e-16      -1.2961
_SET1_   339453        1    1470158    1475740     22      15  461919      -1.5859      0.89518    4.4409e-16      -1.5859
_SET1_   643988        1    1533388    1535476      4       2  447618        1.388      0.06022    4.4409e-16        1.388
_SET1_   65220         1    1682671    1711508    128      33  464442      -1.4543      0.83788    4.4409e-16      -1.4543
_SET1_   8764          1    2487291    2495268     36      13  473745     -0.40696       0.5046    3.8858e-16     -0.40696
_SET1_   63976         1    2985565    3355185   2354     285  469116      -1.4231      0.83381    4.4409e-16      -1.4231
_SET1_   27237         1    3371147    3397677    155      34  471173      -0.8153       0.6777    4.4409e-16      -0.8153
_SET1_   1953          1    3404506    3528059    785     126  468117       0.1279      0.28584    4.1633e-16       0.1279
_SET1_   127262        1    3541556    3546695     26      11  465393     0.041357      0.35697    4.1633e-16     0.041357
_SET1_   55966         1    4715105    4843851    857     118  474019      -1.5084      0.84801    4.4409e-16      -1.5084
_SET1_   261734        1    5922870    6052618    669      51  470124       1.1207     0.059864    4.4409e-16       1.1207
_SET1_   8718          1    6520787    6527432     35      16  475224      -1.0745      0.78026    4.4409e-16      -1.0745
_SET1_   57449         1    6526152    6580121    263      64  465523     -0.14658       0.3944    4.1633e-16     -0.14658
_SET1_   79707         1    6581407    6614658    169      15  471758     -0.48199      0.57001    3.8858e-16     -0.48199
_SET1_   3104          1    6640051    6649340     20      13  452311       2.3852    0.0032603    4.4409e-16       2.3852
_SET1_   8863          1    7844413    7905241    294      37  472715      0.51805      0.17031    4.4409e-16      0.51805
_SET1_   54206         1    8071779    8086393     46      17  462286      0.08507      0.31046    4.1633e-16      0.08507
_SET1_   50651         1    8378171    8404227    114      28  469296       1.7187     0.014407    4.4409e-16       1.7187
_SET1_   2023          1    8921059    8939151     59      22  467967     -0.42628      0.51143    3.8858e-16     -0.42628
_SET1_   80045         1    9163472    9189229     96      27  461785       1.7767     0.013116    4.4409e-16       1.7767
_SET1_   9563          1    9294822    9331396    177      56  456295     -0.50827      0.51009    4.4409e-16     -0.50827
_SET1_   22883         1    9789079    9884550    451      35  449731      -1.1176      0.79808    4.4409e-16      -1.1176
_SET1_   56998         1    9908334    9970316    233      59  456352      0.65874      0.15014    4.4409e-16      0.65874
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20034      0.26977    4.1633e-16      0.20034
_SET1_   1676          1   10520588   10532613     48      25  459750      -1.3996      0.83867    4.4409e-16      -1.3996
_SET1_   2475          1   11166588   11322614    487      30  470971      -2.1158      0.96084    4.4409e-16      -2.1158
_SET1_   374946        1   11751781   11780336    138      40  459402       -0.699      0.58583    4.4409e-16       -0.699
_SET1_   57085         1   11796142   11810828     54      19  475345      -1.0544      0.73439    4.4409e-16      -1.0544
_SET1_   4524          1   11845787   11866160    108      21  471720       1.4991      0.02997    4.4409e-16       1.4991
_SET1_   1185          1   11866153   11903201    247      28  471497       1.3897     0.038941    4.4409e-16       1.3897
_SET1_   7133          1   12227044   12269279    186      40  470837      0.46287       0.1881    3.8858e-16      0.46287
_SET1_   55187         1   12290101   12572099    872      56  466170     -0.46543      0.56291    3.8858e-16     -0.46543
_SET1_   9249          1   12627939   12677820    236      66  468205     -0.22701      0.39346    4.1633e-16     -0.22701
_SET1_   10630         1   13910252   13944452    189      58  470838      -2.1802       0.9573    4.4409e-16      -2.1802
_SET1_   23254         1   14219646   15444544   6679     495  468521       1.3114     0.030734    4.4409e-16       1.3114
_SET1_   55092         1   15479028   15546974    442      44  477011      -2.0608      0.94367    4.4409e-16      -2.0608
_SET1_   79180         1   15736391   15756839    112      37  454356      0.71151      0.12846    4.4409e-16      0.71151
_SET1_   54751         1   16083107   16113089    129      30  467776      0.51046      0.17443    4.4409e-16      0.51046
_SET1_   149563        1   16330731   16333184     21       9  472024       1.0064     0.095877    4.4409e-16       1.0064
_SET1_   1969          1   16450832   16482582    124      49  449951      -1.1355      0.75182    4.4409e-16      -1.1355
_SET1_   26099         1   16693525   16724643     98      25  467595      0.27563      0.25218    3.8858e-16      0.27563
_SET1_   55707         1   16767167   16786585     68      23  464773      -1.1465      0.76417    4.4409e-16      -1.1465
_SET1_   4237          1   17300997   17308081     23       8  459522      -0.2541      0.44064    3.8858e-16      -0.2541
_SET1_   23400         1   17312453   17338467     90      32  449273    -0.076559      0.34781    4.1633e-16    -0.076559
_SET1_   6390          1   17345217   17380665    156      23  473132     -0.83924      0.65218    4.4409e-16     -0.83924
_SET1_   11240         1   17393256   17445948    338      34  476755     -0.76437      0.61608    4.4409e-16     -0.76437
_SET1_   55160         1   17846693   18024370    883     107  465717      -1.4282      0.84026    4.4409e-16      -1.4282
_SET1_   440574        1   19923471   19956315    148      23  468139       1.7003      0.02068    4.4409e-16       1.7003
_SET1_   100532736     1   19923471   19984949    296      46  471793       1.6976      0.01727    4.4409e-16       1.6976
_SET1_   978           1   20915444   20945401    161      37  475040     -0.40335      0.47516    3.8858e-16     -0.40335
_SET1_   65018         1   20959948   20978004     96      19  470653      -1.6265       0.8861    4.4409e-16      -1.6265
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17713      0.39088    4.1633e-16     -0.17713
_SET1_   249           1   21835475   21904905    403      51  474751     -0.47361      0.50606    3.8858e-16     -0.47361
_SET1_   84196         1   22004791   22109688    447      61  471939   -0.0090126      0.33578     4.146e-16   -0.0090126
_SET1_   998           1   22379120   22419439    153      39  470517       1.2459     0.053058    4.4409e-16       1.2459
_SET1_   713           1   22979682   22988130     36      14  473320     -0.70689      0.62661    4.4409e-16     -0.70689
_SET1_   80818         1   23685941   23696357     41      13  474584     -0.59502      0.59929    4.4409e-16     -0.59502
_SET1_   55616         1   23755056   23810750    181      39  472175      0.79519      0.11836    4.4409e-16      0.79519
_SET1_   3399          1   23884421   23886285     14       8  474789       1.7261     0.018631    4.4409e-16       1.7261
_SET1_   2582          1   24122089   24127294     10       7  461097      0.49436      0.26501    3.8858e-16      0.49436
_SET1_   3155          1   24128367   24165110     96      26  468414      0.70797      0.12741    4.4409e-16      0.70797
_SET1_   1269          1   24197005   24285549    330      30  465113       1.3392     0.037738    4.4409e-16       1.3392
_SET1_   90529         1   24683489   24741587    245      46  470975     -0.10269      0.35927    4.1633e-16     -0.10269
_SET1_   57185         1   24742245   24799473    307      43  467441      0.11334      0.28306    4.1633e-16      0.11334
_SET1_   25932         1   25071760   25170815    224      69  456523      0.34849       0.2138    3.8858e-16      0.34849
_SET1_   864           1   25226002   25291648    258      70  469794       1.3174     0.037257    4.4409e-16       1.3174
_SET1_   57134         1   25943959   26111258    659      73  461956     -0.30569      0.46309    3.8858e-16     -0.30569
