# ALPHA = 0.05
# NUMBER_OF_TESTS = 3

# _SET1_  VARIABLE = BR (set)
# _SET1_  NGENES = 437
# _SET1_  P-VALUE = 0.0099989
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   22883         1    9779079    9919550    118      19  11226     -0.26026      0.56584             0     -0.26026
_SET1_   9249          1   12617939   12712820    202      41  11226      0.34536      0.32756             0      0.34536
_SET1_   4237          1   17290997   17343081     55      13  11226      -1.0972      0.84294             0      -1.0972
_SET1_   1269          1   24187005   24320549     86      14  11226      0.92339      0.15968             0      0.92339
_SET1_   59269         1   41962036   42536596    821      63  11226      -1.3049      0.87077             0      -1.3049
_SET1_   6513          1   43381046   43459847    157      24  11226     -0.11758      0.50745   -2.7756e-17     -0.11758
_SET1_   7804          1   53698036   53828821    176      42  11226    0.0086496      0.45728   -2.6021e-17    0.0086496
_SET1_   8613          1   56950419   57080257    230      39  11226    -0.033723      0.47254   -2.7756e-17    -0.033723
_SET1_   163782        1   62691837   62820083    240      38  11226       1.5237     0.053664             0       1.5237
_SET1_   55225         1   65175778   65308915    162      25  11226      0.85455      0.16702             0      0.85455
_SET1_   3716          1   65288906   65467593    269      30  11226      0.15449      0.39104   -2.7756e-17      0.15449
_SET1_   5142          1   66223193   66850262    835      76  11226      0.41676      0.27977             0      0.41676
_SET1_   84251         1   66964066   67220768    438      30  11226       1.9077     0.021064             0       1.9077
_SET1_   163404        1   99345801   99505449    356      42  11226      0.83895      0.16676             0      0.83895
_SET1_   54873         1  100076431  100170097    140      23  11226      0.88701      0.15958             0      0.88701
_SET1_   10451         1  108103782  108542545    852      86  11226      -1.3321      0.87725             0      -1.3321
_SET1_   9122          1  110895473  110968704     91      16  11226       1.6902     0.038161             0       1.6902
_SET1_   6566          1  113444469  113533975     83      14  11226      0.87752      0.16402             0      0.87752
_SET1_   5738          1  117417689  117542972    185      27  11226     -0.14403      0.51257   -2.7756e-17     -0.14403
_SET1_   4332          1  158766168  158829270    102      17  11226     -0.89855      0.78916             0     -0.89855
_SET1_   149628        1  158866337  158956849    149      27  11226     -0.85313      0.77467             0     -0.85313
_SET1_   8832          1  160500884  160584306    181      23  11226     -0.80691      0.75728             0     -0.80691
_SET1_   2207          1  161150087  161199038     54      19  11226      0.39203      0.30861             0      0.39203
_SET1_   654790        1  161193517  161265240    121      25  11226      0.45916      0.28817             0      0.45916
_SET1_   2212          1  161440205  161499360     85      17  11226     -0.77553      0.75131             0     -0.77553
_SET1_   387597        1  166872441  166979576    154      24  11226      -2.3837      0.98852             0      -2.3837
_SET1_   9019          1  167656187  167771156    185      27  11226      0.23856      0.36329   -2.7756e-17      0.23856
_SET1_   6403          1  169548087  169634377    186      28  11226      0.35959      0.32617             0      0.35959
_SET1_   26052         1  171775618  172397606    756      68  11226     -0.31661      0.56378             0     -0.31661
_SET1_   6041          1  182532769  182593420     84      21  11226     -0.10008      0.51221   -2.7756e-17     -0.10008
_SET1_   80896         1  182723584  182809519     92      18  11226      0.46936      0.28287             0      0.46936
_SET1_   83872         1  185668683  186170085    435      42  11226     -0.76931      0.73951             0     -0.76931
_SET1_   5743          1  186630944  186684559    105      10  11226     -0.47324      0.64552             0     -0.47324
_SET1_   9580          1  204007237  204106871    146      38  11226     -0.61984      0.70081             0     -0.61984
_SET1_   9911          1  205162038  205252471    120      15  11226      -1.0362      0.83131             0      -1.0362
_SET1_   722           1  207242583  207328317     94      24  11226       1.3239     0.077038             0       1.3239
_SET1_   1604          1  207459817  207544311     99      16  11226     -0.15012       0.5279   -2.7756e-17     -0.15012
_SET1_   947           1  208049883  208119742    158      17  11226      0.72887       0.2007             0      0.72887
_SET1_   3756          1  210841657  211342457    905      92  11226      0.52322      0.24395             0      0.52322
_SET1_   55740         1  225664534  225875845    296      18  11226      -1.3908      0.89793             0      -1.3908
_SET1_   57568         1  232523711  232800907    503      62  11226      0.23866      0.35883   -2.7756e-17      0.23866
_SET1_   4811          1  236129130  236263481    160      33  11226    -0.060035      0.49426   -2.7756e-17    -0.060035
_SET1_   7837          2    1625659    1783291    247      52  11226      0.01733      0.45358   -2.7756e-17      0.01733
_SET1_   6664          2    5797799    5851517     73      19  11226    -0.095562      0.49798   -2.7756e-17    -0.095562
_SET1_   9781          2    7022523    7219011    380      51  11226     -0.79892      0.76038             0     -0.79892
_SET1_   338           2   21214301   21301945     92      20  11226      0.58551      0.25296             0      0.58551
_SET1_   22979         2   25229973   25392004    184      29  11226       1.7413     0.032332             0       1.7413
_SET1_   2355          2   28580704   28647516    101      23  11226     -0.57545      0.68562             0     -0.57545
_SET1_   30845         2   31421880   31501260    188      33  11226     -0.15906      0.52009   -2.7756e-17     -0.15906
_SET1_   6654          2   39198690   39382686    127      21  11226       1.2321     0.090123             0       1.2321
_SET1_   130271        2   43829439   44005126    382      43  11226       1.1406      0.10626             0       1.1406
_SET1_   805           2   47377221   47439229    101      21  11226      -1.1266      0.84758             0      -1.1266
_SET1_   4211          2   66627257   66809891    250      46  11226      0.52255      0.26436             0      0.52255
_SET1_   25927         2   68501303   68582183    109      25  11226       1.8084     0.029172             0       1.8084
_SET1_   7039          2   70664412   70816147    266      40  11226     -0.31388      0.58286             0     -0.31388
_SET1_   56603         2   72346367   72409991     86      20  11226      -1.4851      0.91599             0      -1.4851
_SET1_   2168          2   88412501   88462650     74      20  11226       1.2974      0.08264             0       1.2974
_SET1_   4118          2   95656400   95729737     37      18  11226       1.5105     0.056437             0       1.5105
_SET1_   23397         2   96966479   97052833     55      13  11226      -3.0984      0.99922             0      -3.0984
_SET1_   93082         2   97153383   97208846     29      11  11226      -0.4449       0.6321             0      -0.4449
_SET1_   10461         2  112621056  112807293    369      30  11226     -0.27036      0.56651             0     -0.27036
_SET1_   2995          2  127378426  127464251    107      24  11226     -0.29213      0.57891             0     -0.29213
_SET1_   2820          2  157256965  157452915    190      25  11226       1.1688      0.10044             0       1.1688
_SET1_   22925         2  160778523  160954126    307      44  11226       1.1251      0.10858             0       1.1251
_SET1_   1803          2  162838751  162966052    173      30  11226      0.30985      0.33738             0      0.30985
_SET1_   2888          2  165339323  165513360    169      35  11226     -0.33479      0.59596             0     -0.33479
_SET1_   6332          2  167250083  167378481    195      28  11226      0.28136      0.34883             0      0.28136
_SET1_   8708          2  168311692  168737366    607      81  11226     -0.33168      0.57669             0     -0.33168
_SET1_   3655          2  173256954  173381181    276      38  11226     -0.51145      0.65301             0     -0.51145
_SET1_   285025        2  179684484  179949841    451      49  11226      0.37158      0.30819             0      0.37158
_SET1_   3676          2  182286619  182412474    182      34  11226     0.072782      0.43377   -2.7756e-17     0.072782
_SET1_   10203         2  188196690  188348021    202      23  11226       2.2638    0.0090891             0       2.2638
_SET1_   7035          2  188318957  188454219    167      30  11226       1.5626     0.048287             0       1.5626
_SET1_   23671         2  192760615  193094645    384      71  11226      -1.4065      0.90279             0      -1.4065
_SET1_   57181         2  196442798  196612426    193      31  11226      0.29369      0.34565             0      0.29369
_SET1_   57520         2  197053971  197493416    700      71  11226     -0.83936      0.75078             0     -0.83936
_SET1_   91526         2  197821741  198210521    584      68  11226      0.42169      0.28509             0      0.42169
_SET1_   65059         2  204288538  204435058    124      17  11226      0.52529       0.2633             0      0.52529
_SET1_   8828          2  206512184  206672857    208      59  11226     -0.24927       0.5622   -2.7756e-17     -0.24927
_SET1_   8745          2  207273268  207495854    286      39  11226      0.89528      0.15476             0      0.89528
_SET1_   1373          2  211307406  211553831    308      37  11226      -1.0791      0.83525             0      -1.0791
_SET1_   2335          2  216215177  216335890    166      27  11226     -0.23037      0.56461   -2.7756e-17     -0.23037
_SET1_   23677         2  235825628  235974358    251      55  11226      -1.8876      0.96251             0      -1.8876
_SET1_   7508          3   14176647   14255172     98      20  11226      0.13716      0.41302   -2.7756e-17      0.13716
_SET1_   6533          3   14409076   14540857    220      64  11226      -1.3913      0.90449             0      -1.3913
