GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961    393      61  450059        0.484      0.31419
339451       1     860967     911099    328      60  446298       1.2708      0.10189
84069        1     866872     920488    339      70  447769       2.2182     0.013271
26155        1     869583     929679    369      82  446765       2.0579     0.019801
84808        1     900579     952473    322      55  448896       2.5083    0.0060664
9636         1     913847     959920    284      42  451827       2.4677    0.0067989
375790       1     920503    1001499    498      73  455328       3.5545   0.00018931
57801        1     924342     971608    257      44  456042       2.5514    0.0053653
401934       1     997126    1044687    238      58  454891       2.6838    0.0036399
54991        1    1007198    1086736    445      57  459504       2.0079     0.022328
254173       1    1074286    1143315    473      79  461968       1.1029      0.13503
8784         1    1128888    1177163    323      38  463742     -0.40966      0.65897
126792       1    1132629    1180421    317      35  463488     -0.22626       0.5895
7293         1    1136706    1184703    300      32  464370     -0.31317      0.62292
51150        1    1142288    1202447    356      43  464163     -0.39238      0.65261
388581       1    1167826    1217102    252      44  463543      -0.1384      0.55504
118424       1    1179292    1244234    337      59  463248      -0.4816      0.68495
6339         1    1180816    1237409    284      48  462255     -0.42894      0.66602
126789       1    1208962    1257057    273      57  459435     -0.71235      0.76188
116983       1    1217764    1278304    353      61  457628     -0.55218      0.70959
80772        1    1225136    1274276    291      55  456684     -0.47899      0.68403
83756        1    1231726    1279844    278      49  455502     -0.32544      0.62757
54973        1    1236965    1295067    318      50  456606     -0.67704      0.75081
1855         1    1260658    1319509    353      43  461916      -1.0095      0.84363
54587        1    1278071    1332183    286      31  460776      -0.8906      0.81343
54998        1    1299110    1345818    243      37  464805     -0.45073      0.67391
81669        1    1311091    1369718    297      38  462831     -0.46346      0.67848
643965       1    1326508    1373167    237      45  461609     -0.32725      0.62826
55052        1    1327276    1377693    255      36  461863      -0.3611      0.64099
64856        1    1335903    1388262    268      43  462404     -0.75121      0.77374
219293       1    1343152    1415538    374      61  460748     -0.98496      0.83768
441869       1    1343800    1391824    262      40  462415     -0.66622      0.74737
83858        1    1372139    1454852    450      66  456987    -0.071335      0.52843
55210        1    1412523    1480067    401      56  456755      0.50615      0.30637
339453       1    1460158    1510740    237      50  464450     0.018946      0.49244
29101        1    1467053    1545262    357      57  461234     -0.93057      0.82396
142678       1    1515795    1575990    247      57  453514      -2.0055      0.97755
643988       1    1523388    1570476    181      40  453306      -1.7251      0.95775
8510         1    1532060    1580030    153      39  451209      -1.7524      0.96015
984          1    1561100    1625473    177      51  449189      -1.3789      0.91603
728661       1    1581486    1659243    237      54  452269     -0.05676      0.52263
728642       1    1623822    1690999    208      41  457806      0.64341      0.25998
9906         1    1646277    1712438    262      45  460208     0.091425      0.46358
65220        1    1672671    1746508    262      48  461789     -0.85499      0.80372
2782         1    1706725    1857552    549      64  461322     -0.44997      0.67363
163688       1    1811266    1858733    218      45  463124     -0.76864      0.77895
339456       1    1839029    1885740    251      37  469416     -0.57302      0.71668
85452        1    1843390    1970276    741     102  464192     -0.94148      0.82677
2563         1    1915768    1972192    319      64  464151     -0.56894       0.7153
5590         1    1946909    2126834    980     118  465400      -1.6616       0.9517
100506504    1    2103250    2150812    193      64  468489      -1.5206      0.93581
199990       1    2105899    2179159    311      72  467444      -1.6091       0.9462
6497         1    2125134    2251652    592     106  464827      -1.2948       0.9023
79906        1    2241719    2358190    673     117  468822      -1.1024      0.86485
11079        1    2288214    2346883    288      70  466572      -1.3283      0.90795
5192         1    2326241    2379010    311      90  469276     -0.69387      0.75612
9651         1    2372754    2446964    458      96  463493     -0.65724      0.74449
55229        1    2429975    2493061    358      65  464896     -0.94032      0.82647
388585       1    2450184    2496684    223      58  465610      -0.3743      0.64591
8764         1    2452291    2505268    255      44  468392       0.1018      0.45946
127281       1    2482899    2532908    262      37  470041      0.74409      0.22841
79258        1    2512078    2599499    369      42  469181      0.48132      0.31514
100287898    1    2562807    2741230    348      54  467593      0.44194      0.32927
140625       1    2903046    2949467    300      35  469419     -0.78035      0.78241
63976        1    2950565    3365185   2571     288  468553     -0.86625      0.80682
27237        1    3336147    3407677    405      64  468763    -0.090089      0.53589
1953         1    3394506    3563059   1029     147  466660      0.47276      0.31819
127262       1    3506556    3556695    340      61  462028      0.63091      0.26405
7161         1    3534129    3662765    693     126  464270     -0.14344      0.55703
49856        1    3537331    3601671    332      76  458594      0.45425      0.32483
148870       1    3633965    3698209    363      69  471861     -0.16326      0.56484
388588       1    3654352    3702546    297      61  471170      0.32386      0.37302
57470        1    3686784    3748068    438      49  472072      0.38099       0.3516
9731         1    3718645    3808797    713      55  473191     -0.18321      0.57268
1677         1    3738845    3811993    586      53  474200    -0.047513      0.51895
339448       1    3795697    3851857    315      52  469615     -0.90738       0.8179
55966        1    4680105    4853851   1133     152  473410      -1.3617      0.91335
261734       1    5912870    6087618    897      59  468910       1.3246     0.092647
8514         1    6017358    6171253    773     115  467414       1.0661      0.14319
26038        1    6151847    6275194    616      93  465143       2.3419    0.0095932
388591       1    6231189    6291359    220      54  460856       1.8348     0.033265
6146         1    6235080    6294679    213      55  460122       1.8498     0.032169
390992       1    6269252    6315638    174      46  460564       1.6011     0.054678
23463        1    6271253    6331044    246      57  459250      0.95453      0.16991
387509       1    6297406    6356035    264      62  461727     -0.96583      0.83293
11332        1    6314332    6488826    897      61  470445     -0.49593      0.69003
83715        1    6449836    6531004    383      43  471074    -0.052601      0.52098
54626        1    6465292    6519724    242      37  471756     0.038978      0.48445
8718         1    6510787    6562432    231      64  463006      0.36443      0.35777
57449        1    6516152    6615121    487      79  468476     0.092556      0.46313
79707        1    6571407    6649658    363      35  469214      0.24487      0.40328
80835        1    6579987    6649817    314      38  467993      0.31749      0.37544
3104         1    6605051    6659340    252      53  468974      0.97785      0.16407
148479       1    6638756    6694093    193      53  470714       2.5416    0.0055169
9903         1    6640784    6697958    202      50  472755       2.6758    0.0037273
90326        1    6649925    6705646    215      53  470289       2.6233    0.0043539
55735        1    6684228    6796966    434      60  469291        2.545    0.0054638
23261        1    6810384    7839766   4535     347  469990      0.64568      0.25924
9341         1    7796329    7851492    205      49  470694        1.904     0.028453
8863         1    7809413    7915241    452      49  474483       1.1128      0.13289
10911        1    7897672    7948551    274      35  474206      0.30933      0.37854
3604         1    7965931    8038225    253      52  465285     -0.63839      0.73839
11315        1    7986714    8055342    236      54  462369     -0.50241      0.69231
54206        1    8061779    8121393    176      37  459565     -0.31597      0.62399
50651        1    8343171    8414227    360      59  463386       2.8652    0.0020838
473          1    8402464    8912699   1433      72  464886       2.6168    0.0044384
2023         1    8911059    8974151    226      52  471820     0.097563      0.46114
765          1    8970893    9045151    420      89  469573      0.16731      0.43356
155184       1    9053359    9121404    340      73  472034       1.5913     0.055773
6518         1    9087005    9166763    414      55  471932       2.1494     0.015801
80045        1    9153472    9224229    303      58  464185       1.8018     0.035789
9563         1    9259822    9341396    445      67  467464      0.39538      0.34628
80176        1    9300202    9439591    861     141  470137     -0.34936      0.63659
84275        1    9564528    9652831    334      54  459204       2.5008    0.0061955
199953       1    9613932    9684935    254      40  459680       2.0931     0.018169
5293         1    9676789    9799172    556      86  461632       1.9244     0.027153
22883        1    9779079    9919550    633      60  452429     -0.31366      0.62311
56998        1    9898334   10005316    383      83  458943      0.69258      0.24429
