GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961     90      14  446696     -0.47211      0.68158
339451       1     860967     911099     49      14  446696     -0.81499      0.79246
84069        1     866872     920488     52      15  446696     -0.20852      0.58259
26155        1     869583     929679     53      15  446696    -0.060774      0.52423
84808        1     900579     952473     50      10  446696      0.94222      0.17304
9636         1     913847     959920     50       9  446696       1.0624      0.14403
375790       1     920503    1001499     65      13  446696      0.69663      0.24302
57801        1     924342     971608     47       9  446696      0.90614      0.18243
401934       1     997126    1044687     67       9  446696      -1.0016      0.84173
54991        1    1007198    1086736    144      17  446696      -1.2981      0.90288
254173       1    1074286    1143315    166      24  446696      -1.9948      0.97697
8784         1    1128888    1177163    137      10  446696     -0.38354      0.64934
126792       1    1132629    1180421    134      10  446696      -0.2704      0.60657
7293         1    1136706    1184703    133       9  446696     -0.18537      0.57353
51150        1    1142288    1202447    155      12  446696     -0.18697      0.57416
388581       1    1167826    1217102     89      14  446696      0.13621      0.44583
118424       1    1179292    1244234    100      17  446696      -0.3398        0.633
6339         1    1180816    1237409     88      15  446696     -0.28944      0.61388
126789       1    1208962    1257057     59      11  446696     -0.29233      0.61498
116983       1    1217764    1278304     66      13  446696     -0.11033      0.54393
80772        1    1225136    1274276     54      12  446696     -0.29268      0.61512
83756        1    1231726    1279844     48       9  446696    -0.055035      0.52194
54973        1    1236965    1295067     47       9  446696     -0.10809      0.54304
1855         1    1260658    1319509     55      10  446696    -0.094053      0.53747
54587        1    1278071    1332183     43       9  446696     -0.42546      0.66475
54998        1    1299110    1345818     49       8  446696     0.088898      0.46458
81669        1    1311091    1369718     87       9  446696       0.7177      0.23647
643965       1    1326508    1373167     73       8  446696      0.76083      0.22338
55052        1    1327276    1377693     76       8  446696      0.71805      0.23636
64856        1    1335903    1388262     88      11  446696      0.75207        0.226
219293       1    1343152    1415538     94      14  446696      0.68163      0.24774
441869       1    1343800    1391824     79      11  446696      0.78151      0.21725
83858        1    1372139    1454852     80      18  446696     -0.41977      0.66267
55210        1    1412523    1480067     83      13  446696     -0.59127      0.72283
339453       1    1460158    1510740     69      12  446696     -0.56886      0.71527
29101        1    1467053    1545262     92      11  446696     -0.41451      0.66075
142678       1    1515795    1575990     40       7  446696        1.005      0.15745
643988       1    1523388    1570476     34       5  446696       1.0517      0.14648
8510         1    1532060    1580030     31       5  446696       1.1349      0.12821
984          1    1561100    1625473     17       5  446696        2.233     0.012774
728661       1    1581486    1659243     26       7  446696       1.8031     0.035683
728642       1    1623822    1690999     41       7  446696     0.042998      0.48285
9906         1    1646277    1712438     52       8  446696     -0.12519      0.54981
65220        1    1672671    1746508     55       9  446696     -0.22705      0.58981
2782         1    1706725    1857552    116      14  446696     -0.69061      0.75509
163688       1    1811266    1858733     57       8  446696     -0.67558      0.75035
339456       1    1839029    1885740     72       9  446696     -0.30651      0.62039
85452        1    1843390    1970276    190      26  446696      0.74075      0.22942
2563         1    1915768    1972192     70      13  446696       1.2833       0.0997
5590         1    1946909    2126834    221      39  446696      0.37796      0.35273
100506504    1    2103250    2150812     61      16  446696      0.54799      0.29185
199990       1    2105899    2179159     95      24  446696      0.68651      0.24619
6497         1    2125134    2251652    178      44  446696      0.57615      0.28226
79906        1    2241719    2358190    240      57  446696     -0.34028      0.63318
11079        1    2288214    2346883     98      28  446696     -0.30619      0.62027
5192         1    2326241    2379010     95      34  446696     -0.28409      0.61183
9651         1    2372754    2446964    124      27  446696       1.0368      0.14992
55229        1    2429975    2493061     71      13  446696     -0.61514      0.73077
388585       1    2450184    2496684     51      11  446696     -0.57962      0.71892
8764         1    2452291    2505268     62      13  446696     -0.61404      0.73041
