# ALPHA = 0.05
# NUMBER_OF_TESTS = 3

# _SET1_  VARIABLE = BR_vs_LG (set)
# _SET1_  NGENES = 2175
# _SET1_  P-VALUE = 0.00105063
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   375790        1     955503     991499    241      52  459564       3.3131   9.5414e-05    1.3323e-15       3.3131
_SET1_   643965        1    1361508    1363167     10       5  466340      -1.2906      0.85582    1.3323e-15      -1.2906
_SET1_   339453        1    1470158    1475740     22      15  461919      -1.5787      0.89518    1.3323e-15      -1.5787
_SET1_   63976         1    2985565    3355185   2354     285  469116      -1.4307      0.83381    1.3323e-15      -1.4307
_SET1_   3104          1    6640051    6649340     20      13  452311       2.3933    0.0032603    1.3323e-15       2.3933
_SET1_   8863          1    7844413    7905241    294      37  472715      0.52624      0.17031    1.2212e-15      0.52624
_SET1_   54206         1    8071779    8086393     46      17  462286      0.09395      0.31046    1.2351e-15      0.09395
_SET1_   2023          1    8921059    8939151     59      22  467967     -0.41864      0.51143    1.2212e-15     -0.41864
_SET1_   374946        1   11751781   11780336    138      40  459402     -0.68995      0.58583    1.2212e-15     -0.68995
_SET1_   57085         1   11796142   11810828     54      19  475345      -1.0464      0.73439    1.3323e-15      -1.0464
_SET1_   4524          1   11845787   11866160    108      21  471720       1.5069      0.02997    1.3323e-15       1.5069
_SET1_   1185          1   11866153   11903201    247      28  471497       1.3976     0.038941    1.3323e-15       1.3976
_SET1_   55187         1   12290101   12572099    872      56  466170     -0.45614      0.56291    1.2212e-15     -0.45614
_SET1_   9249          1   12627939   12677820    236      66  468205      -0.2207      0.39346     1.249e-15      -0.2207
_SET1_   10630         1   13910252   13944452    189      58  470838      -2.1744       0.9573    1.3323e-15      -2.1744
_SET1_   23254         1   14219646   15444544   6679     495  468521       1.3081     0.030734    1.3323e-15       1.3081
_SET1_   55092         1   15479028   15546974    442      44  477011      -2.0522      0.94367    1.3323e-15      -2.0522
_SET1_   79180         1   15736391   15756839    112      37  454356      0.71984      0.12846    1.2212e-15      0.71984
_SET1_   149563        1   16330731   16333184     21       9  472024       1.0125     0.095877    1.3323e-15       1.0125
_SET1_   1969          1   16450832   16482582    124      49  449951      -1.1275      0.75182    1.3323e-15      -1.1275
_SET1_   4237          1   17300997   17308081     23       8  459522     -0.24387      0.44064     1.249e-15     -0.24387
_SET1_   23400         1   17312453   17338467     90      32  449273    -0.066624      0.34781    1.2351e-15    -0.066624
_SET1_   65018         1   20959948   20978004     96      19  470653      -1.6175       0.8861    1.3323e-15      -1.6175
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17206      0.39088     1.249e-15     -0.17206
_SET1_   249           1   21835475   21904905    403      51  474751     -0.46627      0.50606    1.2212e-15     -0.46627
_SET1_   80818         1   23685941   23696357     41      13  474584     -0.58827      0.59929    1.2212e-15     -0.58827
_SET1_   55616         1   23755056   23810750    181      39  472175      0.80164      0.11836    1.2212e-15      0.80164
_SET1_   3399          1   23884421   23886285     14       8  474789       1.7329     0.018631    1.3323e-15       1.7329
_SET1_   3155          1   24128367   24165110     96      26  468414      0.71635      0.12741    1.2212e-15      0.71635
_SET1_   1269          1   24197005   24285549    330      30  465113       1.3493     0.037738    1.3323e-15       1.3493
_SET1_   57185         1   24742245   24799473    307      43  467441      0.12197      0.28306    1.2351e-15      0.12197
_SET1_   25932         1   25071760   25170815    224      69  456523      0.35442       0.2138    1.2212e-15      0.35442
_SET1_   864           1   25226002   25291648    258      70  469794       1.3225     0.037257    1.3323e-15       1.3225
_SET1_   1043          1   26644411   26647014     20       8  451222      -1.1104      0.77699    1.3323e-15      -1.1104
_SET1_   84243         1   27153201   27184092    101      36  463512       1.3138       0.0436    1.3323e-15       1.3138
_SET1_   2810          1   27189633   27190947      2       1  465324      0.69617      0.25205    1.2212e-15      0.69617
_SET1_   2827          1   27719148   27722318      8       6  471016      0.22502      0.32127     1.249e-15      0.22502
_SET1_   22826         1   28526789   28559542    122      24  477034        1.231     0.051488    1.3323e-15        1.231
_SET1_   65979         1   28696093   28826881    524      25  467814        2.869   0.00055816    1.3323e-15        2.869
_SET1_   3932          1   32716840   32751766    101      50  466458      -1.8907      0.94023    1.3323e-15      -1.8907
_SET1_   65108         1   32799430   32801840      3       2  459384     -0.98007       0.8464    1.2212e-15     -0.98007
_SET1_   57648         1   33207492   33240571     94      39  464505     -0.09538       0.3653    1.2351e-15     -0.09538
_SET1_   64766         1   33282368   33324480    129      42  472383     -0.83637      0.66968    1.2212e-15     -0.83637
_SET1_   127544        1   33402050   33430467    101      27  472625      0.91069     0.096004    1.2212e-15      0.91069
_SET1_   2701          1   35258559   35261351     17       7  471727       1.9095     0.012319    1.3323e-15       1.9095
_SET1_   127703        1   36179477   36184790     14       9  469156       0.6446      0.19078    1.2212e-15       0.6446
_SET1_   80149         1   37940119   37949978     32      18  465506      -1.1896      0.79585    1.3323e-15      -1.1896
_SET1_   23499         1   39549839   39952810   1311      62  470814      -1.1625      0.77676    1.3323e-15      -1.1625
_SET1_   84879         1   40420784   40435630     52      27  460084       0.4657      0.20256    1.2212e-15       0.4657
_SET1_   339559        1   40943043   40962015     65      24  469463       1.2136     0.057171    1.3323e-15       1.2136
_SET1_   59269         1   41972036   42501596   2185     134  468432      0.85349      0.08867    1.2212e-15      0.85349
_SET1_   4904          1   43148060   43168024     65      29  463754       1.1828     0.055356    1.3323e-15       1.1828
_SET1_   6513          1   43391046   43424847    160      32  475577      -1.0048      0.71842    1.3323e-15      -1.0048
_SET1_   4352          1   43803475   43820135     39      19  452203      0.89971     0.098324    1.2212e-15      0.89971
_SET1_   6536          1   44462155   44497171    132      40  467742      -1.4302      0.85526    1.3323e-15      -1.4302
_SET1_   1263          1   45265638   45271667     26      13  470834     -0.62369      0.62955    1.2212e-15     -0.62369
_SET1_   8643          1   45285516   45309226    105      32  469176      -2.1267      0.95929    1.3323e-15      -2.1267
_SET1_   8503          1   46505812   46642167    461      55  467848     -0.80529       0.6381    1.2212e-15     -0.80529
_SET1_   541468        1   46669006   46686928     46      24  471325     -0.70411      0.62842    1.2212e-15     -0.70411
_SET1_   148930        1   47011316   47016887     32      10  474225     -0.44958       0.5462    1.2212e-15     -0.44958
_SET1_   8569          1   47023079   47069966    179      44  465863      0.37819      0.20862    1.2212e-15      0.37819
_SET1_   148932        1   47073387   47082563     41      15  450804       1.0967     0.064327    1.3323e-15       1.0967
