GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     859993     879961    129      37  446435      0.45622      0.32412
26155        1     879583     894679     98      26  448726       1.1175      0.13189
339451       1     895967     901099     35      13  451435       1.2111      0.11292
84069        1     901872     910488     65      35  447422        1.684     0.046091
84808        1     910579     917473     37      16  444789       2.5703      0.00508
57801        1     934342     936608     17       7  460925       2.0017     0.022661
9636         1     948847     949920      9       4  415709       2.4124    0.0079239
375790       1     955503     991499    241      52  459564       3.7309   9.5413e-05
401934       1    1007126    1009687     14       8  463568         3.19    0.0007114
54991        1    1017198    1051736    196      44  452694       1.6629     0.048163
254173       1    1109286    1133315    204      37  469425      0.77373      0.21955
8784         1    1138888    1142163     23       9  448007     -0.41044      0.65926
7293         1    1146706    1149703     14       8  471703      -1.3027      0.90366
51150        1    1152288    1167447    129      15  467584     -0.55217      0.70958
126792       1    1167629    1170421     13       6  471880     -0.75551      0.77503
388581       1    1177826    1182102     23       9  465374       1.0682      0.14271
118424       1    1189292    1209234     83      24  462703    0.0066648      0.49734
6339         1    1215816    1227409     65      30  460280     -0.84996      0.80233
116983       1    1227764    1243304     96      33  465528       0.1045      0.45839
126789       1    1243962    1247057     16      10  429001      -1.7326      0.95841
54973        1    1246965    1260067     59      28  442991     -0.64582       0.7408
80772        1    1260136    1264276     18       8  463526      0.19505      0.42268
83756        1    1266726    1269844     16      10  459089      -1.7135      0.95669
1855         1    1270658    1284509     85      30  454197     -0.95598      0.83046
54587        1    1288071    1297183     48      17  456849     -0.64117      0.73929
54998        1    1309110    1310818     10       5  430559      0.83702      0.20129
81669        1    1321091    1334718     49      24  453192      0.15224       0.4395
55052        1    1337276    1342693     20      10  467135      0.35445       0.3615
441869       1    1353800    1356824     12       6  464218      -1.3768      0.91571
643965       1    1361508    1363167     10       5  466340      -1.0617      0.85582
64856        1    1370903    1378262     28      12  464500     -0.22987       0.5909
219293       1    1378152    1405538    157      37  463002     -0.47179      0.68146
83858        1    1407139    1444852    217      47  454001      0.12305      0.45103
55210        1    1447523    1470067    153      41  461229       1.1273      0.12982
339453       1    1470158    1475740     22      15  461919      -1.2546      0.89518
29101        1    1477053    1510262    132      26  463508     -0.38661      0.65048
643988       1    1533388    1535476      4       2  447618       1.5529      0.06022
142678       1    1550795    1565990     67      24  453249      -1.4549      0.92716
8510         1    1567060    1570030      4       2  460103     -0.39753      0.65451
984          1    1571100    1590473     33      12  405252       -1.578      0.94272
728661       1    1591486    1624243    120      40  459809     -0.97848      0.83608
728642       1    1633822    1655999     80      11  459324      0.96512      0.16724
9906         1    1656277    1677438     65      24  455453       1.1841      0.11819
65220        1    1682671    1711508    128      33  464442     -0.98578      0.83788
2782         1    1716725    1822552    354      66  459277     -0.24434      0.59651
163688       1    1846266    1848733     11       4  479100     -0.25237      0.59962
339456       1    1849029    1850740      9       4  479553     0.061247      0.47558
85452        1    1853390    1935276    515      59  464998     -0.69816      0.75746
2563         1    1950768    1962192     62      22  453023     -0.60362      0.72695
5590         1    1981909    2116834    784      65  466216      -1.3536      0.91207
100506504    1    2113250    2115812     12       8  468050      0.31331      0.37702
199990       1    2115899    2144159    101      38  470571       -1.031      0.84872
6497         1    2160134    2241652    408     105  462692      -1.4881      0.93164
79906        1    2251719    2323190    444      78  467469      -1.0246      0.84721
11079        1    2323214    2336883     64      28  464618     -0.74945      0.77321
5192         1    2336241    2344010     37      17  478530      -1.3653      0.91392
9651         1    2407754    2436964    163      53  448738     -0.58845      0.72189
55229        1    2439975    2458061    110      31  464949      -1.8644      0.96887
388585       1    2460184    2461684      8       6  470641      -1.6798       0.9535
8764         1    2487291    2495268     36      13  473745    -0.011528       0.5046
127281       1    2517899    2522908     27      16  453945    -0.054838      0.52187
79258        1    2522078    2564499    252      24  469301      0.43477      0.33186
100287898    1    2572807    2706230    110      28  468132       1.0739      0.14143
140625       1    2938046    2939467      8       5  468567      -2.8912      0.99808
63976        1    2985565    3355185   2354     285  469116     -0.96932      0.83381
27237        1    3371147    3397677    155      34  471173     -0.46127       0.6777
1953         1    3404506    3528059    785     126  468117      0.56559      0.28584
127262       1    3541556    3546695     26      11  465393      0.36657      0.35697
49856        1    3547331    3566671     85      29  455501       0.4147      0.33918
7161         1    3569129    3652765    472     108  465941     -0.12097      0.54814
148870       1    3668965    3688209    119      42  470291     -0.41872      0.66229
388588       1    3689352    3692546     18       9  474282      0.23639      0.40657
57470        1    3696784    3713068    104      30  470814       1.1613      0.12276
9731         1    3728645    3773797    349      30  476742     -0.10981      0.54372
1677         1    3773845    3801993    238      45  473448      0.28154      0.38915
339448       1    3805697    3816857     59      17  472241      -1.8806      0.96998
55966        1    4715105    4843851    857     118  474019      -1.0279      0.84801
261734       1    5922870    6052618    669      51  470124       1.5559     0.059864
8514         1    6052358    6161253    541      89  465632      0.75925      0.22385
26038        1    6161847    6240194    451      77  465419       2.4219    0.0077206
6146         1    6245080    6259679     47      14  473060       1.1307       0.1291
388591       1    6266189    6281359     62      18  461134       1.7736     0.038067
23463        1    6281253    6296044     52      19  452101       1.8609     0.031378
390992       1    6304252    6305638      6       3  476173      0.53462      0.29646
387509       1    6307406    6321035     61      13  452309      -1.2046      0.88582
11332        1    6324332    6453826    679      56  470956     -0.35658       0.6393
54626        1    6475292    6484724     37      11  478771    0.0018835      0.49925
83715        1    6484836    6521004    162      31  467449      0.28344      0.38842
8718         1    6520787    6527432     35      16  475224     -0.77307      0.78026
57449        1    6526152    6580121    263      64  465523      0.26787       0.3944
79707        1    6581407    6614658    169      15  471758      -0.1764      0.57001
80835        1    6614987    6639817    109      29  463912      0.50705      0.30606
3104         1    6640051    6649340     20      13  452311       2.7204    0.0032603
9903         1    6650784    6662958     59      24  475492        2.302     0.010668
148479       1    6673756    6684093     37      13  469445       2.5299    0.0057042
90326        1    6684925    6695646     48      16  476407       3.0722    0.0010623
55735        1    6694228    6761966    257      47  468311       2.6946    0.0035237
23261        1    6845384    7829766   4336     358  469781      0.61837      0.26816
9341         1    7831329    7841492     41      15  477909      0.95453      0.16991
8863         1    7844413    7905241    294      37  472715      0.95294      0.17031
10911        1    7907672    7913551     31      13  480743      -1.0942      0.86307
3604         1    7975931    8003225     82      21  474672    -0.006255       0.5025
11315        1    8021714    8045342    102      30  462688     -0.33527      0.63129
54206        1    8071779    8086393     46      17  462286      0.49453      0.31046
