# ALPHA = 0.05
# NUMBER_OF_TESTS = 3

# _SET1_  VARIABLE = BR (set)
# _SET1_  NGENES = 4340
# _SET1_  P-VALUE = 0.0107409
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   26155         1     879583     894679     98      26  448726      0.78315      0.13189     9.992e-16      0.78315
_SET1_   84069         1     901872     910488     65      35  447422       1.2764     0.046091    8.8818e-16       1.2764
_SET1_   375790        1     955503     991499    241      52  459564       3.3131   9.5414e-05    8.8818e-16       3.3131
_SET1_   51150         1    1152288    1167447    129      15  467584      -0.8394      0.70958     9.992e-16      -0.8394
_SET1_   126792        1    1167629    1170421     13       6  471880     -0.87826      0.77503     9.992e-16     -0.87826
_SET1_   126789        1    1243962    1247057     16      10  429001      -1.9855      0.95841    8.8818e-16      -1.9855
_SET1_   54587         1    1288071    1297183     48      17  456849     -0.92372      0.73929     9.992e-16     -0.92372
_SET1_   643965        1    1361508    1363167     10       5  466340      -1.2906      0.85582    8.8818e-16      -1.2906
_SET1_   339453        1    1470158    1475740     22      15  461919      -1.5787      0.89518    8.8818e-16      -1.5787
_SET1_   643988        1    1533388    1535476      4       2  447618       1.3937      0.06022    8.8818e-16       1.3937
_SET1_   65220         1    1682671    1711508    128      33  464442      -1.4452      0.83788    8.8818e-16      -1.4452
_SET1_   8764          1    2487291    2495268     36      13  473745     -0.39904       0.5046     9.992e-16     -0.39904
_SET1_   63976         1    2985565    3355185   2354     285  469116      -1.4307      0.83381    8.8818e-16      -1.4307
_SET1_   27237         1    3371147    3397677    155      34  471173     -0.80868       0.6777     9.992e-16     -0.80868
_SET1_   1953          1    3404506    3528059    785     126  468117      0.12871      0.28584    9.7145e-16      0.12871
_SET1_   127262        1    3541556    3546695     26      11  465393     0.048519      0.35697    9.8532e-16     0.048519
_SET1_   55966         1    4715105    4843851    857     118  474019      -1.5063      0.84801    8.8818e-16      -1.5063
_SET1_   261734        1    5922870    6052618    669      51  470124       1.1289     0.059864    8.8818e-16       1.1289
_SET1_   8718          1    6520787    6527432     35      16  475224      -1.0686      0.78026    8.8818e-16      -1.0686
_SET1_   57449         1    6526152    6580121    263      64  465523     -0.14114       0.3944    9.7145e-16     -0.14114
_SET1_   79707         1    6581407    6614658    169      15  471758     -0.47424      0.57001     9.992e-16     -0.47424
_SET1_   3104          1    6640051    6649340     20      13  452311       2.3933    0.0032603    8.8818e-16       2.3933
_SET1_   8863          1    7844413    7905241    294      37  472715      0.52624      0.17031     9.992e-16      0.52624
_SET1_   54206         1    8071779    8086393     46      17  462286      0.09395      0.31046    9.8532e-16      0.09395
_SET1_   50651         1    8378171    8404227    114      28  469296        1.728     0.014407    8.8818e-16        1.728
_SET1_   2023          1    8921059    8939151     59      22  467967     -0.41864      0.51143     9.992e-16     -0.41864
_SET1_   80045         1    9163472    9189229     96      27  461785       1.7859     0.013116    8.8818e-16       1.7859
_SET1_   9563          1    9294822    9331396    177      56  456295     -0.50054      0.51009     9.992e-16     -0.50054
_SET1_   22883         1    9789079    9884550    451      35  449731      -1.1058      0.79808    8.8818e-16      -1.1058
_SET1_   56998         1    9908334    9970316    233      59  456352       0.6656      0.15014     9.992e-16       0.6656
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20972      0.26977    9.7145e-16      0.20972
_SET1_   1676          1   10520588   10532613     48      25  459750      -1.3916      0.83867    8.8818e-16      -1.3916
_SET1_   2475          1   11166588   11322614    487      30  470971      -2.1074      0.96084    8.8818e-16      -2.1074
_SET1_   374946        1   11751781   11780336    138      40  459402     -0.68995      0.58583     9.992e-16     -0.68995
_SET1_   57085         1   11796142   11810828     54      19  475345      -1.0464      0.73439    8.8818e-16      -1.0464
_SET1_   4524          1   11845787   11866160    108      21  471720       1.5069      0.02997    8.8818e-16       1.5069
_SET1_   1185          1   11866153   11903201    247      28  471497       1.3976     0.038941    8.8818e-16       1.3976
_SET1_   7133          1   12227044   12269279    186      40  470837      0.46992       0.1881     9.992e-16      0.46992
_SET1_   55187         1   12290101   12572099    872      56  466170     -0.45614      0.56291     9.992e-16     -0.45614
