# ALPHA = 0.05
# NUMBER_OF_TESTS = 3

# _SET1_  VARIABLE = LG (set)
# _SET1_  NGENES = 4486
# _SET1_  P-VALUE = 0.00902242
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   26155         1     854583     919679    100      13  36989      0.47612      0.12227             0      0.47612
_SET1_   84069         1     876872     935488    135      16  36989    -0.096722      0.27303   -1.3878e-17    -0.096722
_SET1_   9636          1     923847     974920    139      12  36989     -0.86368      0.56638             0     -0.86368
_SET1_   375790        1     930503    1016499    192      17  36989     -0.15455      0.28055             0     -0.15455
_SET1_   7293          1    1121706    1174703    250      17  36989     -0.21847      0.32993             0     -0.21847
_SET1_   126792        1    1142629    1195421    211      13  36989      0.66567      0.10668             0      0.66567
_SET1_   118424        1    1164292    1234234    211      23  36989      0.19823      0.23421             0      0.19823
_SET1_   126789        1    1218962    1272057    122      15  36989     -0.53862      0.52985             0     -0.53862
_SET1_   54587         1    1263071    1322183    211      15  36989     -0.51736      0.47425             0     -0.51736
_SET1_   643965        1    1336508    1388167    154      16  36989     -0.59437      0.48453             0     -0.59437
_SET1_   339453        1    1445158    1500740    156      17  36989      0.11304      0.21799   -1.3878e-17      0.11304
_SET1_   65220         1    1657671    1736508    137      11  36989     -0.56938      0.44902             0     -0.56938
_SET1_   6497          1    2135134    2266652    399      60  36989      0.91631     0.038234             0      0.91631
_SET1_   5192          1    2311241    2369010    188      42  36989       1.0008     0.037349             0       1.0008
_SET1_   8764          1    2462291    2520268    152      14  36989      0.15636       0.1919             0      0.15636
_SET1_   63976         1    2960565    3380185   1565     154  36989      0.70956      0.01601             0      0.70956
_SET1_   1953          1    3379506    3553059    595      69  36989      -1.7093      0.78407             0      -1.7093
_SET1_   127262        1    3516556    3571695    173      23  36989     -0.25805      0.31326             0     -0.25805
_SET1_   388588        1    3664352    3717546    219      29  36989      -2.5076      0.95965             0      -2.5076
_SET1_   55966         1    4690105    4868851    836      92  36989     -0.42836      0.26466             0     -0.42836
_SET1_   83715         1    6459836    6546004    247      21  36989       1.0433     0.045072             0       1.0433
_SET1_   8718          1    6495787    6552432    127      16  36989       1.7679    0.0085078             0       1.7679
_SET1_   57449         1    6501152    6605121    269      25  36989       1.6045    0.0096535             0       1.6045
_SET1_   3104          1    6615051    6674340    119      24  36989       1.7119    0.0073911             0       1.7119
_SET1_   9341          1    7806329    7866492    183      28  36989      0.62341      0.08348             0      0.62341
_SET1_   8863          1    7819413    7930241    440      35  36989     -0.15549      0.23984             0     -0.15549
_SET1_   54206         1    8046779    8111393     93       9  36989     -0.58221      0.45966             0     -0.58221
_SET1_   50651         1    8353171    8429227    207      27  36989       4.6515   2.9256e-08             0       4.6515
_SET1_   2023          1    8896059    8964151    137      16  36989       1.5474     0.011538             0       1.5474
_SET1_   80045         1    9138472    9214229    218      24  36989     -0.84391      0.53581             0     -0.84391
_SET1_   9563          1    9269822    9356396    353      40  36989      0.90973     0.040722             0      0.90973
_SET1_   5293          1    9686789    9814172    229      36  36989     -0.27829      0.30949             0     -0.27829
_SET1_   22883         1    9764079    9909550    207      21  36989     -0.10512      0.28914   -1.3878e-17     -0.10512
_SET1_   56998         1    9883334    9995316    196      30  36989      0.63644      0.09039             0      0.63644
_SET1_   23095         1   10245606   10466664    699      20  36989      0.29888      0.10456             0      0.29888
_SET1_   1676          1   10495588   10557613    121      14  36989     -0.76808      0.52293             0     -0.76808
_SET1_   2475          1   11141588   11347614    399      10  36989      -1.1986      0.69167             0      -1.1986
