# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
148398       1     809993     929961    167      22  36989      0.64917    1.1102e-15      0.64917
26155        1     829583     944679    207      24  36989      0.27422    1.1657e-15      0.27422
339451       1     845967     951099    213      24  36989     0.063362    1.1519e-15     0.063362
84069        1     851872     960488    222      23  36989     -0.37217    1.1657e-15     -0.37217
84808        1     860579     967473    227      23  36989     -0.49694    1.1657e-15     -0.49694
57801        1     884342     986608    241      23  36989     -0.45894    1.1657e-15     -0.45894
9636         1     898847     999920    235      20  36989     -0.67248    1.1102e-15     -0.67248
375790       1     905503    1041499    325      23  36989     -0.61102    1.1102e-15     -0.61102
401934       1     957126    1059687    259      19  36989    -0.019911    1.1484e-15    -0.019911
54991        1     967198    1101736    337      25  36989     -0.30603    1.1657e-15     -0.30603
254173       1    1059286    1183315    454      39  36989     -0.72367    1.1102e-15     -0.72367
8784         1    1088888    1192163    411      28  36989     -0.30673    1.1657e-15     -0.30673
7293         1    1096706    1199703    413      26  36989     -0.29739    1.1657e-15     -0.29739
51150        1    1102288    1217447    454      27  36989     -0.46884    1.1657e-15     -0.46884
126792       1    1117629    1220421    405      23  36989       -0.245     1.138e-15       -0.245
388581       1    1127826    1232102    370      24  36989    -0.037911    1.1519e-15    -0.037911
118424       1    1139292    1259234    381      24  36989    -0.017805    1.1484e-15    -0.017805
6339         1    1165816    1277409    297      22  36989  -0.00013347    1.1487e-15  -0.00013347
116983       1    1177764    1293304    290      20  36989     -0.35673    1.1657e-15     -0.35673
126789       1    1193962    1297057    259      16  36989     -0.75228    1.1102e-15     -0.75228
54973        1    1196965    1310067    330      19  36989     -0.98441    1.1102e-15     -0.98441
80772        1    1210136    1314276    329      20  36989     -0.90743    1.1102e-15     -0.90743
83756        1    1216726    1319844    311      17  36989     -0.66734    1.1102e-15     -0.66734
