# ALPHA = 0.05
# NUMBER_OF_TESTS = 24

# _SET1_  VARIABLE = LG_module1 (set)
# _SET1_  NGENES = 517
# _SET1_  P-VALUE = 0.000477446
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   7293          1    1136706    1184703    300      32  464370     -0.64687      0.62292    6.6613e-16     -0.64687
_SET1_   8764          1    2452291    2505268    255      44  468392      -0.3441      0.45946    6.6613e-16      -0.3441
_SET1_   8718          1    6510787    6562432    231      64  463006    -0.026004      0.35777    6.8695e-16    -0.026004
_SET1_   9249          1   12617939   12712820    532      93  469229     0.026825      0.29954    6.8695e-16     0.026825
_SET1_   10630         1   13875252   13954452    450      98  470921     -0.59189      0.53258    6.6613e-16     -0.59189
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4227     0.021563    6.6613e-16       1.4227
_SET1_   55092         1   15444028   15556974    795      59  473443     -0.97034        0.688    6.6613e-16     -0.97034
_SET1_   1969          1   16440832   16517582    309      60  463550      -1.1903      0.75562    6.6613e-16      -1.1903
_SET1_   998           1   22344120   22429439    427      54  469653       1.0156     0.069602    6.6613e-16       1.0156
_SET1_   1043          1   26609411   26657014    235      34  459733     -0.31249      0.44529    6.6613e-16     -0.31249
_SET1_   65979         1   28661093   28836881    718      31  468258       2.8454   0.00056894    8.8818e-16       2.8454
_SET1_   2035          1   29178603   29456558   1021      72  462846       1.0434     0.065712    6.6613e-16       1.0434
_SET1_   3932          1   32681840   32761766    230      63  469319     -0.75266      0.66145    6.6613e-16     -0.75266
_SET1_   65108         1   32789430   32836840    118      44  450848     -0.33677       0.5714    6.6613e-16     -0.33677
_SET1_   4352          1   43768475   43830135    160      45  455405      0.34822      0.20147    6.6613e-16      0.34822
_SET1_   8643          1   45275516   45344226    266      35  470974      -2.0698      0.95511    8.8818e-16      -2.0698
_SET1_   8503          1   46495812   46677167    588      58  469087     -0.93214      0.67833    6.6613e-16     -0.93214
_SET1_   1580          1   47229670   47295021    276      54  463766     -0.39448      0.48496    6.6613e-16     -0.39448
_SET1_   200014        1   52806265   52866877    190      58  462377     -0.71238      0.64936    6.6613e-16     -0.71238
_SET1_   85440         1   62910397   63189039    815      49  462711        2.308    0.0028711    8.8818e-16        2.308
_SET1_   3716          1   65288906   65467593    697      73  470327       1.2525     0.044647    6.6613e-16       1.2525
_SET1_   10451         1  108103782  108542545   2100     159  469466      -2.2335      0.95802    8.8818e-16      -2.2335
