# ALPHA = 0.05
# NUMBER_OF_TESTS = 3

# _SET1_  VARIABLE = LG_vs_LV (set)
# _SET1_  NGENES = 4477
# _SET1_  P-VALUE = 0.0165989
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   26155         1     829583     944679    207      24  36989      0.27422      0.13604   -5.5511e-17      0.27422
_SET1_   84069         1     851872     960488    222      23  36989     -0.37217       0.3251   -5.5511e-17     -0.37217
_SET1_   9636          1     898847     999920    235      20  36989     -0.67248      0.44412   -1.1102e-16     -0.67248
_SET1_   7293          1    1096706    1199703    413      26  36989     -0.29739      0.33423   -5.5511e-17     -0.29739
_SET1_   126792        1    1117629    1220421    405      23  36989       -0.245      0.33561   -5.5511e-17       -0.245
_SET1_   118424        1    1139292    1259234    381      24  36989    -0.017805      0.27994   -6.9389e-17    -0.017805
_SET1_   80772         1    1210136    1314276    329      20  36989     -0.90743      0.63106   -1.1102e-16     -0.90743
_SET1_   54587         1    1238071    1347183    315      15  36989     -0.51583      0.47529   -1.1102e-16     -0.51583
_SET1_   643965        1    1311508    1413167    264      19  36989     -0.85029      0.57132   -1.1102e-16     -0.85029
_SET1_   339453        1    1420158    1525740    315      20  36989     0.054186      0.23021   -6.9389e-17     0.054186
_SET1_   728642        1    1583822    1705999    145      12  36989       -0.755      0.48646   -1.1102e-16       -0.755
_SET1_   5590          1    1931909    2166834    565      34  36989       1.8952    0.0022901             0       1.8952
_SET1_   6497          1    2110134    2291652    588      69  36989      0.89004     0.028765   -1.1102e-16      0.89004
_SET1_   5192          1    2286241    2394010    390      62  36989       3.2565   1.2802e-05             0       3.2565
_SET1_   8764          1    2437291    2545268    324      21  36989       1.4268     0.012085             0       1.4268
_SET1_   1953          1    3354506    3578059    746      78  36989      -1.6116      0.72282             0      -1.6116
_SET1_   127262        1    3491556    3596695    371      46  36989     -0.68778      0.41428   -1.1102e-16     -0.68778
_SET1_   388588        1    3639352    3742546    439      37  36989      -2.6195      0.95703             0      -2.6195
_SET1_   55966         1    4665105    4893851   1036     109  36989     -0.32614      0.19359   -5.5511e-17     -0.32614
_SET1_   8514          1    6002358    6211253    643      64  36989      -1.3869      0.64556             0      -1.3869
_SET1_   6146          1    6195080    6309679    315      37  36989      -1.6275       0.7841             0      -1.6275
_SET1_   83715         1    6434836    6571004    383      26  36989       1.2805      0.02238             0       1.2805
_SET1_   8718          1    6470787    6577432    282      28  36989        1.823    0.0050283             0        1.823
_SET1_   57449         1    6476152    6630121    439      32  36989      0.89699     0.044372   -1.1102e-16      0.89699
_SET1_   3104          1    6590051    6699340    279      24  36989       1.8844    0.0036229             0       1.8844
_SET1_   9341          1    7781329    7891492    347      33  36989       0.1959      0.14316   -5.5511e-17       0.1959
_SET1_   54206         1    8021779    8136393    179      13  36989     -0.46187      0.37109   -5.5511e-17     -0.46187
_SET1_   50651         1    8328171    8454227    311      32  36989       5.1691    7.537e-10             0       5.1691
_SET1_   80045         1    9113472    9239229    389      36  36989     -0.99819       0.5453   -1.1102e-16     -0.99819
_SET1_   9563          1    9244822    9381396    556      57  36989     -0.08044      0.18108   -6.9389e-17     -0.08044
_SET1_   22883         1    9739079    9934550    302      30  36989   -0.0088105      0.22032   -6.9389e-17   -0.0088105
_SET1_   56998         1    9858334   10020316    280      32  36989      0.17881      0.17449   -5.5511e-17      0.17881
