# ALPHA = 0.05
# NUMBER_OF_TESTS = 3

# _SET1_  VARIABLE = LG (set)
# _SET1_  NGENES = 2163
# _SET1_  P-VALUE = 0.00920285
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   375790        1     955503     991499    241      52  459564       3.3131   9.5414e-05    1.3323e-15       3.3131
_SET1_   643965        1    1361508    1363167     10       5  466340      -1.2906      0.85582    1.3323e-15      -1.2906
_SET1_   339453        1    1470158    1475740     22      15  461919      -1.5787      0.89518    1.3323e-15      -1.5787
_SET1_   8764          1    2487291    2495268     36      13  473745     -0.39904       0.5046    1.2212e-15     -0.39904
_SET1_   1953          1    3404506    3528059    785     126  468117      0.12871      0.28584     1.249e-15      0.12871
_SET1_   3104          1    6640051    6649340     20      13  452311       2.3933    0.0032603    1.3323e-15       2.3933
_SET1_   54206         1    8071779    8086393     46      17  462286      0.09395      0.31046    1.2351e-15      0.09395
_SET1_   80045         1    9163472    9189229     96      27  461785       1.7859     0.013116    1.3323e-15       1.7859
_SET1_   22883         1    9789079    9884550    451      35  449731      -1.1058      0.79808    1.3323e-15      -1.1058
_SET1_   56998         1    9908334    9970316    233      59  456352       0.6656      0.15014    1.2212e-15       0.6656
_SET1_   2475          1   11166588   11322614    487      30  470971      -2.1074      0.96084    1.3323e-15      -2.1074
_SET1_   29914         1   11333255   11348491     36      10  449546     0.080233      0.36659    1.2351e-15     0.080233
_SET1_   5351          1   11994724   12035599    196      37  468696     -0.24095      0.42927     1.249e-15     -0.24095
_SET1_   9249          1   12627939   12677820    236      66  468205      -0.2207      0.39346     1.249e-15      -0.2207
_SET1_   23254         1   14219646   15444544   6679     495  468521       1.3081     0.030734    1.3323e-15       1.3081
_SET1_   149563        1   16330731   16333184     21       9  472024       1.0125     0.095877    1.3323e-15       1.0125
_SET1_   1969          1   16450832   16482582    124      49  449951      -1.1275      0.75182    1.3323e-15      -1.1275
_SET1_   4237          1   17300997   17308081     23       8  459522     -0.24387      0.44064     1.249e-15     -0.24387
_SET1_   23400         1   17312453   17338467     90      32  449273    -0.066624      0.34781    1.2351e-15    -0.066624
_SET1_   55160         1   17846693   18024370    883     107  465717      -1.4249      0.84026    1.3323e-15      -1.4249
_SET1_   100532736     1   19923471   19984949    296      46  471793       1.7044      0.01727    1.3323e-15       1.7044
_SET1_   65018         1   20959948   20978004     96      19  470653      -1.6175       0.8861    1.3323e-15      -1.6175
_SET1_   249           1   21835475   21904905    403      51  474751     -0.46627      0.50606    1.2212e-15     -0.46627
_SET1_   713           1   22979682   22988130     36      14  473320     -0.69943      0.62661    1.2212e-15     -0.69943
_SET1_   3399          1   23884421   23886285     14       8  474789       1.7329     0.018631    1.3323e-15       1.7329
_SET1_   1269          1   24197005   24285549    330      30  465113       1.3493     0.037738    1.3323e-15       1.3493
_SET1_   90529         1   24683489   24741587    245      46  470975    -0.095063      0.35927    1.2351e-15    -0.095063
_SET1_   57185         1   24742245   24799473    307      43  467441      0.12197      0.28306    1.2351e-15      0.12197
_SET1_   864           1   25226002   25291648    258      70  469794       1.3225     0.037257    1.3323e-15       1.3225
_SET1_   57134         1   25943959   26111258    659      73  461956     -0.29946      0.46309    1.2212e-15     -0.29946
_SET1_   3925          1   26210670   26233368     57      19  456734       1.9237    0.0092554    1.3323e-15       1.9237
_SET1_   79927         1   26485511   26489119     19      12  465317     -0.74081      0.64921    1.2212e-15     -0.74081
_SET1_   6195          1   26856249   26901520    156      37  462336     -0.61937      0.56954    1.2212e-15     -0.61937
_SET1_   84243         1   27153201   27184092    101      36  463512       1.3138       0.0436    1.3323e-15       1.3138
_SET1_   2035          1   29213603   29446558    800      67  461740       1.0449     0.071921    1.3323e-15       1.0449
_SET1_   64129         1   32042086   32053290     24      16  473929       1.5745     0.026698    1.3323e-15       1.5745
_SET1_   3932          1   32716840   32751766    101      50  466458      -1.8907      0.94023    1.3323e-15      -1.8907
_SET1_   65108         1   32799430   32801840      3       2  459384     -0.98007       0.8464    1.2212e-15     -0.98007
_SET1_   127544        1   33402050   33430467    101      27  472625      0.91069     0.096004    1.2212e-15      0.91069
_SET1_   2701          1   35258559   35261351     17       7  471727       1.9095     0.012319    1.3323e-15       1.9095
_SET1_   127703        1   36179477   36184790     14       9  469156       0.6446      0.19078    1.2212e-15       0.6446
_SET1_   55700         1   36621751   36646450     64      23  462788      0.54613      0.17048    1.2212e-15      0.54613
_SET1_   79693         1   38268614   38273865     18       7  470849       1.2122     0.064075    1.3323e-15       1.2122
_SET1_   23499         1   39549839   39952810   1311      62  470814      -1.1625      0.77676    1.3323e-15      -1.1625
_SET1_   51440         1   40144320   40157382     81      20  477241     -0.49058      0.52647    1.2212e-15     -0.49058
_SET1_   84879         1   40420784   40435630     52      27  460084       0.4657      0.20256    1.2212e-15       0.4657
_SET1_   64744         1   40839378   40888998    173      48  472830      -1.6803      0.89478    1.3323e-15      -1.6803
_SET1_   59269         1   41972036   42501596   2185     134  468432      0.85349      0.08867    1.2212e-15      0.85349
_SET1_   4904          1   43148060   43168024     65      29  463754       1.1828     0.055356    1.3323e-15       1.1828
_SET1_   6513          1   43391046   43424847    160      32  475577      -1.0048      0.71842    1.3323e-15      -1.0048
_SET1_   4352          1   43803475   43820135     39      19  452203      0.89971     0.098324    1.2212e-15      0.89971
_SET1_   6536          1   44462155   44497171    132      40  467742      -1.4302      0.85526    1.3323e-15      -1.4302
_SET1_   1263          1   45265638   45271667     26      13  470834     -0.62369      0.62955    1.2212e-15     -0.62369
_SET1_   57643         1   45482071   45672250    541      51  469539     -0.12319      0.39367    1.2351e-15     -0.12319
_SET1_   8569          1   47023079   47069966    179      44  465863      0.37819      0.20862    1.2212e-15      0.37819
_SET1_   148932        1   47073387   47082563     41      15  450804       1.0967     0.064327    1.3323e-15       1.0967
_SET1_   1580          1   47264670   47285021    105      27  468963     -0.55576      0.56648    1.2212e-15     -0.55576
_SET1_   7804          1   53708036   53793821    313      62  471064     -0.66408      0.57421    1.2212e-15     -0.66408
_SET1_   374977        1   55107427   55175939    376      78  472386      0.42621      0.18428    1.2212e-15      0.42621
_SET1_   1718          1   55315300   55352921    190      38  465236     -0.91124      0.68066    1.2212e-15     -0.91124
_SET1_   8613          1   56960419   57045257    366      61  465839      0.36613      0.20777    1.2212e-15      0.36613
_SET1_   5563          1   57110990   57181008    342      34  473537      0.20016      0.25801     1.249e-15      0.20016
