# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
148398       1     824993     889961     97      17  11226      0.75166             0      0.75166
339451       1     860967     911099     59      20  11226      0.95665             0      0.95665
84069        1     866872     920488     60      21  11226      0.05876   -2.7756e-17      0.05876
26155        1     869583     929679     63      22  11226     -0.13022   -2.7756e-17     -0.13022
84808        1     900579     952473     60      15  11226      0.26217             0      0.26217
9636         1     913847     959920     55      12  11226     -0.43396             0     -0.43396
375790       1     920503    1001499     73      18  11226     -0.17509   -2.7756e-17     -0.17509
57801        1     924342     971608     48      11  11226      0.21444   -2.7756e-17      0.21444
401934       1     997126    1044687     68      12  11226     -0.21062   -2.7756e-17     -0.21062
54991        1    1007198    1086736    152      21  11226      0.56159             0      0.56159
254173       1    1074286    1143315    185      31  11226      0.14829   -2.7756e-17      0.14829
8784         1    1128888    1177163    139      12  11226       -2.785             0       -2.785
126792       1    1132629    1180421    137      12  11226      -2.8702             0      -2.8702
7293         1    1136706    1184703    135      11  11226      -3.0245             0      -3.0245
51150        1    1142288    1202447    158      14  11226      -3.0913             0      -3.0913
388581       1    1167826    1217102     93      16  11226      -2.1345             0      -2.1345
118424       1    1179292    1244234    104      19  11226      -2.0293             0      -2.0293
6339         1    1180816    1237409     88      16  11226      -1.7965             0      -1.7965
126789       1    1208962    1257057     60      12  11226      -1.6054             0      -1.6054
116983       1    1217764    1278304     73      16  11226       -2.553             0       -2.553
80772        1    1225136    1274276     60      14  11226       -2.426             0       -2.426
83756        1    1231726    1279844     55      12  11226      -2.3378             0      -2.3378
54973        1    1236965    1295067     59      13  11226      -2.6968             0      -2.6968
1855         1    1260658    1319509     65      14  11226      -2.4188             0      -2.4188
54587        1    1278071    1332183     50      13  11226       -2.078             0       -2.078
54998        1    1299110    1345818     56      11  11226        -1.83             0        -1.83
81669        1    1311091    1369718     89      11  11226      -2.0746             0      -2.0746
643965       1    1326508    1373167     74      10  11226      -2.2043             0      -2.2043
55052        1    1327276    1377693     78      10  11226      -2.3401             0      -2.3401
64856        1    1335903    1388262     85      13  11226        -2.49             0        -2.49
219293       1    1343152    1415538     84      15  11226      -2.7425             0      -2.7425
441869       1    1343800    1391824     73      12  11226      -2.4211             0      -2.4211
83858        1    1372139    1454852     60      20  11226     -0.62496             0     -0.62496
55210        1    1412523    1480067     67      16  11226      0.91931             0      0.91931
339453       1    1460158    1510740     69      14  11226       1.2005             0       1.2005
29101        1    1467053    1545262    123      21  11226      0.57682             0      0.57682
142678       1    1515795    1575990     74      16  11226       -2.119             0       -2.119
643988       1    1523388    1570476     58      12  11226      -2.1891             0      -2.1891
8510         1    1532060    1580030     44      10  11226      -1.4836             0      -1.4836
984          1    1561100    1625473     39      11  11226     -0.22833   -2.7756e-17     -0.22833
728661       1    1581486    1659243     40      12  11226     -0.36263             0     -0.36263
728642       1    1623822    1690999     29       8  11226       2.0954             0       2.0954
9906         1    1646277    1712438     45       9  11226        2.125             0        2.125
65220        1    1672671    1746508     62      12  11226       2.0857             0       2.0857
2782         1    1706725    1857552    127      19  11226       1.7529             0       1.7529
163688       1    1811266    1858733     55       8  11226       1.8467             0       1.8467
339456       1    1839029    1885740     73      10  11226       1.7433             0       1.7433
85452        1    1843390    1970276    203      33  11226       1.7662             0       1.7662
2563         1    1915768    1972192     85      20  11226      0.78576             0      0.78576
5590         1    1946909    2126834    222      44  11226       1.0715             0       1.0715
100506504    1    2103250    2150812     61      16  11226       1.1816             0       1.1816
199990       1    2105899    2179159     91      24  11226      0.59721             0      0.59721
6497         1    2125134    2251652    165      41  11226     -0.31767             0     -0.31767
79906        1    2241719    2358190    232      56  11226     -0.68322             0     -0.68322
11079        1    2288214    2346883     92      27  11226     -0.99587             0     -0.99587
5192         1    2326241    2379010     95      35  11226     -0.26603             0     -0.26603
9651         1    2372754    2446964    120      27  11226       0.2623             0       0.2623
55229        1    2429975    2493061     68      13  11226      0.96349             0      0.96349
388585       1    2450184    2496684     47      10  11226       1.2765             0       1.2765
8764         1    2452291    2505268     55      12  11226       1.1095             0       1.1095
127281       1    2482899    2532908     58      11  11226      0.47795             0      0.47795
79258        1    2512078    2599499    111      14  11226      0.70028             0      0.70028
100287898    1    2562807    2741230    100      12  11226      0.53295             0      0.53295
140625       1    2903046    2949467     95       5  11226     -0.60634             0     -0.60634
63976        1    2950565    3365185    849     141  11226     -0.36615             0     -0.36615
27237        1    3336147    3407677    145      26  11226     -0.40127             0     -0.40127
1953         1    3394506    3563059    349      68  11226       1.2896             0       1.2896
127262       1    3506556    3556695     94      26  11226       1.4519             0       1.4519
7161         1    3534129    3662765    212      54  11226       1.1265             0       1.1265
49856        1    3537331    3601671     97      27  11226      0.81577             0      0.81577
148870       1    3633965    3698209    153      30  11226     -0.72421             0     -0.72421
388588       1    3654352    3702546    132      24  11226     -0.77178             0     -0.77178
57470        1    3686784    3748068    192      25  11226     -0.34622             0     -0.34622
9731         1    3718645    3808797    292      30  11226     -0.27531             0     -0.27531
1677         1    3738845    3811993    250      34  11226     -0.17822   -2.7756e-17     -0.17822
339448       1    3795697    3851857    110      18  11226       1.1282             0       1.1282
55966        1    4680105    4853851    479      84  11226      0.28851             0      0.28851
261734       1    5912870    6087618    312      21  11226      0.21098   -2.7756e-17      0.21098
8514         1    6017358    6171253    236      46  11226     -0.84458             0     -0.84458
26038        1    6151847    6275194    199      40  11226       1.9364             0       1.9364
388591       1    6231189    6291359     77      15  11226       1.7319             0       1.7319
6146         1    6235080    6294679     76      16  11226       1.5492             0       1.5492
390992       1    6269252    6315638     54      11  11226      -1.6974             0      -1.6974
23463        1    6271253    6331044     75      16  11226      -1.8192             0      -1.8192
387509       1    6297406    6356035     87      22  11226    0.0011247   -2.6455e-17    0.0011247
11332        1    6314332    6488826    362      25  11226       1.0156             0       1.0156
83715        1    6449836    6531004    153      16  11226      0.93064             0      0.93064
54626        1    6465292    6519724    105      12  11226      0.91893             0      0.91893
8718         1    6510787    6562432     67      13  11226     -0.46753             0     -0.46753
57449        1    6516152    6615121    121      20  11226   -0.0091162   -2.6021e-17   -0.0091162
79707        1    6571407    6649658     65       8  11226       0.6643             0       0.6643
80835        1    6579987    6649817     59       7  11226       0.6511             0       0.6511
3104         1    6605051    6659340     46      12  11226       0.6091             0       0.6091
148479       1    6638756    6694093     48      12  11226      0.67228             0      0.67228
9903         1    6640784    6697958     55      14  11226        0.657             0        0.657
90326        1    6649925    6705646     59      14  11226      0.50574             0      0.50574
55735        1    6684228    6796966    119      20  11226      0.19274   -2.7756e-17      0.19274
23261        1    6810384    7839766   1558     188  11226      0.16365   -2.7756e-17      0.16365
9341         1    7796329    7851492     75      18  11226     -0.72105             0     -0.72105
8863         1    7809413    7915241    183      27  11226     -0.75969             0     -0.75969
10911        1    7897672    7948551    126      21  11226      -1.2838             0      -1.2838
3604         1    7965931    8038225     68      18  11226      -1.0337             0      -1.0337
11315        1    7986714    8055342     62      15  11226     -0.64042             0     -0.64042
54206        1    8061779    8121393     50       9  11226      -0.2954             0      -0.2954
50651        1    8343171    8414227     87      21  11226     -0.30275             0     -0.30275
473          1    8402464    8912699    357      32  11226       0.7301             0       0.7301
2023         1    8911059    8974151     62      17  11226     -0.84009             0     -0.84009
765          1    8970893    9045151    148      42  11226     -0.39363             0     -0.39363
155184       1    9053359    9121404    112      31  11226      0.10691   -2.7756e-17      0.10691
6518         1    9087005    9166763    134      22  11226     -0.56698             0     -0.56698
80045        1    9153472    9224229     96      22  11226      0.17532   -2.7756e-17      0.17532
9563         1    9259822    9341396    156      32  11226      0.34026             0      0.34026
80176        1    9300202    9439591    292      64  11226     -0.46423             0     -0.46423
84275        1    9564528    9652831     72      18  11226        -1.67             0        -1.67
199953       1    9613932    9684935     42      13  11226      -2.1358             0      -2.1358
5293         1    9676789    9799172    119      36  11226     -0.40591             0     -0.40591
22883        1    9779079    9919550    118      19  11226     -0.26026             0     -0.26026
56998        1    9898334   10005316     88      24  11226      -1.0388             0      -1.0388
64802        1    9968486   10055556     83      17  11226     -0.37657             0     -0.37657
