# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
148398       1     834993     904961     97      10  36989       1.2029             0       1.2029
26155        1     854583     919679    100      13  36989      0.47612             0      0.47612
339451       1     870967     926099    101      13  36989      0.29672             0      0.29672
84069        1     876872     935488    135      16  36989    -0.096722   -1.3878e-17    -0.096722
84808        1     885579     942473    144      17  36989     -0.41239             0     -0.41239
57801        1     909342     961608    151      13  36989      -1.2073             0      -1.2073
9636         1     923847     974920    139      12  36989     -0.86368             0     -0.86368
375790       1     930503    1016499    192      17  36989     -0.15455             0     -0.15455
401934       1     982126    1034687    111      14  36989      0.11558   -1.3878e-17      0.11558
54991        1     992198    1076736    241      21  36989     -0.25249             0     -0.25249
254173       1    1084286    1158315    279      25  36989      -1.4367             0      -1.4367
8784         1    1113888    1167163    259      16  36989      -0.5847             0      -0.5847
7293         1    1121706    1174703    250      17  36989     -0.21847             0     -0.21847
51150        1    1127288    1192447    264      14  36989      0.25021             0      0.25021
126792       1    1142629    1195421    211      13  36989      0.66567             0      0.66567
388581       1    1152826    1207102    195      13  36989      0.59903             0      0.59903
118424       1    1164292    1234234    211      23  36989      0.19823             0      0.19823
6339         1    1190816    1252409    160      18  36989      -1.5135             0      -1.5135
116983       1    1202764    1268304    169      19  36989      -1.1201             0      -1.1201
126789       1    1218962    1272057    122      15  36989     -0.53862             0     -0.53862
54973        1    1221965    1285067    143      14  36989     -0.32872             0     -0.32872
80772        1    1235136    1289276    125      11  36989     -0.15934             0     -0.15934
83756        1    1241726    1294844    120      10  36989    -0.072613   -1.3878e-17    -0.072613
1855         1    1245658    1309509    191      14  36989     -0.47837             0     -0.47837
54587        1    1263071    1322183    211      15  36989     -0.51736             0     -0.51736
54998        1    1284110    1335818    176      13  36989     -0.70019             0     -0.70019
81669        1    1296091    1359718    223      15  36989     -0.70428             0     -0.70428
55052        1    1312276    1367693    154      12  36989     -0.60379             0     -0.60379
441869       1    1328800    1381824    151      14  36989     -0.54511             0     -0.54511
643965       1    1336508    1388167    154      16  36989     -0.59437             0     -0.59437
64856        1    1345903    1403262    160      17  36989     -0.66149             0     -0.66149
