# ALPHA = 0.05
# NUMBER_OF_TESTS = 24

# _SET1_  VARIABLE = BR_module3 (set)
# _SET1_  NGENES = 824
# _SET1_  P-VALUE = 0.000410302
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   126789        1    1193962    1297057    259      16  36989     -0.75228      0.62419    1.1102e-15     -0.75228
_SET1_   643988        1    1483388    1585476    125      12  36989      0.42349      0.12352    1.1657e-15      0.42349
_SET1_   63976         1    2935565    3405185   1728     162  36989      0.51613     0.021179    1.1102e-15      0.51613
_SET1_   1953          1    3354506    3578059    746      78  36989      -1.6116      0.72282    1.1102e-15      -1.6116
_SET1_   8863          1    7794413    7955241    615      39  36989     -0.15178      0.20934     1.138e-15     -0.15178
_SET1_   50651         1    8328171    8454227    311      32  36989       5.1691    7.537e-10    8.8818e-16       5.1691
_SET1_   56998         1    9858334   10020316    280      32  36989      0.17881      0.17449     1.138e-15      0.17881
_SET1_   149563        1   16280731   16383184    526      28  36989      -0.6794      0.41493    1.1102e-15      -0.6794
_SET1_   11240         1   17343256   17495948    597      34  36989       1.3742     0.009823    1.1102e-15       1.3742
_SET1_   100532736     1   19873471   20034949    563      41  36989     0.090504      0.15284    1.1519e-15     0.090504
_SET1_   4681          1   19919723   20034949    377      40  36989      0.18866      0.14087     1.138e-15      0.18866
_SET1_   80818         1   23635941   23746357    207      24  36989       -2.031      0.89956    1.3323e-15       -2.031
_SET1_   55616         1   23705056   23860750    387      29  36989      -1.5935      0.78899    1.1102e-15      -1.5935
_SET1_   3399          1   23834421   23936285    177      30  36989      -0.4949      0.34479    1.1657e-15      -0.4949
_SET1_   57185         1   24692245   24849473    401      28  36989       1.0166     0.028669    1.1102e-15       1.0166
_SET1_   864           1   25176002   25341648    525      53  36989    -0.094385      0.18704    1.1519e-15    -0.094385
_SET1_   79927         1   26435511   26539119    259      17  36989     0.072355      0.19384    1.1519e-15     0.072355
_SET1_   27245         1   27810756   27980463    219      27  36989      0.86672     0.065882    1.1102e-15      0.86672
_SET1_   3065          1   32707708   32849227    113      35  36989      0.41661      0.14984    1.1657e-15      0.41661
_SET1_   64766         1   33232368   33374480    209      21  36989       1.1528      0.02577    1.1102e-15       1.1528
_SET1_   79830         1   35475387   35631460    187       9  36989       1.0333     0.073922    1.1102e-15       1.0333
_SET1_   127703        1   36129477   36234790    122      13  36989       3.2695   5.7523e-05    1.3323e-15       3.2695
_SET1_   80149         1   37890119   37999978    334      39  36989     -0.48118      0.34205    1.1657e-15     -0.48118
_SET1_   54955         1   38097242   38208007    358      39  36989    -0.064443      0.20225    1.1519e-15    -0.064443
_SET1_   51440         1   40094320   40207382    343      44  36989      0.11154      0.15496    1.1519e-15      0.11154
_SET1_   4610          1   40311096   40417687    280      25  36989      0.58166     0.083732    1.1102e-15      0.58166
_SET1_   1263          1   45215638   45321667    220      16  36989    0.0054649      0.22077    1.1484e-15    0.0054649
_SET1_   57643         1   45432071   45722250    592      25  36989     -0.92558      0.52849    1.1102e-15     -0.92558
_SET1_   8569          1   46973079   47119966    382      35  36989      0.18444      0.14126     1.138e-15      0.18444
_SET1_   6886          1   47631962   47747938    299      28  36989      0.24078      0.13473     1.138e-15      0.24078
_SET1_   163782        1   62651837   62835083    831      50  36989      -2.6196      0.93881    1.3323e-15      -2.6196
_SET1_   23169         1   67415015   67570080    478      29  36989      -2.1449      0.90128    1.3323e-15      -2.1449
_SET1_   1647          1   68100860   68204021    248      27  36989        1.391     0.012443    1.1102e-15        1.391
_SET1_   79739         1   84285057   84514850    638      27  36989       1.2336     0.015687    1.1102e-15       1.2336
_SET1_   2959          1   89268321   89407301    431      19  36989       -2.462      0.95707    1.3323e-15       -2.462
_SET1_   25950         1   95649711   95762781    320      30  36989       1.3512     0.014161    1.1102e-15       1.3512
_SET1_   284611        1  109052653  109231949    372      20  36989      -1.1091      0.68472    1.1102e-15      -1.1091
_SET1_   57535         1  109606585  109799403    577      48  36989      -1.3928      0.66846    1.1102e-15      -1.3928
_SET1_   55791         1  111439812  111556825    317      26  36989      0.63767     0.070326    1.1102e-15      0.63767
_SET1_   54507         1  150471846  150583413    251      36  36989       3.4003   9.3153e-06    1.3323e-15       3.4003
_SET1_   4170          1  150497027  150602214    235      33  36989       2.6863   0.00020187    1.3323e-15       2.6863
_SET1_   56882         1  150973447  151082125    265      30  36989        2.548   0.00044034    1.3323e-15        2.548
_SET1_   8991          1  151286778  151395210    167      25  36989       1.5704     0.007925    1.1102e-15       1.5704
_SET1_   23126         1  151325200  151495753    268      20  36989       1.9543    0.0033456    1.1102e-15       1.9543
_SET1_   1163          1  154897118  155001725    150      25  36989       2.9122   9.1364e-05    1.3323e-15       2.9122
_SET1_   4000          1  156002369  156159880    312      29  36989       2.2658    0.0010244    1.3323e-15       2.2658
_SET1_   11243         1  156132779  156259868    294      24  36989      0.58918     0.074989    1.1102e-15      0.58918
_SET1_   9447          1  158978790  159096685    365      21  36989      0.16196         0.19     1.138e-15      0.16196
_SET1_   11266         1  161669558  161776952    401      43  36989      -1.3034      0.66811    1.1102e-15      -1.3034
_SET1_   6258          1  165320159  165464592    532      55  36989       0.1384      0.13751     1.138e-15       0.1384
_SET1_   7371          1  165746732  165930855    386      51  36989      0.31406      0.10271    1.1657e-15      0.31406
_SET1_   9674          1  175076123  175212229    465      47  36989       2.6185   0.00017727    1.3323e-15       2.6185
_SET1_   84066         1  178432212  178542635    281      24  36989      0.52308     0.084457    1.1102e-15      0.52308
_SET1_   57710         1  180832313  180970745    302      44  36989       1.6763    0.0046147    1.1102e-15       1.6763
_SET1_   23057         1  183167372  183437634    691      34  36989       1.4142    0.0083586    1.1102e-15       1.4142
_SET1_   2494          1  199946730  200196552    888      84  36989      -1.0373      0.46379    1.1102e-15      -1.0373
_SET1_   7139          1  201278136  201396836    417      38  36989     -0.13036       0.2267     1.138e-15     -0.13036
_SET1_   1465          1  201402658  201526387    506      39  36989     -0.85074      0.47034    1.1102e-15     -0.85074
_SET1_   10765         1  202646532  202827549    449      32  36989     -0.63709       0.4079    1.1102e-15     -0.63709
_SET1_   59349         1  202810230  202947766    336      24  36989      -1.0303      0.57496    1.1102e-15      -1.0303
_SET1_   7832          1  203224664  203328730    286      34  36989    -0.089129      0.22505    1.1519e-15    -0.089129
_SET1_   9580          1  203992237  204146871    462      71  36989      0.93822     0.028625    1.1102e-15      0.93822
_SET1_   55224         1  204050190  204171307    359      62  36989      0.37177     0.098104    1.1657e-15      0.37177
_SET1_   5129          1  205423684  205551921    492      73  36989      0.86797     0.032711    1.1102e-15      0.86797
_SET1_   64710         1  205631947  205769372    394      36  36989       0.4985      0.08772    1.1657e-15       0.4985
_SET1_   9214          1  207026630  207145378    220      24  36989       0.1552      0.15737     1.138e-15       0.1552
_SET1_   148304        1  209905662  210007890    327      22  36989      -1.5094      0.75441    1.1102e-15      -1.5094
_SET1_   3664          1  209908968  210029520    388      23  36989      -1.6676      0.79774    1.1102e-15      -1.6676
_SET1_   3756          1  210801657  211357457   1964     109  36989      -1.2048      0.32799    1.1102e-15      -1.2048
_SET1_   467           1  212688676  212844119    520      57  36989     -0.26693      0.25171    1.1657e-15     -0.26693
_SET1_   5664          1  227007885  227133804    311      28  36989       1.3848     0.012677    1.1102e-15       1.3848
_SET1_   339500        1  227701220  227915144    538      21  36989      -0.1034      0.22254    1.1519e-15      -0.1034
_SET1_   51742         1  235280210  235541532    606      16  36989      -2.1504      0.90033    1.3323e-15      -2.1504
_SET1_   128178        1  236507680  236698008    880      75  36989      -1.7052      0.71258    1.1102e-15      -1.7052
_SET1_   6664          2    5782799    5891517    330      44  36989       1.9514    0.0020979    1.1102e-15       1.9514
_SET1_   91543         2    6967796    7088370    239      43  36989       1.6519    0.0053659    1.1102e-15       1.6519
