# ALPHA = 0.05
# NUMBER_OF_TESTS = 3

# _SET1_  VARIABLE = BR_vs_LG (set)
# _SET1_  NGENES = 4370
# _SET1_  P-VALUE = 0.00811192
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   148398        1     824993     889961    393      61  450059    -0.020115      0.31419   -5.8981e-16    -0.020115
_SET1_   375790        1     920503    1001499    498      73  455328       3.0545   0.00018931   -4.4409e-16       3.0545
_SET1_   8784          1    1128888    1177163    323      38  463742     -0.78328      0.65897   -5.5511e-16     -0.78328
_SET1_   118424        1    1179292    1244234    337      59  463248      -0.8039      0.68495   -5.5511e-16      -0.8039
_SET1_   126789        1    1208962    1257057    273      57  459435       -1.054      0.76188   -6.6613e-16       -1.054
_SET1_   54998         1    1299110    1345818    243      37  464805     -0.81632      0.67391   -5.5511e-16     -0.81632
_SET1_   643965        1    1326508    1373167    237      45  461609     -0.70972      0.62826   -5.5511e-16     -0.70972
_SET1_   339453        1    1460158    1510740    237      50  464450      -0.4404      0.49244   -6.1062e-16      -0.4404
_SET1_   643988        1    1523388    1570476    181      40  453306      -2.2313      0.95775   -4.4409e-16      -2.2313
_SET1_   65220         1    1672671    1746508    262      48  461789      -1.3431      0.80372   -6.6613e-16      -1.3431
_SET1_   5590          1    1946909    2126834    980     118  465400      -2.1854       0.9517   -4.4409e-16      -2.1854
_SET1_   63976         1    2950565    3365185   2571     288  468553      -1.3411      0.80682   -6.6613e-16      -1.3411
_SET1_   261734        1    5912870    6087618    897      59  468910      0.86312     0.092647   -5.5511e-16      0.86312
_SET1_   3104          1    6605051    6659340    252      53  468974      0.54883      0.16407   -5.5511e-16      0.54883
_SET1_   9341          1    7796329    7851492    205      49  470694       1.4152     0.028453   -6.6613e-16       1.4152
_SET1_   8863          1    7809413    7915241    452      49  474483      0.65845      0.13289   -5.5511e-16      0.65845
_SET1_   54206         1    8061779    8121393    176      37  459565     -0.79272      0.62399   -5.5511e-16     -0.79272
_SET1_   2023          1    8911059    8974151    226      52  471820     -0.38173      0.46114   -6.1062e-16     -0.38173
_SET1_   80045         1    9153472    9224229    303      58  464185       1.3083     0.035789   -6.6613e-16       1.3083
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4409     0.027153   -6.6613e-16       1.4409
_SET1_   22883         1    9779079    9919550    633      60  452429     -0.69117      0.62311   -5.5511e-16     -0.69117
_SET1_   5226          1   10423884   10490565    292      42  467202     -0.76095      0.61343   -5.5511e-16     -0.76095
_SET1_   29914         1   11298255   11358491    175      37  460807       -1.801       0.9176   -6.6613e-16       -1.801
_SET1_   26270         1   11689150   11744411    260      62  465165    -0.061849      0.33517   -5.8981e-16    -0.061849
_SET1_   374946        1   11716781   11790336    345      84  463493     -0.44132      0.46008   -6.1062e-16     -0.44132
_SET1_   57085         1   11761142   11820828    260      65  469023      -1.6871       0.8777   -6.6613e-16      -1.6871
_SET1_   1185          1   11831153   11913201    549      32  472048       1.6596      0.02077   -6.6613e-16       1.6596
_SET1_   4524          1   11835787   11901160    434      30  472375       1.6692     0.020767   -6.6613e-16       1.6692
_SET1_   5351          1   11959724   12045599    478      63  467721      -1.1758      0.75244   -6.6613e-16      -1.1758
_SET1_   7133          1   12192044   12279279    383      67  470965    -0.072167      0.34267   -5.9674e-16    -0.072167
_SET1_   55187         1   12255101   12582099   1093      69  467333     -0.57527       0.5929   -5.5511e-16     -0.57527
_SET1_   9249          1   12617939   12712820    532      93  469229     0.015961      0.29954   -5.8981e-16     0.015961
_SET1_   10630         1   13875252   13954452    450      98  470921     -0.60453      0.53258   -5.5511e-16     -0.60453
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4119     0.021563   -6.6613e-16       1.4119
_SET1_   55092         1   15444028   15556974    795      59  473443     -0.97944        0.688   -5.5511e-16     -0.97944
_SET1_   79180         1   15701391   15766839    330      61  466010      0.21548      0.24563   -5.8287e-16      0.21548
_SET1_   149563        1   16295731   16343184    293      41  468881     -0.32666      0.45415   -6.1062e-16     -0.32666
_SET1_   1969          1   16440832   16517582    309      60  463550      -1.2015      0.75562   -6.6613e-16      -1.2015
_SET1_   54455         1   16563339   16713965    471      44  463528     0.026388      0.30862   -5.8981e-16     0.026388
