# ALPHA = 0.05
# NUMBER_OF_TESTS = 3

# _SET1_  VARIABLE = BR_vs_LG (set)
# _SET1_  NGENES = 2176
# _SET1_  P-VALUE = 0.00420935
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   375790        1     920503    1001499    498      73  455328        3.062   0.00018931    8.8818e-16        3.062
_SET1_   643965        1    1326508    1373167    237      45  461609     -0.70531      0.62826    6.6613e-16     -0.70531
_SET1_   339453        1    1460158    1510740    237      50  464450     -0.43145      0.49244    6.6613e-16     -0.43145
_SET1_   63976         1    2950565    3365185   2571     288  468553       -1.337      0.80682    6.6613e-16       -1.337
_SET1_   3104          1    6605051    6659340    252      53  468974      0.55687      0.16407    6.6613e-16      0.55687
_SET1_   8863          1    7809413    7915241    452      49  474483      0.66709      0.13289    6.6613e-16      0.66709
_SET1_   54206         1    8061779    8121393    176      37  459565     -0.78305      0.62399    6.6613e-16     -0.78305
_SET1_   2023          1    8911059    8974151    226      52  471820      -0.3697      0.46114    6.6613e-16      -0.3697
_SET1_   374946        1   11716781   11790336    345      84  463493     -0.42827      0.46008    6.6613e-16     -0.42827
_SET1_   57085         1   11761142   11820828    260      65  469023      -1.6731       0.8777    6.6613e-16      -1.6731
_SET1_   1185          1   11831153   11913201    549      32  472048       1.6617      0.02077    6.6613e-16       1.6617
_SET1_   4524          1   11835787   11901160    434      30  472375       1.6715     0.020767    6.6613e-16       1.6715
_SET1_   55187         1   12255101   12582099   1093      69  467333     -0.57506       0.5929    6.6613e-16     -0.57506
_SET1_   9249          1   12617939   12712820    532      93  469229     0.026825      0.29954    6.8695e-16     0.026825
_SET1_   10630         1   13875252   13954452    450      98  470921     -0.59189      0.53258    6.6613e-16     -0.59189
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4227     0.021563    6.6613e-16       1.4227
_SET1_   55092         1   15444028   15556974    795      59  473443     -0.97034        0.688    6.6613e-16     -0.97034
_SET1_   79180         1   15701391   15766839    330      61  466010      0.22467      0.24563    6.9389e-16      0.22467
_SET1_   149563        1   16295731   16343184    293      41  468881     -0.31884      0.45415    6.6613e-16     -0.31884
_SET1_   1969          1   16440832   16517582    309      60  463550      -1.1903      0.75562    6.6613e-16      -1.1903
_SET1_   4237          1   17290997   17343081    212      53  457942     -0.41502      0.46286    6.6613e-16     -0.41502
_SET1_   23400         1   17302453   17373467    272      35  463855     -0.48036      0.50784    6.6613e-16     -0.48036
_SET1_   65018         1   20924948   20988004    338      28  472625     -0.94712      0.70694    6.6613e-16     -0.94712
_SET1_   1889          1   21533740   21707034    822     104  467306       0.2895      0.21513    6.6613e-16       0.2895
_SET1_   249           1   21800475   21914905    642      77  472596     -0.31152      0.43076    6.6613e-16     -0.31152
_SET1_   80818         1   23675941   23731357    229      50  460499     -0.63058       0.5786    6.6613e-16     -0.63058
_SET1_   55616         1   23745056   23845750    372      41  464876       1.4598     0.031352    6.6613e-16       1.4598
_SET1_   3399          1   23874421   23921285    178      52  463958       1.2913     0.037278    6.6613e-16       1.2913
_SET1_   3155          1   24118367   24200110    256      35  468824       1.0136     0.076095    6.6613e-16       1.0136
_SET1_   1269          1   24187005   24320549    397      37  464879       1.7817     0.012822    6.6613e-16       1.7817
_SET1_   57185         1   24707245   24809473    479      54  468327      0.19216      0.25144    6.9389e-16      0.19216
_SET1_   25932         1   25036760   25180815    375      73  462149      0.41063      0.18029    6.6613e-16      0.41063
_SET1_   864           1   25216002   25326648    548      93  462762       1.4007     0.026422    6.6613e-16       1.4007
_SET1_   1043          1   26609411   26657014    235      34  459733     -0.31249      0.44529    6.6613e-16     -0.31249
_SET1_   84243         1   27118201   27194092    198      53  465375        1.183     0.056866    6.6613e-16        1.183
_SET1_   2810          1   27154633   27200947    132      41  464340        1.189      0.05663    6.6613e-16        1.189
_SET1_   2827          1   27684148   27732318    137      59  466694      0.16891      0.27548    6.9389e-16      0.16891
_SET1_   22826         1   28516789   28594542    320      32  473226       1.6988     0.017783    6.6613e-16       1.6988
_SET1_   65979         1   28661093   28836881    718      31  468258       2.8454   0.00056894    8.8818e-16       2.8454
_SET1_   3932          1   32681840   32761766    230      63  469319     -0.75266      0.66145    6.6613e-16     -0.75266
_SET1_   65108         1   32789430   32836840    118      44  450848     -0.33677       0.5714    6.6613e-16     -0.33677
_SET1_   57648         1   33172492   33250571    248      59  463817      0.58321      0.15024    6.6613e-16      0.58321
_SET1_   64766         1   33247368   33334480    252      39  465812     -0.83823      0.66617    6.6613e-16     -0.83823
_SET1_   127544        1   33392050   33465467    238      51  472308      0.96306     0.081166    6.6613e-16      0.96306
_SET1_   2701          1   35223559   35271351    280      47  468695       2.4931    0.0015177    8.8818e-16       2.4931
_SET1_   127703        1   36169477   36219790    128      35  451498     0.085407      0.32685    6.8001e-16     0.085407
_SET1_   80149         1   37905119   37959978    235      55  468001       -1.351      0.80787    6.6613e-16       -1.351
_SET1_   23499         1   39514839   39962810   1542      84  469792     -0.88303      0.66748    6.6613e-16     -0.88303
_SET1_   84879         1   40385784   40445630    271      54  466254      0.66578      0.13185    6.6613e-16      0.66578
_SET1_   339559        1   40908043   40972015    313      71  469234      0.86155     0.094753    6.6613e-16      0.86155
_SET1_   59269         1   41962036   42536596   2359     131  468659      0.88871     0.078898    6.6613e-16      0.88871
_SET1_   4904          1   43113060   43178024    208      45  465517       1.0668     0.063238    6.6613e-16       1.0668
_SET1_   6513          1   43381046   43459847    376      47  473710      -1.0405      0.72319    6.6613e-16      -1.0405
_SET1_   4352          1   43768475   43830135    160      45  455405      0.34822      0.20147    6.6613e-16      0.34822
_SET1_   6536          1   44452155   44532171    285      72  469174     -0.27655       0.4225    6.6613e-16     -0.27655
_SET1_   1263          1   45230638   45281667    174      44  467432      -1.8381        0.922    6.6613e-16      -1.8381
_SET1_   8643          1   45275516   45344226    266      35  470974      -2.0698      0.95511    8.8818e-16      -2.0698
_SET1_   8503          1   46495812   46677167    588      58  469087     -0.93214      0.67833    6.6613e-16     -0.93214
_SET1_   541468        1   46634006   46696928    183      59  470567     -0.60738      0.56271    6.6613e-16     -0.60738
_SET1_   148930        1   47001316   47051887    224      61  470660      -1.0742        0.731    6.6613e-16      -1.0742
_SET1_   8569          1   47013079   47104966    382      66  461955      0.11929      0.27034    6.8001e-16      0.11929
_SET1_   148932        1   47063387   47117563    228      45  460270      0.28888      0.21736    6.6613e-16      0.28888
_SET1_   1580          1   47229670   47295021    276      54  463766     -0.39448      0.48496    6.6613e-16     -0.39448
_SET1_   6886          1   47671962   47732938    254      44  468254      0.20481      0.25284    6.9389e-16      0.20481
_SET1_   7804          1   53698036   53828821    513      72  471189     -0.82215      0.62887    6.6613e-16     -0.82215
_SET1_   26027         1   54972930   55110417    772     100  468738       1.3046     0.037237    6.6613e-16       1.3046
_SET1_   8613          1   56950419   57080257    621      78  469566    -0.035316      0.32088    6.8695e-16    -0.035316
_SET1_   5563          1   57075990   57191008    552      49  474300      0.16241      0.26417    6.9389e-16      0.16241
_SET1_   3725          1   59236463   59284785    165      39  465011     -0.38536      0.50744    6.6613e-16     -0.38536
_SET1_   54596         1   62625474   62688000    424      71  471925     -0.70784      0.58955    6.6613e-16     -0.70784
_SET1_   7398          1   62866975   62927475    208      50  469361       1.8161     0.011599    6.6613e-16       1.8161
_SET1_   85440         1   62910397   63189039    815      49  462711        2.308    0.0028711    8.8818e-16        2.308
_SET1_   29929         1   63798261   63914233    446      68  465942     -0.60179      0.54241    6.6613e-16     -0.60179
_SET1_   4919          1   64204690   64657181   1862     162  466707    -0.042286       0.3192    6.8695e-16    -0.042286
_SET1_   55225         1   65175778   65308915    439      64  470223      0.52862      0.16941    6.6613e-16      0.52862
_SET1_   3716          1   65288906   65467593    697      73  470327       1.2525     0.044647    6.6613e-16       1.2525
_SET1_   5142          1   66223193   66850262   2519     185  467523     -0.53174      0.50617    6.6613e-16     -0.53174
_SET1_   84251         1   66964066   67220768   1256      55  468663       0.3662      0.19665    6.6613e-16       0.3662
_SET1_   23169         1   67455015   67555080    419      49  468315       1.6469     0.017838    6.6613e-16       1.6469
_SET1_   1647          1   68115860   68164021    189      40  463350       2.1358    0.0047232    8.8818e-16       2.1358
_SET1_   79971         1   68554142   68733284    973     133  472883     -0.91825       0.6643    6.6613e-16     -0.91825
_SET1_   204962        1   75657816   76116698   1950     111  469243      0.66183      0.11863    6.6613e-16      0.66183
_SET1_   256435        1   76505389   77110311   2792     261  464911      -1.7047      0.88946    6.6613e-16      -1.7047
_SET1_   81849         1   77298126   77543223   1019      77  467841       -1.053      0.71289    6.6613e-16       -1.053
_SET1_   64123         1   79345449   79507495    842      60  473241     -0.40404       0.4769    6.6613e-16     -0.40404
_SET1_   79739         1   84325057   84499850    641      50  467618     -0.69854      0.59439    6.6613e-16     -0.69854
