# ALPHA = 0.05
# NUMBER_OF_TESTS = 3

# _SET1_  VARIABLE = BR_vs_LG (set)
# _SET1_  NGENES = 2182
# _SET1_  P-VALUE = 0.000700128
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   375790        1     955503     991499    241      52  459564       3.3058   9.5414e-05    8.8818e-16       3.3058
_SET1_   643965        1    1361508    1363167     10       5  466340      -1.2961      0.85582    8.8818e-16      -1.2961
_SET1_   339453        1    1470158    1475740     22      15  461919      -1.5859      0.89518    8.8818e-16      -1.5859
_SET1_   63976         1    2985565    3355185   2354     285  469116      -1.4231      0.83381    8.8818e-16      -1.4231
_SET1_   3104          1    6640051    6649340     20      13  452311       2.3852    0.0032603    8.8818e-16       2.3852
_SET1_   8863          1    7844413    7905241    294      37  472715      0.51805      0.17031    7.7716e-16      0.51805
_SET1_   54206         1    8071779    8086393     46      17  462286      0.08507      0.31046    7.9103e-16      0.08507
_SET1_   2023          1    8921059    8939151     59      22  467967     -0.42628      0.51143    7.7716e-16     -0.42628
_SET1_   374946        1   11751781   11780336    138      40  459402       -0.699      0.58583    7.7716e-16       -0.699
_SET1_   57085         1   11796142   11810828     54      19  475345      -1.0544      0.73439    8.8818e-16      -1.0544
_SET1_   4524          1   11845787   11866160    108      21  471720       1.4991      0.02997    8.8818e-16       1.4991
_SET1_   1185          1   11866153   11903201    247      28  471497       1.3897     0.038941    8.8818e-16       1.3897
_SET1_   55187         1   12290101   12572099    872      56  466170     -0.46543      0.56291    7.7716e-16     -0.46543
_SET1_   9249          1   12627939   12677820    236      66  468205     -0.22701      0.39346    7.7716e-16     -0.22701
_SET1_   10630         1   13910252   13944452    189      58  470838      -2.1802       0.9573    8.8818e-16      -2.1802
_SET1_   23254         1   14219646   15444544   6679     495  468521       1.3114     0.030734    8.8818e-16       1.3114
_SET1_   55092         1   15479028   15546974    442      44  477011      -2.0608      0.94367    8.8818e-16      -2.0608
_SET1_   79180         1   15736391   15756839    112      37  454356      0.71151      0.12846    7.7716e-16      0.71151
_SET1_   149563        1   16330731   16333184     21       9  472024       1.0064     0.095877    8.8818e-16       1.0064
_SET1_   1969          1   16450832   16482582    124      49  449951      -1.1355      0.75182    8.8818e-16      -1.1355
_SET1_   4237          1   17300997   17308081     23       8  459522      -0.2541      0.44064    7.7716e-16      -0.2541
_SET1_   23400         1   17312453   17338467     90      32  449273    -0.076559      0.34781    7.9103e-16    -0.076559
_SET1_   65018         1   20959948   20978004     96      19  470653      -1.6265       0.8861    8.8818e-16      -1.6265
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17713      0.39088    7.7716e-16     -0.17713
_SET1_   249           1   21835475   21904905    403      51  474751     -0.47361      0.50606    7.7716e-16     -0.47361
_SET1_   80818         1   23685941   23696357     41      13  474584     -0.59502      0.59929    7.7716e-16     -0.59502
_SET1_   55616         1   23755056   23810750    181      39  472175      0.79519      0.11836    7.7716e-16      0.79519
_SET1_   3399          1   23884421   23886285     14       8  474789       1.7261     0.018631    8.8818e-16       1.7261
_SET1_   3155          1   24128367   24165110     96      26  468414      0.70797      0.12741    7.7716e-16      0.70797
_SET1_   1269          1   24197005   24285549    330      30  465113       1.3392     0.037738    8.8818e-16       1.3392
_SET1_   57185         1   24742245   24799473    307      43  467441      0.11334      0.28306    7.9103e-16      0.11334
_SET1_   25932         1   25071760   25170815    224      69  456523      0.34849       0.2138    7.7716e-16      0.34849
_SET1_   864           1   25226002   25291648    258      70  469794       1.3174     0.037257    8.8818e-16       1.3174
_SET1_   1043          1   26644411   26647014     20       8  451222      -1.1197      0.77699    8.8818e-16      -1.1197
_SET1_   84243         1   27153201   27184092    101      36  463512       1.3066       0.0436    8.8818e-16       1.3066
_SET1_   2810          1   27189633   27190947      2       1  465324      0.69266      0.25205    7.7716e-16      0.69266
_SET1_   2827          1   27719148   27722318      8       6  471016      0.22006      0.32127    7.7716e-16      0.22006
_SET1_   22826         1   28526789   28559542    122      24  477034       1.2234     0.051488    8.8818e-16       1.2234
_SET1_   65979         1   28696093   28826881    524      25  467814       2.8585   0.00055816    8.8818e-16       2.8585
_SET1_   3932          1   32716840   32751766    101      50  466458      -1.8976      0.94023    8.8818e-16      -1.8976
_SET1_   65108         1   32799430   32801840      3       2  459384      -1.0066       0.8464    8.8818e-16      -1.0066
_SET1_   57648         1   33207492   33240571     94      39  464505     -0.10278       0.3653    7.9103e-16     -0.10278
_SET1_   64766         1   33282368   33324480    129      42  472383     -0.84231      0.66968    7.7716e-16     -0.84231
_SET1_   127544        1   33402050   33430467    101      27  472625      0.90346     0.096004    7.7716e-16      0.90346
_SET1_   2701          1   35258559   35261351     17       7  471727       1.9021     0.012319    8.8818e-16       1.9021
_SET1_   127703        1   36179477   36184790     14       9  469156      0.63843      0.19078    7.7716e-16      0.63843
_SET1_   80149         1   37940119   37949978     32      18  465506      -1.1968      0.79585    8.8818e-16      -1.1968
_SET1_   23499         1   39549839   39952810   1311      62  470814      -1.1707      0.77676    8.8818e-16      -1.1707
_SET1_   84879         1   40420784   40435630     52      27  460084      0.45814      0.20256    7.7716e-16      0.45814
_SET1_   339559        1   40943043   40962015     65      24  469463       1.2066     0.057171    8.8818e-16       1.2066
_SET1_   59269         1   41972036   42501596   2185     134  468432      0.84916      0.08867    7.7716e-16      0.84916
_SET1_   4904          1   43148060   43168024     65      29  463754       1.1751     0.055356    8.8818e-16       1.1751
_SET1_   6513          1   43391046   43424847    160      32  475577      -1.0124      0.71842    8.8818e-16      -1.0124
_SET1_   4352          1   43803475   43820135     39      19  452203      0.89068     0.098324    7.7716e-16      0.89068
_SET1_   6536          1   44462155   44497171    132      40  467742      -1.4367      0.85526    8.8818e-16      -1.4367
_SET1_   1263          1   45265638   45271667     26      13  470834      -0.6299      0.62955    7.7716e-16      -0.6299
_SET1_   8643          1   45285516   45309226    105      32  469176      -2.1336      0.95929    8.8818e-16      -2.1336
_SET1_   8503          1   46505812   46642167    461      55  467848     -0.81311       0.6381    7.7716e-16     -0.81311
_SET1_   541468        1   46669006   46686928     46      24  471325     -0.71066      0.62842    7.7716e-16     -0.71066
_SET1_   148930        1   47011316   47016887     32      10  474225     -0.45658       0.5462    7.7716e-16     -0.45658
_SET1_   8569          1   47023079   47069966    179      44  465863      0.37081      0.20862    7.7716e-16      0.37081
_SET1_   148932        1   47073387   47082563     41      15  450804        1.086     0.064327    8.8818e-16        1.086
_SET1_   1580          1   47264670   47285021    105      27  468963     -0.56332      0.56648    7.7716e-16     -0.56332
_SET1_   6886          1   47681962   47697938     58      23  465100       0.3804      0.21569    7.7716e-16       0.3804
_SET1_   7804          1   53708036   53793821    313      62  471064     -0.67069      0.57421    7.7716e-16     -0.67069
_SET1_   26027         1   55007930   55100417    554      65  469665       1.2646     0.044647    8.8818e-16       1.2646
_SET1_   8613          1   56960419   57045257    366      61  465839      0.35933      0.20777    7.7716e-16      0.35933
_SET1_   5563          1   57110990   57181008    342      34  473537      0.19074      0.25801    7.7716e-16      0.19074
_SET1_   3725          1   59246463   59249785      5       3  467611      0.72095      0.21028    7.7716e-16      0.72095
_SET1_   54596         1   62660474   62678000    126      27  475436      -1.5296      0.86482    8.8818e-16      -1.5296
_SET1_   7398          1   62901975   62917475     47      10  471209       2.1957    0.0053766    8.8818e-16       2.1957
_SET1_   85440         1   62920397   63154039    655      46  463161       1.8718     0.010581    8.8818e-16       1.8718
_SET1_   29929         1   63833261   63904233    259      39  465377      -1.5553      0.86522    8.8818e-16      -1.5553
_SET1_   4919          1   64239690   64647181   1608     175  466269     0.043293      0.30476     7.841e-16     0.043293
_SET1_   55225         1   65210778   65298915    256      35  469988      0.44734      0.20483    7.7716e-16      0.44734
_SET1_   3716          1   65298906   65432593    539      58  470659       1.4835     0.028002    8.8818e-16       1.4835
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59797      0.54056    7.7716e-16     -0.59797
_SET1_   84251         1   66999066   67210768    990      49  468664      0.34835      0.20531    7.7716e-16      0.34835
_SET1_   23169         1   67465015   67520080    227      36  469312       1.9594    0.0081879    8.8818e-16       1.9594
_SET1_   1647          1   68150860   68154021     10       4  485621        1.374      0.04753    8.8818e-16        1.374
_SET1_   79971         1   68564142   68698284    717     110  474021     -0.59477      0.54449    7.7716e-16     -0.59477
_SET1_   204962        1   75667816   76081698   1671      89  469099      0.77217      0.10308    7.7716e-16      0.77217
_SET1_   256435        1   76540389   77100311   2552     228  464420      -1.6075       0.8733    8.8818e-16      -1.6075
_SET1_   81849         1   77333126   77533223    845      75  466206     -0.87141       0.6567    7.7716e-16     -0.87141
_SET1_   64123         1   79355449   79472495    608      45  474174     -0.36976      0.47501    7.7716e-16     -0.36976
_SET1_   79739         1   84335057   84464850    454      36  464859     -0.43641      0.50331    7.7716e-16     -0.43641
_SET1_   100505741     1   84971902   85022150    254      37  474259       0.3902      0.21959    7.7716e-16       0.3902
_SET1_   117178        1   85109390   85156440    195      41  466102      -0.4548      0.51527    7.7716e-16      -0.4548
_SET1_   8915          1   85731459   85742604     40      17  479518     -0.73921      0.63604    7.7716e-16     -0.73921
_SET1_   5586          1   89149876   89301938    666      37  464198       -1.567      0.89108    8.8818e-16       -1.567
_SET1_   2959          1   89318321   89357301    167      27  472363      -1.6377      0.90461    8.8818e-16      -1.6377
_SET1_   115361        1   89646831   89664633     73      26  458336     -0.54834      0.56414    7.7716e-16     -0.54834
_SET1_   163351        1   89829436   89853719    115      29  476346      0.85572     0.099024    7.7716e-16      0.85572
_SET1_   23507         1   89989933   90063420    253      26  476320     -0.70706      0.60418    7.7716e-16     -0.70706
_SET1_   7813          1   92974253   93257961   1163      46  464546      0.89152     0.095617    7.7716e-16      0.89152
_SET1_   50999         1   93615299   93646246    114      29  462124     -0.59485       0.5711    7.7716e-16     -0.59485
_SET1_   343099        1   93646038   93744769    390      41  464429     -0.97362      0.71048    7.7716e-16     -0.97362
_SET1_   54873         1  100111431  100160097    228      41  473679      -1.8469      0.92377    8.8818e-16      -1.8469
_SET1_   391059        1  100174206  100232186    293      23  467439      0.71063      0.13051    7.7716e-16      0.71063
_SET1_   64645         1  100503670  100548933    180      34  471172      -0.5812      0.59846    7.7716e-16      -0.5812
_SET1_   8556          1  100810598  100985833    601      52  464343     -0.75023      0.63989    7.7716e-16     -0.75023
_SET1_   7412          1  101185196  101204601     50      26  474375      0.27369      0.24686    7.7716e-16      0.27369
_SET1_   10451         1  108113782  108507545   1881     139  469531      -2.0379       0.9401    8.8818e-16      -2.0379
_SET1_   29957         1  108677344  108742980    288      39  464580     -0.50286       0.5125    7.7716e-16     -0.50286
_SET1_   284611        1  109102653  109181949    208      29  465915      0.75177      0.14207    7.7716e-16      0.75177
_SET1_   57535         1  109656585  109749403    493      77  467071     -0.23622       0.4036    7.7716e-16     -0.23622
_SET1_   1952          1  109792641  109818378    121      35  468073    -0.062013      0.36173     7.841e-16    -0.062013
_SET1_   6272          1  109852187  109940563    237      48  455818     -0.90155      0.67609    7.7716e-16     -0.90155
_SET1_   2946          1  110210644  110226619     42      16  462587      -1.0234      0.73872    8.8818e-16      -1.0234
_SET1_   10768         1  110527387  110566364    109      28  467776      -1.0729      0.77455    8.8818e-16      -1.0729
_SET1_   85369         1  110574199  110597263     88      33  466930     -0.91665      0.69773    7.7716e-16     -0.91665
_SET1_   9122          1  110905473  110933704    100      34  473756       -1.338      0.81489    8.8818e-16       -1.338
_SET1_   3738          1  111196182  111217655     67      19  473469     -0.32218      0.46179    7.7716e-16     -0.32218
_SET1_   963           1  111413821  111442558    110      21  474791      -1.0515      0.73283    8.8818e-16      -1.0515
_SET1_   10390         1  111682249  111727724    207      36  460226     -0.61929      0.60415    7.7716e-16     -0.61929
_SET1_   27159         1  111833474  111863188    237      34  475097      -1.9205      0.92685    8.8818e-16      -1.9205
_SET1_   128346        1  112016474  112021134     14       8  469698     -0.98867      0.75414    7.7716e-16     -0.98867
_SET1_   7482          1  113010040  113063910    190      54  472170     -0.33653      0.44784    7.7716e-16     -0.33653
