GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
148398       1     824993     889961     97      17  11226      0.85017      0.19762
339451       1     860967     911099     59      20  11226       1.0601      0.14455
84069        1     866872     920488     60      21  11226      0.16648      0.43389
26155        1     869583     929679     63      22  11226    -0.022819       0.5091
84808        1     900579     952473     60      15  11226      0.35378      0.36175
9636         1     913847     959920     55      12  11226     -0.35542      0.63886
375790       1     920503    1001499     73      18  11226    -0.083453      0.53325
57801        1     924342     971608     48      11  11226        0.293      0.38476
401934       1     997126    1044687     68      12  11226     -0.11721      0.54665
54991        1    1007198    1086736    152      21  11226      0.67145      0.25097
254173       1    1074286    1143315    185      31  11226      0.25306      0.40011
8784         1    1128888    1177163    139      12  11226       -2.689      0.99642
126792       1    1132629    1180421    137      12  11226      -2.7755      0.99724
7293         1    1136706    1184703    135      11  11226      -2.9319      0.99832
51150        1    1142288    1202447    158      14  11226      -3.0924      0.99901
388581       1    1167826    1217102     93      16  11226      -2.1176      0.98289
118424       1    1179292    1244234    104      19  11226      -2.0514      0.97988
6339         1    1180816    1237409     88      16  11226      -1.8203      0.96564
126789       1    1208962    1257057     60      12  11226      -1.6186      0.94723
116983       1    1217764    1278304     73      16  11226      -2.5484      0.99459
80772        1    1225136    1274276     60      14  11226      -2.4084      0.99199
83756        1    1231726    1279844     55      12  11226      -2.3186      0.98979
54973        1    1236965    1295067     59      13  11226      -2.6927      0.99646
1855         1    1260658    1319509     65      14  11226      -2.3645      0.99097
54587        1    1278071    1332183     50      13  11226      -1.9979      0.97714
54998        1    1299110    1345818     56      11  11226      -1.7505      0.95998
81669        1    1311091    1369718     89      11  11226      -1.9981      0.97715
643965       1    1326508    1373167     74      10  11226      -2.1298      0.98341
55052        1    1327276    1377693     78      10  11226      -2.2691      0.98837
64856        1    1335903    1388262     85      13  11226      -2.4091        0.992
219293       1    1343152    1415538     84      15  11226      -2.6627      0.99612
441869       1    1343800    1391824     73      12  11226      -2.3344      0.99021
83858        1    1372139    1454852     60      20  11226     -0.57257      0.71653
55210        1    1412523    1480067     67      16  11226      0.98324      0.16275
339453       1    1460158    1510740     69      14  11226       1.2993     0.096929
29101        1    1467053    1545262    123      21  11226      0.68542      0.24654
142678       1    1515795    1575990     74      16  11226      -2.0316       0.9789
643988       1    1523388    1570476     58      12  11226      -2.1022      0.98223
8510         1    1532060    1580030     44      10  11226      -1.4002      0.91927
984          1    1561100    1625473     39      11  11226     -0.17043      0.56767
728661       1    1581486    1659243     40      12  11226      -0.2994      0.61768
728642       1    1623822    1690999     29       8  11226       2.1482     0.015847
9906         1    1646277    1712438     45       9  11226       2.1716     0.014944
65220        1    1672671    1746508     62      12  11226       2.1496     0.015793
2782         1    1706725    1857552    127      19  11226       1.8332     0.033383
163688       1    1811266    1858733     55       8  11226       1.9062     0.028313
339456       1    1839029    1885740     73      10  11226       1.8118     0.035007
85452        1    1843390    1970276    203      33  11226       1.8483     0.032279
2563         1    1915768    1972192     85      20  11226      0.87041      0.19204
5590         1    1946909    2126834    222      44  11226        1.172       0.1206
100506504    1    2103250    2150812     61      16  11226       1.2847     0.099452
199990       1    2105899    2179159     91      24  11226      0.70123      0.24158
6497         1    2125134    2251652    165      41  11226     -0.22146      0.58763
79906        1    2241719    2358190    232      56  11226     -0.59428      0.72384
11079        1    2288214    2346883     92      27  11226     -0.90256      0.81662
5192         1    2326241    2379010     95      35  11226     -0.17517      0.56953
9651         1    2372754    2446964    120      27  11226      0.35578        0.361
55229        1    2429975    2493061     68      13  11226       1.0621       0.1441
388585       1    2450184    2496684     47      10  11226       1.3782     0.084075
8764         1    2452291    2505268     55      12  11226       1.2057      0.11397
127281       1    2482899    2532908     58      11  11226      0.56303      0.28671
79258        1    2512078    2599499    111      14  11226      0.79064      0.21458
100287898    1    2562807    2741230    100      12  11226      0.63679      0.26213
140625       1    2903046    2949467     95       5  11226     -0.51557      0.69692
63976        1    2950565    3365185    849     141  11226     -0.23509      0.59293
27237        1    3336147    3407677    145      26  11226     -0.30279      0.61898
1953         1    3394506    3563059    349      68  11226       1.4016     0.080519
127262       1    3506556    3556695     94      26  11226       1.5504     0.060525
7161         1    3534129    3662765    212      54  11226         1.22      0.11124
49856        1    3537331    3601671     97      27  11226      0.91465      0.18019
148870       1    3633965    3698209    153      30  11226     -0.62374       0.7336
388588       1    3654352    3702546    132      24  11226     -0.67479       0.7501
57470        1    3686784    3748068    192      25  11226     -0.24293      0.59597
9731         1    3718645    3808797    292      30  11226     -0.17487      0.56941
1677         1    3738845    3811993    250      34  11226    -0.084031      0.53348
339448       1    3795697    3851857    110      18  11226       1.2184      0.11153
55966        1    4680105    4853851    479      84  11226      0.39427      0.34669
261734       1    5912870    6087618    312      21  11226      0.33065      0.37045
8514         1    6017358    6171253    236      46  11226     -0.73745      0.76958
26038        1    6151847    6275194    199      40  11226       2.0454      0.02041
388591       1    6231189    6291359     77      15  11226       1.8321     0.033466
6146         1    6235080    6294679     76      16  11226       1.6491     0.049567
390992       1    6269252    6315638     54      11  11226      -1.5987      0.94506
23463        1    6271253    6331044     75      16  11226      -1.7155      0.95687
387509       1    6297406    6356035     87      22  11226      0.10808      0.45696
11332        1    6314332    6488826    362      25  11226       1.1433      0.12646
83715        1    6449836    6531004    153      16  11226       1.0366      0.14995
54626        1    6465292    6519724    105      12  11226       1.0172      0.15454
8718         1    6510787    6562432     67      13  11226     -0.36663      0.64305
57449        1    6516152    6615121    121      20  11226     0.098055      0.46094
79707        1    6571407    6649658     65       8  11226      0.76218      0.22297
80835        1    6579987    6649817     59       7  11226      0.74726      0.22745
3104         1    6605051    6659340     46      12  11226      0.71439      0.23749
148479       1    6638756    6694093     48      12  11226      0.75769      0.22432
9903         1    6640784    6697958     55      14  11226      0.74607      0.22781
90326        1    6649925    6705646     59      14  11226        0.594      0.27626
55735        1    6684228    6796966    119      20  11226      0.27081      0.39327
23261        1    6810384    7839766   1558     188  11226       0.3602      0.35935
9341         1    7796329    7851492     75      18  11226      -0.6402      0.73898
8863         1    7809413    7915241    183      27  11226     -0.66734      0.74772
10911        1    7897672    7948551    126      21  11226       -1.204       0.8857
3604         1    7965931    8038225     68      18  11226     -0.93742      0.82573
11315        1    7986714    8055342     62      15  11226      -0.5556      0.71076
54206        1    8061779    8121393     50       9  11226     -0.23353      0.59232
50651        1    8343171    8414227     87      21  11226     -0.21936      0.58682
473          1    8402464    8912699    357      32  11226      0.85037      0.19756
2023         1    8911059    8974151     62      17  11226     -0.75401      0.77458
765          1    8970893    9045151    148      42  11226      -0.3017      0.61856
155184       1    9053359    9121404    112      31  11226      0.20026      0.42064
6518         1    9087005    9166763    134      22  11226      -0.4719       0.6815
80045        1    9153472    9224229     96      22  11226      0.27335      0.39229
9563         1    9259822    9341396    156      32  11226      0.42426      0.33569
80176        1    9300202    9439591    292      64  11226     -0.37515      0.64623
84275        1    9564528    9652831     72      18  11226      -1.5671      0.94145
199953       1    9613932    9684935     42      13  11226      -2.0306      0.97885
5293         1    9676789    9799172    119      36  11226     -0.30063      0.61815
22883        1    9779079    9919550    118      19  11226     -0.16579      0.56584
56998        1    9898334   10005316     88      24  11226     -0.93569      0.82528
64802        1    9968486   10055556     83      17  11226     -0.30044      0.61808
84328        1    9972168   10038460     64      14  11226     -0.28905      0.61373
116362       1   10022255   10086078     62       9  11226     -0.33884      0.63263
10277        1   10058041   10251297    252      15  11226     -0.58323      0.72013
23095        1   10235606   10451664    443      17  11226     -0.62307      0.73338
5226         1   10423884   10490565    107      18  11226     -0.99475      0.84007
378708       1   10454944   10520239     73      20  11226      -1.4426      0.92543
100526739    1   10455159   10522060     72      20  11226      -1.4534      0.92694
1325         1   10474776   10522060     44      14  11226       -1.462      0.92813
5195         1   10500003   10700815    227      33  11226      -1.3632      0.91359
1676         1   10510588   10567613     47       7  11226     -0.61702      0.73139
54897        1   10686661   10891733    352      89  11226     -0.51511      0.69676
148345       1   10996530   11077094    132      25  11226       1.3831     0.083319
23435        1   11037462   11095549     70      17  11226       1.7775     0.037744
10747        1   11076580   11142296     98       8  11226      -0.2471      0.59758
6723         1   11104649   11155091     70       4  11226      -2.2979      0.98922
5394         1   11116675   11194961    119       5  11226      -1.5143      0.93503
2475         1   11156588   11357614    259      12  11226     -0.93092      0.82405
10218        1   11214346   11266038     66       3  11226      -1.8874      0.97044
29914        1   11298255   11358491     70      12  11226     -0.08093      0.53225
57540        1   11504295   11607640    131      22  11226     -0.42845      0.66584
93611        1   11679432   11733384     85      24  11226     -0.35152       0.6374
26270        1   11689150   11744411     99      28  11226     -0.34941      0.63661
26232        1   11697924   11749888     91      26  11226     -0.27734      0.60924
374946       1   11716781   11790336    129      35  11226      0.75893      0.22395
10459        1   11724537   11786678    110      30  11226      0.95749      0.16916
57085        1   11761142   11820828     93      26  11226      0.26227      0.39656
284498       1   11788827   11859642    152      26  11226      -1.7458      0.95958
1185         1   11831153   11913201    241      18  11226      -1.3395       0.9098
4524         1   11835787   11901160    201      15  11226      -1.4104      0.92079
4878         1   11895766   11942840    124      20  11226      -1.0107      0.84392
4879         1   11907521   11953992    107      18  11226      -0.1917      0.57601
5351         1   11959724   12045599    151      22  11226     -0.67304      0.74954
90231        1   11969645   12021485    105      16  11226     -0.71283      0.76202
9927         1   12005238   12083572    104      15  11226      0.48625      0.31339
60672        1   12044299   12102106     62      13  11226       1.4494     0.073608
943          1   12088434   12214264    174      48  11226      0.49518      0.31024
7133         1   12192044   12279279    158      25  11226      0.57176      0.28374
55187        1   12255101   12582099    460      27  11226      0.28054      0.38953
9249         1   12617939   12712820    202      41  11226      0.44666      0.32756
343066       1   12669566   12737097    125      16  11226     -0.18185      0.57215
126767       1   12741118   12798726     65      21  11226      -1.3769      0.91572
93190        1   12771163   12831102     94      18  11226       -2.337      0.99028
390999       1   12799984   12848049     63      15  11226      -2.1237      0.98315
65121        1   12816546   12866777     68      17  11226     -0.59883      0.72536
440560       1   12874468   12926264     97       7  11226     -0.12732      0.55066
65122        1   12881941   12931764     92       6  11226    -0.086145      0.53432
343069       1   12897261   12943578     83       6  11226     -0.02812      0.51122
441871       1   12941467   12990300      1       1  11226      -1.2149       0.8878
343071       1   12942727   12993094      1       1  11226      -1.2149       0.8878
440563       1   13172960   13219326     36       7  11226      0.48786      0.31282
126755       1   13791445   13875242    185      44  11226    -0.085189      0.53394
10630        1   13875252   13954452    133      38  11226      0.35242      0.36226
7799         1   13991714   14161574    360      26  11226      -1.2213      0.88901
23254        1   14184646   15454544   2524     297  11226      -1.7215      0.95742
