# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
148398       1     824993     889961    393      61  450059    -0.012861    6.8522e-16    -0.012861
339451       1     860967     911099    328      60  446298      0.81513    6.6613e-16      0.81513
84069        1     866872     920488    339      70  447769       1.7261    6.6613e-16       1.7261
26155        1     869583     929679    369      82  446765       1.5518    6.6613e-16       1.5518
84808        1     900579     952473    322      55  448896       2.0082    8.8818e-16       2.0082
9636         1     913847     959920    284      42  451827       1.9896    6.6613e-16       1.9896
375790       1     920503    1001499    498      73  455328        3.062    8.8818e-16        3.062
57801        1     924342     971608    257      44  456042       2.0792    8.8818e-16       2.0792
401934       1     997126    1044687    238      58  454891       2.1716    8.8818e-16       2.1716
54991        1    1007198    1086736    445      57  459504       1.5354    6.6613e-16       1.5354
254173       1    1074286    1143315    473      79  461968      0.64148    6.6613e-16      0.64148
8784         1    1128888    1177163    323      38  463742     -0.78079    6.6613e-16     -0.78079
126792       1    1132629    1180421    317      35  463488     -0.58278    6.6613e-16     -0.58278
7293         1    1136706    1184703    300      32  464370     -0.64687    6.6613e-16     -0.64687
51150        1    1142288    1202447    356      43  464163     -0.74935    6.6613e-16     -0.74935
388581       1    1167826    1217102    252      44  463543     -0.45939    6.6613e-16     -0.45939
118424       1    1179292    1244234    337      59  463248       -0.801    6.6613e-16       -0.801
6339         1    1180816    1237409    284      48  462255     -0.71871    6.6613e-16     -0.71871
126789       1    1208962    1257057    273      57  459435      -1.0503    6.6613e-16      -1.0503
116983       1    1217764    1278304    353      61  457628     -0.89314    6.6613e-16     -0.89314
80772        1    1225136    1274276    291      55  456684     -0.81486    6.6613e-16     -0.81486
83756        1    1231726    1279844    278      49  455502     -0.65927    6.6613e-16     -0.65927
54973        1    1236965    1295067    318      50  456606      -1.0141    6.6613e-16      -1.0141
1855         1    1260658    1319509    353      43  461916      -1.3671    6.6613e-16      -1.3671
54587        1    1278071    1332183    286      31  460776      -1.2245    6.6613e-16      -1.2245
54998        1    1299110    1345818    243      37  464805     -0.81306    6.6613e-16     -0.81306
81669        1    1311091    1369718    297      38  462831     -0.81707    6.6613e-16     -0.81707
643965       1    1326508    1373167    237      45  461609     -0.70531    6.6613e-16     -0.70531
55052        1    1327276    1377693    255      36  461863     -0.70895    6.6613e-16     -0.70895
64856        1    1335903    1388262    268      43  462404       -1.126    6.6613e-16       -1.126
219293       1    1343152    1415538    374      61  460748      -1.3972    6.6613e-16      -1.3972
441869       1    1343800    1391824    262      40  462415      -1.0486    6.6613e-16      -1.0486
83858        1    1372139    1454852    450      66  456987     -0.46663    6.6613e-16     -0.46663
55210        1    1412523    1480067    401      56  456755      0.12347    6.8001e-16      0.12347
339453       1    1460158    1510740    237      50  464450     -0.43145    6.6613e-16     -0.43145
29101        1    1467053    1545262    357      57  461234      -1.4188    6.6613e-16      -1.4188
142678       1    1515795    1575990    247      57  453514      -2.5348    8.8818e-16      -2.5348
643988       1    1523388    1570476    181      40  453306      -2.2211    8.8818e-16      -2.2211
8510         1    1532060    1580030    153      39  451209      -2.2503    8.8818e-16      -2.2503
984          1    1561100    1625473    177      51  449189      -1.9343    6.6613e-16      -1.9343
728661       1    1581486    1659243    237      54  452269     -0.58731    6.6613e-16     -0.58731
728642       1    1623822    1690999    208      41  457806      0.18299    6.9389e-16      0.18299
9906         1    1646277    1712438    262      45  460208     -0.37806    6.6613e-16     -0.37806
65220        1    1672671    1746508    262      48  461789      -1.3333    6.6613e-16      -1.3333
2782         1    1706725    1857552    549      64  461322     -0.93629    6.6613e-16     -0.93629
163688       1    1811266    1858733    218      45  463124      -1.2413    6.6613e-16      -1.2413
339456       1    1839029    1885740    251      37  469416      -1.0249    6.6613e-16      -1.0249
85452        1    1843390    1970276    741     102  464192      -1.4827    6.6613e-16      -1.4827
2563         1    1915768    1972192    319      64  464151      -1.0717    6.6613e-16      -1.0717
5590         1    1946909    2126834    980     118  465400      -2.1764    8.8818e-16      -2.1764
100506504    1    2103250    2150812    193      64  468489       -1.991    6.6613e-16       -1.991
199990       1    2105899    2179159    311      72  467444      -2.0903    8.8818e-16      -2.0903
6497         1    2125134    2251652    592     106  464827      -1.8112    6.6613e-16      -1.8112
79906        1    2241719    2358190    673     117  468822      -1.6295    6.6613e-16      -1.6295
11079        1    2288214    2346883    288      70  466572      -1.8357    6.6613e-16      -1.8357
5192         1    2326241    2379010    311      90  469276      -1.2077    6.6613e-16      -1.2077
9651         1    2372754    2446964    458      96  463493      -1.1767    6.6613e-16      -1.1767
55229        1    2429975    2493061    358      65  464896      -1.4055    6.6613e-16      -1.4055
388585       1    2450184    2496684    223      58  465610     -0.84278    6.6613e-16     -0.84278
8764         1    2452291    2505268    255      44  468392      -0.3441    6.6613e-16      -0.3441
127281       1    2482899    2532908    262      37  470041      0.30608    6.6613e-16      0.30608
79258        1    2512078    2599499    369      42  469181     0.043285    6.8695e-16     0.043285
100287898    1    2562807    2741230    348      54  467593     0.018916    6.8695e-16     0.018916
140625       1    2903046    2949467    300      35  469419      -1.1267    6.6613e-16      -1.1267
63976        1    2950565    3365185   2571     288  468553       -1.337    6.6613e-16       -1.337
27237        1    3336147    3407677    405      64  468763     -0.50283    6.6613e-16     -0.50283
1953         1    3394506    3563059   1029     147  466660   -0.0067275    6.8608e-16   -0.0067275
127262       1    3506556    3556695    340      61  462028      0.14713    6.9389e-16      0.14713
7161         1    3534129    3662765    693     126  464270     -0.66455    6.6613e-16     -0.66455
49856        1    3537331    3601671    332      76  458594    -0.054578    6.8695e-16    -0.054578
148870       1    3633965    3698209    363      69  471861     -0.63898    6.6613e-16     -0.63898
388588       1    3654352    3702546    297      61  471170     -0.14349    6.9389e-16     -0.14349
57470        1    3686784    3748068    438      49  472072    -0.074081    6.8001e-16    -0.074081
9731         1    3718645    3808797    713      55  473191     -0.65565    6.6613e-16     -0.65565
1677         1    3738845    3811993    586      53  474200     -0.50957    6.6613e-16     -0.50957
339448       1    3795697    3851857    315      52  469615      -1.3651    6.6613e-16      -1.3651
55966        1    4680105    4853851   1133     152  473410      -1.8608    6.6613e-16      -1.8608
261734       1    5912870    6087618    897      59  468910      0.86894    6.6613e-16      0.86894
8514         1    6017358    6171253    773     115  467414      0.56513    6.6613e-16      0.56513
26038        1    6151847    6275194    616      93  465143       1.8431    6.6613e-16       1.8431
388591       1    6231189    6291359    220      54  460856       1.4149    6.6613e-16       1.4149
6146         1    6235080    6294679    213      55  460122       1.4261    6.6613e-16       1.4261
390992       1    6269252    6315638    174      46  460564       1.1771    6.6613e-16       1.1771
23463        1    6271253    6331044    246      57  459250      0.49373    6.6613e-16      0.49373
387509       1    6297406    6356035    264      62  461727      -1.4228    6.6613e-16      -1.4228
11332        1    6314332    6488826    897      61  470445     -0.88413    6.6613e-16     -0.88413
83715        1    6449836    6531004    383      43  471074     -0.41327    6.6613e-16     -0.41327
54626        1    6465292    6519724    242      37  471756     -0.30835    6.6613e-16     -0.30835
8718         1    6510787    6562432    231      64  463006    -0.026004    6.8695e-16    -0.026004
57449        1    6516152    6615121    487      79  468476     -0.34941    6.6613e-16     -0.34941
79707        1    6571407    6649658    363      35  469214     -0.12039    6.8001e-16     -0.12039
80835        1    6579987    6649817    314      38  467993    -0.062874    6.8001e-16    -0.062874
3104         1    6605051    6659340    252      53  468974      0.55687    6.6613e-16      0.55687
148479       1    6638756    6694093    193      53  470714       2.0874    8.8818e-16       2.0874
9903         1    6640784    6697958    202      50  472755       2.2268    8.8818e-16       2.2268
90326        1    6649925    6705646    215      53  470289       2.1636    8.8818e-16       2.1636
55735        1    6684228    6796966    434      60  469291       2.0537    8.8818e-16       2.0537
23261        1    6810384    7839766   4535     347  469990      0.11659    6.8001e-16      0.11659
9341         1    7796329    7851492    205      49  470694        1.428    6.6613e-16        1.428
8863         1    7809413    7915241    452      49  474483      0.66709    6.6613e-16      0.66709
10911        1    7897672    7948551    274      35  474206     -0.12205    6.8001e-16     -0.12205
3604         1    7965931    8038225    253      52  465285      -1.1059    6.6613e-16      -1.1059
11315        1    7986714    8055342    236      54  462369     -0.99389    6.6613e-16     -0.99389
54206        1    8061779    8121393    176      37  459565     -0.78305    6.6613e-16     -0.78305
50651        1    8343171    8414227    360      59  463386       2.3684    8.8818e-16       2.3684
473          1    8402464    8912699   1433      72  464886        2.122    8.8818e-16        2.122
2023         1    8911059    8974151    226      52  471820      -0.3697    6.6613e-16      -0.3697
765          1    8970893    9045151    420      89  469573     -0.34427    6.6613e-16     -0.34427
155184       1    9053359    9121404    340      73  472034       1.0928    6.6613e-16       1.0928
6518         1    9087005    9166763    414      55  471932       1.6815    6.6613e-16       1.6815
80045        1    9153472    9224229    303      58  464185       1.3186    6.6613e-16       1.3186
9563         1    9259822    9341396    445      67  467464     -0.11584    6.8001e-16     -0.11584
80176        1    9300202    9439591    861     141  470137     -0.86921    6.6613e-16     -0.86921
84275        1    9564528    9652831    334      54  459204       2.0889    8.8818e-16       2.0889
199953       1    9613932    9684935    254      40  459680       1.7166    6.6613e-16       1.7166
5293         1    9676789    9799172    556      86  461632       1.4485    6.6613e-16       1.4485
22883        1    9779079    9919550    633      60  452429     -0.69035    6.6613e-16     -0.69035
56998        1    9898334   10005316    383      83  458943      0.24348    6.9389e-16      0.24348
64802        1    9968486   10055556    281      43  466350     -0.89794    6.6613e-16     -0.89794
84328        1    9972168   10038460    216      48  466085      -1.3315    6.6613e-16      -1.3315
116362       1   10022255   10086078    197      40  469876     -0.95424    6.6613e-16     -0.95424
10277        1   10058041   10251297    689      48  469162     -0.43343    6.6613e-16     -0.43343
23095        1   10235606   10451664    906      39  473632      0.28016    6.6613e-16      0.28016
5226         1   10423884   10490565    292      42  467202     -0.75141    6.6613e-16     -0.75141
378708       1   10454944   10520239    268      48  467431      -1.5658    6.6613e-16      -1.5658
100526739    1   10455159   10522060    275      50  465785      -1.4534    6.6613e-16      -1.4534
1325         1   10474776   10522060    194      41  466197      -1.6923    6.6613e-16      -1.6923
5195         1   10500003   10700815    732      78  468964      -0.8343    6.6613e-16      -0.8343
1676         1   10510588   10567613    214      40  471667      -1.8086    6.6613e-16      -1.8086
54897        1   10686661   10891733    996     178  465805      -1.2981    6.6613e-16      -1.2981
148345       1   10996530   11077094    406      73  470175      -2.1037    8.8818e-16      -2.1037
23435        1   11037462   11095549    242      56  468660     -0.84279    6.6613e-16     -0.84279
10747        1   11076580   11142296    260      30  468247     -0.58792    6.6613e-16     -0.58792
6723         1   11104649   11155091    203      25  467544       -1.276    6.6613e-16       -1.276
5394         1   11116675   11194961    287      17  470277      -1.2133    6.6613e-16      -1.2133
2475         1   11156588   11357614    631      38  468917      -2.0197    8.8818e-16      -2.0197
10218        1   11214346   11266038    171      21  470726       -2.441    8.8818e-16       -2.441
29914        1   11298255   11358491    175      37  460807      -1.7949    6.6613e-16      -1.7949
57540        1   11504295   11607640    444      49  469379     -0.89691    6.6613e-16     -0.89691
93611        1   11679432   11733384    236      67  470393     -0.46016    6.6613e-16     -0.46016
26270        1   11689150   11744411    260      62  465165    -0.051105    6.8695e-16    -0.051105
26232        1   11697924   11749888    237      72  465503      0.10959    6.8001e-16      0.10959
