# ALPHA = 0.05
# NUMBER_OF_TESTS = 3

# _SET1_  VARIABLE = LG (set)
# _SET1_  NGENES = 4376
# _SET1_  P-VALUE = 0.00178076
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   84069         1     866872     920488    339      70  447769       1.7187     0.013271   -6.6613e-16       1.7187
_SET1_   26155         1     869583     929679    369      82  446765       1.5439     0.019801   -6.6613e-16       1.5439
_SET1_   9636          1     913847     959920    284      42  451827       1.9825    0.0067988   -6.6613e-16       1.9825
_SET1_   375790        1     920503    1001499    498      73  455328       3.0545   0.00018931   -4.4409e-16       3.0545
_SET1_   126792        1    1132629    1180421    317      35  463488     -0.58427       0.5895   -5.5511e-16     -0.58427
_SET1_   7293          1    1136706    1184703    300      32  464370     -0.64728      0.62292   -5.5511e-16     -0.64728
_SET1_   118424        1    1179292    1244234    337      59  463248      -0.8039      0.68495   -5.5511e-16      -0.8039
_SET1_   126789        1    1208962    1257057    273      57  459435       -1.054      0.76188   -6.6613e-16       -1.054
_SET1_   54587         1    1278071    1332183    286      31  460776      -1.2244      0.81343   -6.6613e-16      -1.2244
_SET1_   643965        1    1326508    1373167    237      45  461609     -0.70972      0.62826   -5.5511e-16     -0.70972
_SET1_   339453        1    1460158    1510740    237      50  464450      -0.4404      0.49244   -5.5511e-16      -0.4404
_SET1_   65220         1    1672671    1746508    262      48  461789      -1.3431      0.80372   -6.6613e-16      -1.3431
_SET1_   6497          1    2125134    2251652    592     106  464827      -1.8219       0.9023   -6.6613e-16      -1.8219
_SET1_   5192          1    2326241    2379010    311      90  469276      -1.2215      0.75612   -6.6613e-16      -1.2215
_SET1_   8764          1    2452291    2505268    255      44  468392     -0.35321      0.45946   -5.5511e-16     -0.35321
_SET1_   63976         1    2950565    3365185   2571     288  468553      -1.3411      0.80682   -6.6613e-16      -1.3411
_SET1_   1953          1    3394506    3563059   1029     147  466660    -0.013574      0.31819    -5.794e-16    -0.013574
_SET1_   127262        1    3506556    3556695    340      61  462028      0.13764      0.26405   -5.8287e-16      0.13764
_SET1_   388588        1    3654352    3702546    297      61  471170     -0.15448      0.37302   -5.8287e-16     -0.15448
_SET1_   55966         1    4680105    4853851   1133     152  473410      -1.8701      0.91335   -6.6613e-16      -1.8701
_SET1_   83715         1    6449836    6531004    383      43  471074     -0.41634      0.52098   -5.5511e-16     -0.41634
_SET1_   8718          1    6510787    6562432    231      64  463006    -0.032712      0.35777   -5.8287e-16    -0.032712
_SET1_   57449         1    6516152    6615121    487      79  468476     -0.35685      0.46313   -5.5511e-16     -0.35685
_SET1_   3104          1    6605051    6659340    252      53  468974      0.54883      0.16407   -5.5511e-16      0.54883
_SET1_   9341          1    7796329    7851492    205      49  470694       1.4152     0.028453   -6.6613e-16       1.4152
_SET1_   8863          1    7809413    7915241    452      49  474483      0.65845      0.13289   -5.5511e-16      0.65845
_SET1_   54206         1    8061779    8121393    176      37  459565     -0.79272      0.62399   -5.5511e-16     -0.79272
_SET1_   50651         1    8343171    8414227    360      59  463386        2.358    0.0020838   -4.4409e-16        2.358
_SET1_   2023          1    8911059    8974151    226      52  471820     -0.38173      0.46114   -5.5511e-16     -0.38173
_SET1_   80045         1    9153472    9224229    303      58  464185       1.3083     0.035789   -6.6613e-16       1.3083
